代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
002791	坚朗五金	0.77	48.68	0.37	48.68	48.69	21945	412	0.02	          4.95	48.01	48.85	47.00	48.31	    42.42	105525776	  1.08	其他建材	广东	3.83	48.09	10227	11718	  0.87	29	10	--  	          0.44	
002792	通宇通讯	1.64	47.16	0.76	47.16	47.17	14656	331	0.12	          3.26	46.20	47.30	46.10	46.40	    51.08	68486424	  0.84	通信设备	广东	2.59	46.73	6276	8380	  0.75	88	4	--  	          0.45	
002793	东音股份	0.03	64.51	0.02	64.51	64.52	18209	382	0.00	          7.28	63.98	64.78	63.19	64.49	    64.42	116641768	  1.01	专用机械	浙江	2.47	64.06	10684	7524	  1.42	147	1	--  	          0.25	
002795	永和智控	--  	91.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	91.60	   138.02	0	  0.00	机械基件	浙江	0.00	91.60	0	0	--  	0	0	--  	          0.25	
002796	世嘉科技	-2.25	61.57	-1.42	61.57	61.58	36914	1227	-0.08	         18.46	61.00	61.70	59.88	62.99	   104.52	224798992	  1.09	专用机械	江苏	2.89	60.90	20685	16229	  1.27	155	334	--  	          0.20	
002797	第一创业	-0.57	29.56	-0.17	29.55	29.56	88290	2224	-0.03	          4.03	29.60	29.63	28.88	29.73	   114.37	258980608	  0.97	证券	深圳	2.52	29.33	45226	43064	  1.05	247	141	--  	          2.19	
002798	帝王洁具	2.49	58.42	1.42	58.42	58.44	21354	674	0.00	          9.89	56.88	58.80	56.20	57.00	   147.41	123724344	  1.02	家居用品	四川	4.56	57.94	9413	11941	  0.79	18	2	--  	          0.22	
002799	环球印务	-0.28	49.36	-0.14	49.36	49.37	34798	567	0.22	         13.92	48.99	49.96	48.03	49.50	   223.04	171640496	  0.67	广告包装	陕西	3.90	49.33	16685	18112	  0.92	259	50	--  	          0.25	
002800	天顺股份	1.56	61.75	0.95	61.75	61.76	9147	96	0.08	          4.90	60.40	62.14	60.12	60.80	   139.36	56205792	  1.19	仓储物流	新疆	3.32	61.45	3485	5662	  0.62	53	30	--  	          0.19	
002801	微光股份	1.64	121.66	1.96	121.66	121.67	13968	360	0.05	          9.49	119.52	121.70	117.50	119.70	    76.07	167799248	  1.16	电气设备	浙江	3.51	120.13	7129	6839	  1.04	21	1	--  	          0.15	
002802	洪汇新材	2.91	51.94	1.47	51.93	51.94	41456	684	0.01	         15.35	50.46	52.99	49.86	50.47	   106.79	214272592	  2.03	化工原料	江苏	6.20	51.69	18728	22727	  0.82	56	137	--  	          0.27	
002803	吉宏股份	--  	45.38	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	45.38	   132.75	0	  0.00	广告包装	福建	0.00	45.38	0	0	--  	0	0	--  	          0.29	
002805	丰元股份	1.93	53.30	1.01	53.27	53.30	56853	1731	0.16	         23.47	51.63	53.48	50.26	52.29	   218.78	296330336	  0.70	化工原料	山东	6.16	52.12	26355	30498	  0.86	2	400	--  	          0.24	
002806	华锋股份	--  	62.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	62.10	   193.70	0	  0.00	元器件	广东	0.00	62.10	0	0	--  	0	0	--  	          0.20	
002807	江阴银行	0.97	20.90	0.20	20.90	20.91	331242	8055	-0.38	         15.82	20.35	21.08	19.80	20.70	    54.30	680929152	  0.64	银行	江苏	6.18	20.56	163931	167311	  0.98	2187	23	--  	          2.09	
002808	苏州恒久	-2.18	42.69	-0.95	42.69	42.70	33729	1088	0.07	         11.24	43.64	43.69	42.00	43.64	   161.97	143556176	  0.74	元器件	江苏	3.87	42.56	19263	14465	  1.33	9	347	--  	          0.30	
002809	红墙股份	4.53	70.87	3.07	70.87	70.88	34173	467	-0.04	         17.09	67.87	73.00	67.84	67.80	    85.98	241170848	  2.16	化工原料	广东	7.61	70.57	15219	18954	  0.80	144	86	--  	          0.20	
002810	山东赫达	0.82	47.83	0.39	47.83	47.84	21312	386	0.02	          8.89	47.32	48.20	46.40	47.44	    92.30	101366280	  1.03	化工原料	山东	3.79	47.56	10033	11278	  0.89	33	39	--  	          0.24	
002811	亚泰国际	0.99	35.60	0.35	35.59	35.60	35861	666	0.00	          7.97	35.17	35.71	34.55	35.25	    77.32	126224640	  1.17	装修装饰	深圳	3.29	35.20	17376	18485	  0.94	9	265	--  	          0.45	
002812	创新股份	--  	55.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	55.50	    50.46	0	  0.00	广告包装	云南	0.00	55.50	0	0	--  	0	0	--  	          0.33	
002813	路畅科技	--  	47.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	47.96	   111.97	0	  0.00	汽车配件	深圳	0.00	47.96	0	0	--  	0	0	--  	          0.30	
002815	崇达技术	2.75	44.80	1.20	44.79	44.80	41297	984	0.06	          8.26	43.62	44.84	42.87	43.60	    48.88	181020224	  0.76	半导体	深圳	4.52	43.83	20983	20313	  1.03	16	90	--  	          0.50	
002816	和科达	--  	40.16	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	40.16	   154.82	0	  0.00	专用机械	深圳	0.00	40.16	0	0	--  	0	0	--  	          0.25	
002817	黄山胶囊	-0.47	59.40	-0.28	59.39	59.40	21853	384	-0.11	         10.08	59.26	59.88	57.00	59.68	    88.93	127571312	  1.03	化学制药	安徽	4.83	58.38	12126	9727	  1.25	46	143	--  	          0.22	
002818	富森美	1.03	54.95	0.56	54.94	54.95	28819	777	0.10	          6.55	54.29	54.95	52.82	54.39	    41.97	155548656	  0.84	房产服务	四川	3.92	53.97	14193	14626	  0.97	149	182	--  	          0.44	
002819	东方中科	-1.94	50.01	-0.99	50.01	50.02	82663	2369	-0.15	         29.17	50.10	51.50	49.00	51.00	   185.23	413876096	  0.72	电器仪表	北京	4.90	50.07	45770	36893	  1.24	166	11	--  	          0.28	
002820	桂发祥	-1.83	55.78	-1.04	55.78	55.79	65970	2267	-0.07	         20.62	55.68	57.66	54.51	56.82	    69.18	369254976	  0.47	食品	天津	5.54	55.97	36912	29058	  1.27	509	14	--  	          0.32	
002821	凯莱英	2.06	138.41	2.79	138.41	138.45	17638	277	0.07	          7.71	135.69	139.50	134.70	135.62	    62.11	242419136	  1.05	生物制药	天津	3.54	137.44	7402	10235	  0.72	5	1	--  	          0.23	
002822	中装建设	2.08	27.97	0.57	27.97	27.98	81315	1362	0.07	         10.84	27.11	28.20	26.49	27.40	    54.43	222673728	  0.94	装修装饰	深圳	6.24	27.38	35524	45791	  0.78	811	89	--  	          0.75	
002823	凯中精密	1.86	46.59	0.85	46.58	46.59	31075	620	0.02	          8.63	45.80	46.62	44.80	45.74	    56.66	142300032	  0.58	机械基件	深圳	3.98	45.79	13620	17455	  0.78	27	110	--  	          0.36	
002824	和胜股份	-1.03	45.04	-0.47	45.04	45.05	52613	968	0.35	         17.54	45.05	45.05	43.01	45.51	    75.71	231818224	  0.71	铝	广东	4.48	44.06	26926	25686	  1.05	23	25	--  	          0.30	
002825	纳尔股份	-1.25	53.60	-0.68	53.60	53.61	25847	1379	-0.14	         10.34	54.60	54.61	52.50	54.28	    82.41	137830128	  0.82	化工原料	上海	3.89	53.32	13396	12451	  1.08	117	63	--  	          0.25	
002826	易明医药	2.06	31.65	0.64	31.64	31.65	51651	1742	0.12	         10.89	30.93	31.76	30.20	31.01	   126.56	160374960	  0.69	化学制药	西藏	5.03	31.05	21676	29975	  0.72	128	73	--  	          0.47	
002827	高争民爆	4.10	32.74	1.29	32.74	32.75	77006	2221	0.03	         16.74	31.03	32.80	30.88	31.45	    55.98	247390976	  1.24	化工原料	西藏	6.10	32.13	32916	44090	  0.75	1022	281	--  	          0.46	
