代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000501	鄂武商Ａ	2.63	24.20	0.62	24.19	24.20	54156	543	0.08	          1.07	23.48	24.42	23.35	23.58	    15.22	130213072	  1.25	百货	湖北	4.54	24.04	21107	33048	  0.64	40	621	--  	          5.07	
000665	湖北广电	0.70	14.45	0.10	14.45	14.46	20118	428	0.06	          0.44	14.36	14.47	14.26	14.35	    29.01	28964310	  0.74	影视音像	湖北	1.46	14.40	8666	11451	  0.76	143	272	--  	          4.61	
000759	中百集团	2.16	9.45	0.20	9.44	9.45	48810	1016	0.00	          0.72	9.23	9.46	9.11	9.25	--  	45436980	  0.67	超市连锁	湖北	3.78	9.31	17537	31272	  0.56	432	1443	--  	          6.81	
000785	武汉中商	-0.15	13.71	-0.02	13.70	13.71	22155	231	0.07	          0.88	13.77	13.77	13.52	13.73	   139.30	30224240	  0.85	百货	湖北	1.82	13.64	11943	10212	  1.17	81	191	--  	          2.51	
000852	石化机械	1.31	12.34	0.16	12.33	12.34	43725	333	-0.08	          0.73	12.11	12.42	11.92	12.18	--  	53184628	  0.72	化工机械	湖北	4.11	12.16	21854	21870	  1.00	373	61	--  	          5.98	
000883	湖北能源	0.63	4.78	0.03	4.77	4.78	107673	992	0.00	          0.20	4.76	4.79	4.71	4.75	    12.75	51197832	  0.97	火力发电	湖北	1.68	4.75	53728	53944	  1.00	2871	1811	--  	         53.46	
000939	凯迪生态	0.50	12.09	0.06	12.09	12.10	99935	850	-0.08	          0.94	12.05	12.17	12.01	12.03	   105.40	120728488	  0.72	新型电力	湖北	1.33	12.08	51413	48521	  1.06	349	780	--  	         10.61	
000966	长源电力	0.34	5.95	0.02	5.95	5.96	42722	396	-0.16	          0.39	5.93	5.96	5.90	5.93	     9.30	25355326	  0.79	火力发电	湖北	1.01	5.93	18335	24387	  0.75	717	1922	--  	         11.08	
000988	华工科技	2.30	16.02	0.36	16.01	16.02	184570	2453	0.12	          2.07	15.66	16.08	15.55	15.66	    63.87	293708800	  1.42	电器仪表	湖北	3.38	15.91	78738	105832	  0.74	1592	2041	--  	          8.91	
002159	三特索道	-0.14	28.36	-0.04	28.36	28.38	32441	216	0.14	          2.42	28.40	28.70	28.18	28.40	--  	91920544	  0.96	旅游景点	湖北	1.83	28.33	24938	7503	  3.32	200	10	--  	          1.34	
002194	武汉凡谷	0.08	12.99	0.01	12.98	12.99	45820	761	0.07	          1.05	12.90	13.04	12.74	12.98	--  	59111940	  0.59	通信设备	湖北	2.31	12.90	24846	20974	  1.18	228	108	--  	          4.37	
002281	光迅科技	-0.12	79.90	-0.10	79.89	79.90	51359	622	-0.23	          2.50	79.80	80.34	78.61	80.00	    58.77	408601216	  1.00	通信设备	湖北	2.16	79.56	31178	20180	  1.54	1	35	--  	          2.06	
002305	南国置业	-0.20	5.01	-0.01	5.00	5.01	54365	251	0.20	          0.46	5.01	5.01	4.94	5.02	   611.77	27108914	  0.88	区域地产	湖北	1.39	4.99	32613	21751	  1.50	301	596	--  	         11.91	
002377	国创高新	0.49	10.17	0.05	10.15	10.17	84568	3112	0.39	          1.96	10.13	10.17	9.92	10.12	  1070.44	84937176	  0.48	石油加工	湖北	2.47	10.04	42621	41946	  1.02	49	672	--  	          4.32	
002414	高德红外	-0.08	24.20	-0.02	24.20	24.21	28933	116	0.04	          0.62	24.60	24.60	24.06	24.22	   270.45	70012216	  1.32	电器仪表	湖北	2.23	24.20	15803	13130	  1.20	191	30	--  	          4.65	
300018	中元股份	1.15	11.48	0.13	11.47	11.48	46351	323	0.00	          1.40	11.36	11.49	11.24	11.35	    72.85	52879904	  1.02	电气设备	湖北	2.20	11.41	21389	24962	  0.86	539	698	--  	          3.31	
300054	鼎龙股份	0.30	23.09	0.07	23.09	23.10	31206	677	0.17	          0.88	22.88	23.10	22.66	23.02	    53.26	71608640	  0.99	化工原料	湖北	1.91	22.95	13764	17441	  0.79	26	630	--  	          3.54	
300161	华中数控	-0.42	26.09	-0.11	26.08	26.09	35311	826	-0.22	          2.19	26.28	26.59	26.09	26.20	--  	92975992	  0.69	机床制造	湖北	1.91	26.33	18287	17023	  1.07	49	20	--  	          1.61	
300184	力源信息	-0.80	14.79	-0.12	14.79	14.80	45996	639	-0.06	          1.60	14.78	14.83	14.57	14.91	   131.15	67605080	  0.95	元器件	湖北	1.74	14.70	22332	23663	  0.94	411	617	--  	          2.88	
300205	天喻信息	0.28	14.30	0.04	14.30	14.31	26296	516	-0.06	          0.62	14.26	14.37	14.05	14.26	   149.68	37440972	  0.72	元器件	湖北	2.24	14.24	12584	13712	  0.92	411	30	--  	          4.26	
300220	金运激光	1.62	28.21	0.45	28.21	28.23	11025	344	0.32	          1.91	27.81	28.21	27.48	27.76	   360.12	30688960	  0.74	元器件	湖北	2.63	27.84	4780	6244	  0.77	106	3	--  	          0.58	
300323	华灿光电	1.88	11.92	0.22	11.92	11.93	201277	2420	-0.16	          2.98	11.78	12.15	11.73	11.70	    37.28	240941520	  1.11	半导体	湖北	3.59	11.97	96988	104288	  0.93	450	873	--  	          6.75	
600035	楚天高速	-0.17	5.90	-0.01	5.90	5.91	44777	9	0.00	          0.31	5.86	5.93	5.81	5.91	    23.70	26267398	  1.08	路桥	湖北	2.03	5.87	25624	19152	  1.34	435	786	--  	         14.53	
600068	葛洲坝	3.98	10.98	0.42	10.98	10.99	812634	80	0.09	          1.96	10.56	10.99	10.55	10.56	    16.91	881120512	  1.58	建筑施工	湖北	4.17	10.84	329302	483331	  0.68	1037	11558	--  	         41.49	
600079	人福医药	0.34	20.42	0.07	20.42	20.44	99687	98	0.04	          0.94	20.38	20.67	20.12	20.35	    31.61	203958576	  1.22	化学制药	湖北	2.70	20.46	49054	50632	  0.97	13	53	--  	         10.58	
600133	东湖高新	1.71	8.35	0.14	8.34	8.35	68222	500	-0.11	          1.27	8.23	8.39	8.19	8.21	   118.28	56882180	  1.26	园区开发	湖北	2.44	8.34	29562	38660	  0.76	129	510	--  	          5.38	
600136	当代明诚	0.00	16.79	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	16.79	    66.95	0	  0.00	影视音像	湖北	0.00	16.79	0	0	--  	0	0	--  	          2.48	
600168	武汉控股	0.57	10.56	0.06	10.55	10.56	35951	10	0.18	          0.51	10.47	10.56	10.40	10.50	    24.92	37752100	  0.73	水务	湖北	1.52	10.50	17696	18255	  0.97	363	407	--  	          7.10	
600345	长江通信	0.04	22.70	0.01	22.69	22.72	15534	10	0.30	          0.78	22.69	22.78	22.31	22.69	    64.62	35118464	  0.84	通信设备	湖北	2.07	22.61	6656	8878	  0.75	5	117	--  	          1.98	
600355	精伦电子	0.11	9.52	0.01	9.51	9.52	196751	19	1.06	          4.00	9.48	9.55	9.17	9.51	  1261.00	184400560	  1.78	元器件	湖北	4.00	9.37	82531	114219	  0.72	28	1971	--  	          4.92	
600421	仰帆控股	-1.47	19.50	-0.29	19.49	19.51	28252	509	0.20	          1.44	19.79	19.79	19.24	19.79	--  	54859348	  0.78	机械基件	湖北	2.78	19.42	16542	11710	  1.41	216	16	--  	          1.96	
600498	烽火通信	1.46	26.46	0.38	26.46	26.47	97151	10	0.03	          0.98	25.91	26.62	25.76	26.08	    39.10	255514592	  0.85	通信设备	湖北	3.30	26.30	41641	55509	  0.75	32	48	--  	          9.96	
600757	长江传媒	0.70	8.60	0.06	8.60	8.61	58560	101	0.23	          0.48	8.54	8.62	8.48	8.54	    19.19	50144816	  0.83	出版业	湖北	1.64	8.56	25493	33066	  0.77	129	1172	--  	         12.13	
