代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000516	国际医学	--  	7.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.90	    60.08	0	  0.00	百货	陕西	0.00	7.90	0	0	--  	0	0	--  	         19.35	
000592	平潭发展	-0.16	6.41	-0.01	6.40	6.41	147737	1593	0.15	          0.77	6.43	6.43	6.30	6.42	   435.91	94164696	  1.14	林业	福建	2.02	6.37	85805	61932	  1.39	1210	1358	--  	         19.13	
000638	万方发展	-0.35	14.35	-0.05	14.35	14.36	43238	509	0.00	          1.40	14.31	14.35	14.00	14.40	   397.63	61409332	  0.41	批发业	辽宁	2.43	14.20	24402	18835	  1.30	202	113	--  	          3.09	
000700	模塑科技	1.08	8.45	0.09	8.44	8.45	49491	476	0.00	          0.71	8.36	8.47	8.32	8.36	    27.35	41644884	  1.19	汽车配件	江苏	1.79	8.41	22614	26877	  0.84	411	907	--  	          6.97	
000722	湖南发展	-0.39	15.52	-0.06	15.52	15.53	42426	528	-0.06	          0.91	15.53	15.60	15.20	15.58	    38.96	65419708	  0.46	水力发电	湖南	2.57	15.42	21529	20896	  1.03	346	211	--  	          4.64	
000919	金陵药业	0.07	13.75	0.01	13.74	13.75	26044	206	0.14	          0.52	13.74	13.80	13.52	13.74	    33.89	35573572	  1.28	化学制药	江苏	2.04	13.66	10980	15063	  0.73	18	30	--  	          5.03	
000990	诚志股份	-0.93	16.03	-0.15	16.02	16.03	23887	227	-0.06	          0.80	16.18	16.23	16.00	16.18	   181.31	38428912	  1.44	化工原料	江西	1.42	16.09	14588	9299	  1.57	57	83	--  	          2.97	
000999	华润三九	3.06	25.97	0.77	25.97	25.98	55634	452	0.07	          0.57	25.21	26.09	25.20	25.20	    21.22	143550336	  1.60	中成药	深圳	3.53	25.80	16191	39443	  0.41	121	189	--  	          9.78	
002004	华邦健康	0.58	8.66	0.05	8.65	8.66	105738	1715	0.11	          0.69	8.61	8.66	8.51	8.61	    21.61	90950784	  0.87	化学制药	重庆	1.74	8.60	50933	54805	  0.93	4113	1823	--  	         15.33	
002172	澳洋科技	0.19	10.58	0.02	10.57	10.58	40220	805	0.18	          0.73	10.56	10.65	10.47	10.56	    29.00	42490912	  0.59	化纤	江苏	1.70	10.56	22609	17611	  1.28	465	113	--  	          5.53	
002173	*ST创疗	2.32	19.83	0.45	19.82	19.83	23396	290	0.20	          1.14	19.38	19.94	19.32	19.38	   100.57	46130204	  1.57	农业综合	浙江	3.20	19.72	12280	11116	  1.10	10	441	--  	          2.06	
002219	恒康医疗	-0.70	12.70	-0.09	12.70	12.71	33404	206	0.15	          0.46	12.78	12.80	12.65	12.79	    88.02	42396236	  0.93	中成药	甘肃	1.17	12.69	20214	13190	  1.53	250	286	--  	          7.19	
002390	信邦制药	1.25	9.73	0.12	9.72	9.73	47852	301	0.00	          0.65	9.62	9.76	9.58	9.61	    62.21	46337096	  0.63	中成药	贵州	1.87	9.68	22079	25772	  0.86	249	1381	--  	          7.33	
