代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000620	新华联	0.00	8.52	0.00	8.51	8.52	49502	488	0.00	          0.27	8.51	8.53	8.36	8.52	    76.53	41967960	  0.79	全国地产	北京	2.00	8.48	25402	24099	  1.05	254	5	--  	         18.37	
000631	顺发恒业	1.02	4.94	0.05	4.93	4.94	78499	463	0.00	          0.36	4.87	4.94	4.86	4.89	    32.09	38578728	  1.16	区域地产	吉林	1.64	4.91	33326	45173	  0.74	4476	1851	--  	         21.66	
000651	格力电器	-0.31	28.87	-0.09	28.86	28.87	958116	8062	0.03	          1.60	29.00	29.46	28.60	28.96	    11.60	2789925888	  1.34	家用电器	广东	2.97	29.12	504549	453567	  1.11	2131	15075	--  	         59.72	
000690	宝新能源	2.21	9.26	0.20	9.25	9.26	137702	1643	0.00	          0.80	9.05	9.30	9.00	9.06	    27.17	126222744	  1.25	火力发电	广东	3.31	9.17	55723	81979	  0.68	1017	575	--  	         17.18	
000861	海印股份	0.21	4.72	0.01	4.71	4.72	52774	578	0.21	          0.30	4.71	4.72	4.66	4.71	    61.26	24763622	  0.73	房产服务	广东	1.27	4.69	30232	22541	  1.34	892	2078	--  	         17.61	
000876	新 希 望	0.25	8.08	0.02	8.07	8.08	117702	1789	0.00	          0.34	8.03	8.09	8.00	8.06	    12.09	94750368	  0.83	饲料	四川	1.12	8.05	59051	58651	  1.01	1743	3486	--  	         34.57	
000900	现代投资	0.93	8.65	0.08	8.65	8.66	61182	579	0.11	          0.61	8.54	8.67	8.52	8.57	    12.14	52693472	  0.75	路桥	湖南	1.75	8.61	21716	39466	  0.55	313	1871	--  	         10.10	
000982	中银绒业	--  	9.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.15	--  	0	  0.00	纺织	宁夏	0.00	9.15	0	0	--  	0	0	--  	         12.94	
002024	苏宁云商	0.36	11.03	0.04	11.03	11.04	247861	1835	0.00	          0.49	10.99	11.07	10.91	10.99	--  	272784192	  1.00	电器连锁	江苏	1.46	11.01	117866	129994	  0.91	3013	3433	--  	         50.18	
002031	巨轮智能	0.29	3.41	0.01	3.40	3.41	157711	1698	0.00	          0.84	3.39	3.43	3.37	3.40	   210.22	53651224	  0.41	汽车配件	广东	1.76	3.40	72858	84853	  0.86	6314	111	--  	         18.72	
002064	华峰氨纶	1.62	5.65	0.09	5.64	5.65	170535	2140	0.17	          1.13	5.60	5.73	5.54	5.56	--  	96572952	  0.81	化纤	浙江	3.42	5.66	74492	96042	  0.78	632	2171	--  	         15.13	
002065	东华软件	-0.05	21.67	-0.01	21.67	21.68	83964	730	0.09	          0.61	21.82	21.83	21.45	21.68	    40.38	181702464	  1.01	软件服务	北京	1.75	21.64	44437	39526	  1.12	1475	464	--  	         13.68	
002075	沙钢股份	--  	16.12	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.12	   203.01	0	  0.00	特种钢	江苏	0.00	16.12	0	0	--  	0	0	--  	         22.07	
002146	荣盛发展	2.11	9.19	0.19	9.18	9.19	353195	2939	0.10	          0.91	8.98	9.28	8.81	9.00	    13.78	323110976	  2.11	全国地产	河北	5.22	9.15	158849	194346	  0.82	424	701	--  	         38.89	
002171	楚江新材	0.60	16.83	0.10	16.83	16.84	41088	696	0.17	          1.20	16.53	16.83	16.44	16.73	    46.53	68478592	  0.80	铜	安徽	2.33	16.67	22927	18161	  1.26	191	104	--  	          3.43	
002177	御银股份	2.43	7.60	0.18	7.59	7.60	110976	2174	0.13	          1.78	7.42	7.63	7.41	7.42	   129.37	83752216	  1.49	电脑设备	广东	2.96	7.55	47286	63690	  0.74	744	4409	--  	          6.22	
002183	怡 亚 通	1.48	10.99	0.16	10.98	10.99	212643	1216	0.00	          1.01	10.80	11.05	10.72	10.83	    38.33	232177712	  1.41	仓储物流	深圳	3.05	10.92	104900	107743	  0.97	272	2505	--  	         20.98	
002233	塔牌集团	0.65	10.88	0.07	10.88	10.89	93478	1507	0.09	          1.23	10.77	10.91	10.61	10.81	    21.43	100853112	  0.65	水泥	广东	2.78	10.79	44861	48617	  0.92	696	2034	--  	          7.58	
002269	美邦服饰	-0.21	4.86	-0.01	4.86	4.87	137909	2335	0.20	          0.55	4.85	4.87	4.74	4.87	--  	66334832	  1.03	服饰	上海	2.67	4.81	71074	66835	  1.06	1147	4198	--  	         25.13	
002271	东方雨虹	2.36	26.85	0.62	26.84	26.85	90436	603	0.03	          1.61	26.26	27.17	25.85	26.23	    24.66	241572784	  1.60	其他建材	北京	5.03	26.71	42496	47940	  0.89	61	193	--  	          5.61	
002277	友阿股份	1.05	16.30	0.17	16.29	16.30	290508	3266	0.00	          5.13	16.15	16.52	15.99	16.13	    38.59	472230336	  1.64	百货	湖南	3.29	16.26	134841	155666	  0.87	1280	175	--  	          5.66	
002286	保龄宝	-0.40	14.97	-0.06	14.97	14.98	20296	431	0.00	          0.87	14.92	15.06	14.89	15.03	   103.37	30381118	  0.63	食品	山东	1.13	14.97	12604	7691	  1.64	52	10	--  	          2.34	
002288	超华科技	-0.39	7.65	-0.03	7.65	7.66	88218	1141	0.00	          1.34	7.62	7.69	7.52	7.68	  1196.59	67324168	  0.77	元器件	广东	2.21	7.63	50266	37951	  1.32	776	590	--  	          6.60	
002298	中电鑫龙	-0.07	13.41	-0.01	13.41	13.42	54236	1282	0.07	          1.38	13.40	13.45	13.24	13.42	    68.41	72527448	  1.07	软件服务	安徽	1.56	13.37	32056	22179	  1.45	105	252	--  	          3.92	
002307	北新路桥	-0.79	12.53	-0.10	12.53	12.54	169290	2691	0.00	          3.04	12.57	12.68	12.42	12.63	   199.93	211781584	  0.74	建筑施工	新疆	2.06	12.51	101109	68180	  1.48	338	1487	--  	          5.57	
002310	东方园林	2.49	15.23	0.37	15.22	15.23	340184	7512	0.13	          2.40	14.85	15.23	14.71	14.86	    59.14	513290048	  2.11	建筑施工	北京	3.50	15.09	151155	189029	  0.80	2270	400	--  	         14.16	
002355	兴民智通	4.29	15.33	0.63	15.33	15.34	189977	2146	0.13	          5.55	14.58	15.39	14.53	14.70	   154.97	286232000	  1.37	汽车配件	山东	5.85	15.07	84299	105678	  0.80	1462	729	--  	          3.42	
002360	同德化工	-0.09	11.27	-0.01	11.27	11.28	33873	115	-0.08	          1.15	11.29	11.44	11.18	11.28	    63.44	38296084	  1.23	化工原料	山西	2.30	11.31	19372	14500	  1.34	1019	131	--  	          2.95	
002361	神剑股份	1.11	8.21	0.09	8.21	8.22	176832	3711	0.00	          3.06	8.12	8.28	8.05	8.12	    49.35	144625152	  0.92	化工原料	安徽	2.83	8.18	89462	87370	  1.02	55	1004	--  	          5.77	
002398	建研集团	0.67	13.62	0.09	13.62	13.63	36137	446	-0.21	          1.42	13.53	13.68	13.44	13.53	    27.53	49093680	  0.76	其他建材	福建	1.77	13.59	16976	19160	  0.89	74	13	--  	          2.55	
002412	汉森制药	-0.06	18.03	-0.01	18.03	18.04	11501	107	-0.05	          0.40	18.05	18.14	17.87	18.04	    65.84	20739326	  0.43	中成药	湖南	1.50	18.03	5119	6381	  0.80	12	50	--  	          2.87	
002457	青龙管业	1.14	11.58	0.13	11.58	11.59	42127	418	0.08	          1.60	11.52	11.58	11.37	11.45	   365.30	48474744	  1.15	塑料	宁夏	1.83	11.51	14119	28008	  0.50	302	231	--  	          2.64	
002515	金字火腿	0.00	16.96	0.00	16.96	16.97	54079	900	0.05	          1.50	16.85	16.98	16.60	16.96	   371.38	90794368	  0.47	食品	浙江	2.24	16.79	28116	25963	  1.08	533	512	--  	          3.62	
002524	光正集团	0.09	11.43	0.01	11.43	11.44	278910	24492	1.69	          5.57	11.37	11.57	11.16	11.42	--  	316620224	  0.76	供气供热	新疆	3.59	11.35	145143	133766	  1.09	3187	923	--  	          5.01	
002567	唐人神	-0.93	12.79	-0.12	12.79	12.80	34226	165	-0.07	          0.81	12.85	12.98	12.71	12.91	    35.08	44089636	  0.93	饲料	湖南	2.09	12.88	15601	18624	  0.84	87	69	--  	          4.20	
002612	朗姿股份	-0.57	17.50	-0.10	17.49	17.50	27029	442	0.11	          1.29	17.52	17.54	17.18	17.60	    63.68	46987428	  0.65	服饰	北京	2.05	17.38	15398	11630	  1.32	40	8	--  	          2.10	
002640	跨境通	-0.83	17.90	-0.15	17.89	17.90	49023	590	0.05	          0.66	18.05	18.18	17.63	18.05	    70.32	87493912	  0.98	服饰	山西	3.05	17.85	32364	16658	  1.94	2021	58	--  	          7.41	
002661	克明面业	-0.06	15.80	-0.01	15.79	15.80	17007	392	0.00	          0.52	15.75	15.85	15.60	15.81	    42.00	26819022	  0.82	食品	湖南	1.58	15.77	8079	8928	  0.90	105	31	--  	          3.29	
002697	红旗连锁	0.13	7.92	0.01	7.91	7.92	133401	2432	0.00	          1.82	7.88	7.94	7.81	7.91	    59.90	105067376	  0.84	超市连锁	四川	1.64	7.88	64080	69320	  0.92	3238	119	--  	          7.31	
002721	金一文化	0.86	16.40	0.14	16.40	16.41	20120	229	0.00	          0.78	16.36	16.44	16.01	16.26	    97.69	32841168	  0.86	服饰	北京	2.64	16.32	8812	11307	  0.78	204	274	--  	          2.56	
300011	鼎汉技术	-0.21	19.20	-0.04	19.19	19.20	33093	220	0.10	          0.89	19.25	19.30	18.95	19.24	   122.53	63253184	  1.50	运输设备	北京	1.82	19.11	21067	12026	  1.75	45	68	--  	          3.74	
300038	梅泰诺	-0.31	45.22	-0.14	45.21	45.22	55737	792	-0.08	          4.03	45.10	46.29	45.03	45.36	    91.92	253987728	  1.65	通信设备	北京	2.78	45.57	29181	26556	  1.10	170	99	--  	          1.38	
300070	碧水源	1.61	16.45	0.26	16.45	16.46	179749	1254	-0.06	          0.89	16.20	16.57	16.11	16.19	    87.69	294649792	  1.31	环境保护	北京	2.84	16.39	75174	104575	  0.72	535	26	--  	         20.09	
300157	恒泰艾普	0.68	8.87	0.06	8.87	8.88	69524	850	0.11	          1.20	8.83	8.89	8.74	8.81	  1277.09	61489080	  0.73	石油开采	北京	1.70	8.84	27933	41591	  0.67	178	2242	--  	          5.77	
300194	福安药业	1.26	26.60	0.33	26.59	26.60	57540	1540	0.03	          3.62	26.20	26.65	25.82	26.27	    50.67	151369360	  1.32	化学制药	重庆	3.16	26.31	25626	31914	  0.80	35	364	--  	          1.59	
300251	光线传媒	0.00	9.70	0.00	9.70	9.71	98581	1136	0.00	          0.36	9.69	9.73	9.60	9.70	    36.77	95402976	  0.89	影视音像	北京	1.34	9.68	49438	49142	  1.01	286	2513	--  	         27.52	
300283	温州宏丰	-0.21	9.69	-0.02	9.68	9.69	29475	208	-0.20	          1.45	9.71	9.74	9.46	9.71	    93.28	28303534	  1.16	电气设备	浙江	2.88	9.60	12376	17098	  0.72	87	5	--  	          2.03	
300284	苏交科	-0.40	20.03	-0.08	20.03	20.04	37612	313	0.25	          1.12	20.15	20.17	19.82	20.11	    34.52	75156952	  1.21	建筑施工	江苏	1.74	19.98	21546	16066	  1.34	161	41	--  	          3.36	
300324	旋极信息	0.93	21.60	0.20	21.60	21.61	54285	391	0.00	          0.94	21.42	22.00	21.36	21.40	    92.75	118002864	  0.83	软件服务	北京	2.99	21.74	28003	26282	  1.07	159	5	--  	          5.79	
300498	温氏股份	0.54	33.57	0.18	33.56	33.57	66255	1021	0.00	          0.23	33.30	33.74	33.18	33.39	    10.11	222084192	  0.71	农业综合	广东	1.68	33.52	27997	38258	  0.73	129	1601	--  	         28.38	
600012	皖通高速	0.00	14.57	0.00	14.56	14.57	36375	6	0.00	          0.31	14.53	14.80	14.44	14.57	    25.86	53038320	  0.84	路桥	安徽	2.47	14.58	18984	17390	  1.09	78	16	--  	         11.66	
600031	三一重工	2.13	7.66	0.16	7.66	7.67	877449	17	0.13	          1.16	7.58	7.75	7.53	7.50	   252.00	671845696	  1.60	工程机械	湖南	2.93	7.66	406280	471169	  0.86	100	1053	--  	         75.94	
600095	哈高科	2.33	14.49	0.33	14.48	14.50	327971	6	0.06	          9.08	14.07	14.58	13.95	14.16	--  	466679168	  1.98	区域地产	黑龙江	4.45	14.23	123584	204387	  0.60	746	66	--  	          3.61	
600113	浙江东日	0.55	20.03	0.11	20.03	20.05	59203	3	-0.19	          1.86	19.87	20.14	19.78	19.92	    64.19	118313176	  0.74	区域地产	浙江	1.81	19.98	29620	29582	  1.00	80	36	--  	          3.19	
600122	宏图高科	1.10	12.86	0.14	12.86	12.87	136184	15	-0.07	          1.18	12.69	12.87	12.51	12.72	    37.34	173668592	  1.25	其他商业	江苏	2.83	12.75	64182	72001	  0.89	72	2248	--  	         11.52	
600143	金发科技	0.00	7.74	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	7.74	    25.57	0	  0.00	塑料	广东	0.00	7.74	0	0	--  	0	0	--  	         25.60	
600162	香江控股	0.77	3.92	0.03	3.91	3.92	123820	3	0.25	          0.70	3.89	3.92	3.86	3.89	    20.97	48270272	  1.33	全国地产	深圳	1.54	3.90	60879	62941	  0.97	2345	13035	--  	         17.62	
600196	复星医药	0.74	25.99	0.19	25.99	26.00	117783	2	0.00	          0.62	25.72	26.27	25.68	25.80	    21.62	306655264	  1.66	化学制药	上海	2.29	26.04	61037	56745	  1.08	23	148	--  	         19.09	
600208	新湖中宝	0.00	5.14	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	5.14	    47.74	0	  0.00	全国地产	浙江	0.00	5.14	0	0	--  	0	0	--  	         85.98	
600255	鑫科材料	0.00	4.92	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	4.92	--  	0	  0.00	铜	安徽	0.00	4.92	0	0	--  	0	0	--  	         17.70	
600260	凯乐科技	3.28	20.48	0.65	20.48	20.49	206663	2	-0.38	          3.88	19.78	20.65	19.69	19.83	    90.72	419938912	  1.33	通信设备	湖北	4.84	20.32	94862	111801	  0.85	18	5	--  	          5.33	
600351	亚宝药业	0.11	9.09	0.01	9.08	9.09	38731	2	0.11	          0.56	9.09	9.10	9.02	9.08	    77.97	35106956	  1.00	中成药	山西	0.88	9.06	16511	22219	  0.74	889	758	--  	          6.92	
600380	健康元	0.41	9.84	0.04	9.83	9.84	76515	8	0.10	          0.49	9.79	9.85	9.63	9.80	    31.31	74731064	  0.70	化学制药	深圳	2.24	9.77	40614	35900	  1.13	538	114	--  	         15.62	
600400	红豆股份	0.00	8.56	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	8.56	   109.30	0	  0.00	服饰	江苏	0.00	8.56	0	0	--  	0	0	--  	         11.21	
600410	华胜天成	1.46	10.40	0.15	10.40	10.41	63477	18	0.38	          0.71	10.21	10.41	10.19	10.25	   341.85	65523352	  0.75	软件服务	北京	2.15	10.32	22112	41365	  0.53	37	1	--  	          8.92	
600478	科力远	1.83	10.02	0.18	10.01	10.02	112779	2	-0.09	          0.88	9.87	10.13	9.83	9.84	--  	113225896	  2.23	元器件	湖南	3.05	10.04	44240	68539	  0.65	318	166	--  	         12.75	
600546	*ST山煤	3.23	5.12	0.16	5.11	5.12	155557	10	0.19	          0.78	4.99	5.14	4.96	4.96	--  	78638968	  0.85	煤炭开采	山西	3.63	5.06	60662	94895	  0.64	1074	3461	--  	         19.82	
600588	用友网络	0.26	19.27	0.05	19.25	19.29	44671	2	-0.10	          0.31	19.31	19.36	19.02	19.22	--  	85825168	  0.62	软件服务	北京	1.77	19.21	21979	22692	  0.97	16	42	--  	         14.60	
600692	亚通股份	0.91	17.83	0.16	17.82	17.83	108447	111	0.11	          4.25	17.51	17.84	17.22	17.67	   147.87	189790256	  1.07	水运	上海	3.51	17.50	55796	52651	  1.06	1157	42	--  	          2.55	
600728	佳都科技	0.88	9.22	0.08	9.22	9.23	422245	10	0.21	          3.18	9.21	9.48	9.15	9.14	 10281.79	392564960	  1.40	软件服务	广东	3.61	9.30	214433	207811	  1.03	1448	635	--  	         13.29	
600882	广泽股份	1.03	10.83	0.11	10.82	10.84	32193	1	-0.09	          0.81	10.80	10.84	10.62	10.72	    94.43	34719328	  1.08	乳制品	上海	2.05	10.78	16371	15821	  1.03	122	225	--  	          3.99	
600884	杉杉股份	-0.46	14.99	-0.07	14.98	14.99	189178	65	0.20	          2.30	14.98	15.30	14.80	15.06	    47.10	285711168	  0.85	服饰	浙江	3.32	15.10	95851	93327	  1.03	300	55	--  	          8.22	
600998	九州通	0.25	19.93	0.05	19.94	19.95	16429	15	0.00	          0.11	19.88	19.98	19.66	19.88	    53.83	32560952	  0.75	医药商业	湖北	1.61	19.82	8576	7852	  1.09	158	141	--  	         14.42	
601208	东材科技	0.50	7.98	0.04	7.97	7.98	74798	100	0.25	          1.19	7.91	7.98	7.83	7.94	    93.62	59185032	  0.70	化工原料	四川	1.89	7.91	41005	33793	  1.21	371	89	--  	          6.27	
601216	君正集团	1.92	5.30	0.10	5.30	5.31	1688323	1142	0.00	          2.00	5.18	5.35	5.10	5.20	    33.84	887112256	  1.20	化工原料	内蒙	4.81	5.25	707035	981287	  0.72	2908	4819	--  	         84.38	
601339	百隆东方	0.32	6.36	0.02	6.36	6.37	50954	2	-0.15	          0.34	6.31	6.38	6.31	6.34	    17.98	32361044	  0.64	纺织	浙江	1.10	6.35	30213	20741	  1.46	1261	9	--  	         15.00	
601567	三星医疗	0.92	12.13	0.11	12.14	12.15	23234	2	0.08	          0.23	12.02	12.18	11.89	12.02	    35.81	27964120	  1.27	电器仪表	浙江	2.41	12.04	9158	14075	  0.65	3	131	--  	         10.15	
601777	力帆股份	0.87	9.29	0.08	9.28	9.29	90377	1	0.32	          0.73	9.21	9.29	9.08	9.21	    46.98	83137040	  0.56	摩托车	重庆	2.28	9.20	48270	42106	  1.15	529	2	--  	         12.37	
