代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000778	新兴铸管	2.21	5.54	0.12	5.53	5.54	575889	10287	0.00	          1.58	5.42	5.54	5.37	5.42	    66.69	314424512	  1.31	钢加工	河北	3.14	5.46	216751	359137	  0.60	7323	7620	--  	         36.43	
002051	中工国际	2.20	25.59	0.55	25.58	25.59	59060	793	0.27	          0.64	25.05	25.70	24.80	25.04	    25.02	150016368	  0.75	建筑施工	北京	3.59	25.40	27073	31986	  0.85	41	100	--  	          9.20	
002060	粤 水 电	0.13	7.96	0.01	7.96	7.97	39639	342	0.12	          0.66	7.95	7.97	7.83	7.95	    52.97	31370572	  0.85	建筑施工	广东	1.76	7.91	20979	18660	  1.12	351	1250	--  	          6.01	
002131	利欧股份	0.47	14.81	0.07	14.80	14.81	186912	2243	0.06	          2.11	14.76	14.87	14.62	14.74	    40.97	275877024	  0.89	互联网	浙江	1.70	14.76	89451	97461	  0.92	629	28	--  	          8.87	
002205	国统股份	0.75	30.95	0.23	30.94	30.95	28512	335	0.03	          2.45	30.78	31.00	30.18	30.72	--  	87194976	  1.24	其他建材	新疆	2.67	30.58	15643	12869	  1.22	102	56	--  	          1.16	
002457	青龙管业	1.14	11.58	0.13	11.58	11.59	42127	418	0.08	          1.60	11.52	11.58	11.37	11.45	   365.30	48474744	  1.15	塑料	宁夏	1.83	11.51	14119	28008	  0.50	302	231	--  	          2.64	
002532	新界泵业	2.07	14.77	0.30	14.77	14.78	21304	338	-0.13	          0.93	14.38	14.86	14.35	14.47	    37.76	31212252	  1.12	农用机械	浙江	3.52	14.65	9522	11782	  0.81	139	149	--  	          2.30	
002586	围海股份	0.75	9.40	0.07	9.38	9.40	57857	363	0.10	          0.83	9.33	9.45	9.30	9.33	   261.38	54237860	  1.60	建筑施工	浙江	1.61	9.37	26368	31489	  0.84	537	797	--  	          6.94	
002619	巨龙管业	-0.79	16.32	-0.13	16.32	16.33	62353	735	0.06	          2.21	16.46	16.50	16.21	16.45	    79.47	101520928	  1.04	水泥	浙江	1.76	16.28	38270	24082	  1.59	150	302	--  	          2.82	
300021	大禹节水	-1.64	19.16	-0.32	19.16	19.17	71404	1621	0.05	          4.31	19.33	19.35	19.00	19.48	   218.76	136841808	  0.70	农业综合	甘肃	1.80	19.16	38203	33200	  1.15	218	110	--  	          1.66	
300145	中金环境	-0.36	27.30	-0.10	27.30	27.33	47880	372	0.51	          1.21	27.44	27.46	26.84	27.40	    46.43	129623632	  1.11	专用机械	浙江	2.26	27.07	33105	14775	  2.24	405	20	--  	          3.94	
600068	葛洲坝	3.98	10.98	0.42	10.98	10.99	812634	80	0.09	          1.96	10.56	10.99	10.55	10.56	    16.91	881120512	  1.58	建筑施工	湖北	4.17	10.84	329302	483331	  0.68	1037	11558	--  	         41.49	
600075	新疆天业	0.44	13.61	0.06	13.61	13.62	87103	6	0.29	          1.99	13.53	13.64	13.30	13.55	    17.74	117377840	  0.95	化工原料	新疆	2.51	13.48	43650	43452	  1.00	34	774	--  	          4.39	
600116	三峡水利	-0.52	9.59	-0.05	9.58	9.59	166817	23	-0.10	          1.88	9.61	9.64	9.45	9.64	    36.20	159282640	  0.86	水力发电	重庆	1.97	9.55	91137	75679	  1.20	1691	23	--  	          8.88	
600131	岷江水电	0.09	10.88	0.01	10.89	10.90	57735	2	0.00	          1.45	10.88	10.90	10.59	10.87	    25.05	62088912	  0.55	水力发电	四川	2.85	10.75	31098	26636	  1.17	24	426	--  	          3.97	
600283	钱江水利	-0.64	12.45	-0.08	12.43	12.44	43653	1158	-0.08	          1.30	12.52	12.52	12.30	12.53	--  	54107668	  0.67	水务	浙江	1.76	12.39	22227	21426	  1.04	70	17	--  	          3.36	
600326	西藏天路	0.39	10.21	0.04	10.21	10.22	143351	12	0.19	          2.15	10.11	10.25	10.00	10.17	    29.86	145253984	  0.74	建筑施工	西藏	2.46	10.13	70096	73254	  0.96	315	24	--  	          6.66	
600502	安徽水利	1.66	9.80	0.16	9.79	9.80	154141	12	0.00	          1.70	9.69	9.85	9.59	9.64	    28.99	150425456	  1.08	建筑施工	安徽	2.70	9.76	54653	99488	  0.55	579	947	--  	          9.04	
601669	中国电建	0.41	7.31	0.03	7.30	7.31	450290	15	0.13	          0.47	7.25	7.34	7.17	7.28	    14.08	327104192	  1.19	建筑施工	北京	2.34	7.26	198222	252067	  0.79	2508	457	--  	         96.00	
数据来源:通达信
