代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000798	中水渔业	1.54	11.85	0.18	11.84	11.85	37856	664	0.08	          1.19	11.65	11.86	11.59	11.67	--  	44526744	  0.99	渔业	北京	2.31	11.76	15981	21874	  0.73	53	360	--  	          3.19	
002069	*ST獐岛	-0.69	11.48	-0.08	11.48	11.49	84815	879	0.17	          1.24	11.57	11.62	11.39	11.56	   192.34	97871576	  1.56	渔业	辽宁	1.99	11.54	53087	31728	  1.67	513	30	--  	          6.82	
002086	东方海洋	0.28	10.62	0.03	10.62	10.63	34789	975	0.00	          0.73	10.60	10.65	10.47	10.59	    95.32	36731724	  0.67	渔业	山东	1.70	10.56	16738	18050	  0.93	61	314	--  	          4.76	
002173	*ST创疗	2.32	19.83	0.45	19.82	19.83	23396	290	0.20	          1.14	19.38	19.94	19.32	19.38	   100.57	46130204	  1.57	农业综合	浙江	3.20	19.72	12280	11116	  1.10	10	441	--  	          2.06	
002447	壹桥股份	-0.11	9.37	-0.01	9.36	9.37	92532	1220	0.10	          1.59	9.29	9.45	9.28	9.38	    50.91	86464840	  0.87	渔业	辽宁	1.81	9.34	54051	38480	  1.40	501	410	--  	          5.80	
002696	百洋股份	--  	24.36	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.36	   103.62	0	  0.00	渔业	广西	0.00	24.36	0	0	--  	0	0	--  	          1.04	
300094	国联水产	1.18	9.42	0.11	9.41	9.42	39318	458	0.00	          0.53	9.31	9.47	9.25	9.31	    87.44	36833512	  0.47	渔业	广东	2.36	9.37	20643	18674	  1.11	124	65	--  	          7.46	
600097	开创国际	-0.25	19.98	-0.05	19.98	19.99	46087	19	0.20	          2.27	20.06	20.09	19.60	20.03	--  	91493480	  0.82	渔业	上海	2.45	19.85	23547	22539	  1.04	126	233	--  	          2.03	
600257	大湖股份	-0.30	9.93	-0.03	9.92	9.94	50784	410	0.20	          1.19	10.00	10.01	9.85	9.96	   684.55	50334912	  1.06	渔业	湖南	1.61	9.91	27390	23394	  1.17	160	468	--  	          4.27	
600467	好当家	0.95	4.24	0.04	4.23	4.24	148110	21	0.23	          1.01	4.19	4.24	4.16	4.20	   118.25	62224520	  0.82	渔业	山东	1.90	4.20	63178	84931	  0.74	2758	3067	--  	         14.61	
数据来源:通达信
