代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000005	世纪星源	-0.15	6.63	-0.01	6.63	6.64	151310	741	0.00	          1.59	6.62	6.69	6.51	6.64	    39.35	99983144	  0.90	房产服务	深圳	2.71	6.61	61199	90110	  0.68	1030	2727	--  	          9.51	
000425	徐工机械	2.29	4.02	0.09	4.01	4.02	1092317	28084	0.24	          1.56	3.93	4.05	3.90	3.93	   127.77	436577120	  1.42	工程机械	江苏	3.82	4.00	416425	675892	  0.62	3276	17003	--  	         69.94	
000532	力合股份	0.38	18.29	0.07	18.29	18.30	40054	759	0.16	          1.17	18.21	18.30	17.81	18.22	   158.27	72338856	  0.63	元器件	广东	2.69	18.06	21222	18832	  1.13	171	421	--  	          3.43	
000544	中原环保	-1.51	19.52	-0.30	19.52	19.53	47625	1230	-0.05	          1.77	19.80	19.80	19.30	19.82	    38.23	93146968	  0.47	环境保护	河南	2.52	19.56	24549	23075	  1.06	74	234	--  	          2.69	
000598	兴蓉环境	0.17	5.87	0.01	5.86	5.87	212041	3143	0.00	          0.71	5.86	5.87	5.80	5.86	    17.32	123858504	  0.81	水务	四川	1.19	5.84	108415	103625	  1.05	7737	54	--  	         29.86	
000605	渤海股份	-0.05	20.74	-0.01	20.74	20.75	15596	327	0.00	          1.32	20.80	20.82	20.51	20.75	   122.32	32210712	  0.93	水务	北京	1.49	20.65	8437	7159	  1.18	129	136	--  	          1.18	
000685	中山公用	0.92	10.99	0.10	10.99	11.00	56664	831	0.00	          0.53	10.87	11.01	10.81	10.89	    16.68	61898600	  1.05	水务	广东	1.84	10.92	23078	33585	  0.69	116	317	--  	         10.71	
000753	漳州发展	0.00	5.47	0.00	5.47	5.48	126315	2637	0.00	          1.54	5.45	5.48	5.39	5.47	   251.18	68755392	  0.77	汽车服务	福建	1.65	5.44	71637	54678	  1.31	1157	3632	--  	          8.19	
000778	新兴铸管	2.21	5.54	0.12	5.53	5.54	575889	10287	0.00	          1.58	5.42	5.54	5.37	5.42	    66.69	314424512	  1.31	钢加工	河北	3.14	5.46	216751	359137	  0.60	7323	7620	--  	         36.43	
000826	启迪桑德	1.23	34.50	0.42	34.49	34.50	32952	617	0.00	          0.39	34.08	34.55	33.88	34.08	    30.87	112715056	  1.22	环境保护	湖北	1.97	34.21	15578	17374	  0.90	28	543	--  	          8.47	
000915	山大华特	1.88	43.45	0.80	43.45	43.46	33380	410	0.11	          1.86	42.65	43.46	41.80	42.65	    36.82	142878464	  0.82	化学制药	山东	3.89	42.80	15218	18161	  0.84	250	356	--  	          1.80	
000920	南方汇通	0.13	15.08	0.02	15.08	15.09	53897	560	0.39	          1.28	15.09	15.09	14.86	15.06	    58.96	80645920	  1.49	环境保护	贵州	1.53	14.96	24885	29011	  0.86	45	114	--  	          4.22	
000925	众合科技	0.54	24.15	0.13	24.15	24.16	59738	1868	-0.12	          1.96	23.82	24.47	23.82	24.02	--  	144512480	  0.84	专用机械	浙江	2.71	24.19	31061	28677	  1.08	181	194	--  	          3.06	
002034	美 欣 达	-0.14	55.51	-0.08	55.50	55.51	6703	197	-0.14	          1.10	56.30	56.55	55.29	55.59	   286.00	37398680	  0.80	纺织	浙江	2.27	55.80	3807	2895	  1.32	26	9	--  	          0.61	
002051	中工国际	2.20	25.59	0.55	25.58	25.59	59060	793	0.27	          0.64	25.05	25.70	24.80	25.04	    25.02	150016368	  0.75	建筑施工	北京	3.59	25.40	27073	31986	  0.85	41	100	--  	          9.20	
002125	湘潭电化	-0.08	12.52	-0.01	12.52	12.53	38207	272	0.00	          1.72	12.52	12.56	12.31	12.53	   237.71	47509072	  0.74	化工原料	湖南	2.00	12.43	21911	16295	  1.34	570	3	--  	          2.23	
002140	东华科技	1.11	14.52	0.16	14.51	14.52	31503	1045	0.06	          0.72	14.36	14.52	14.21	14.36	    59.13	45486900	  0.64	建筑施工	安徽	2.16	14.44	13306	18196	  0.73	382	2	--  	          4.39	
002168	深圳惠程	--  	16.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.99	   184.81	0	  0.00	电气设备	深圳	0.00	16.99	0	0	--  	0	0	--  	          7.62	
002255	海陆重工	--  	10.06	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.06	    91.10	0	  0.00	专用机械	江苏	0.00	10.06	0	0	--  	0	0	--  	          4.42	
002310	东方园林	2.49	15.23	0.37	15.22	15.23	340184	7512	0.13	          2.40	14.85	15.23	14.71	14.86	    59.14	513290048	  2.11	建筑施工	北京	3.50	15.09	151155	189029	  0.80	2270	400	--  	         14.16	
002469	三维工程	0.41	9.79	0.04	9.79	9.80	59277	838	-0.10	          1.28	9.74	9.86	9.67	9.75	   418.71	58010408	  0.66	建筑施工	山东	1.95	9.79	30362	28915	  1.05	105	242	--  	          4.63	
002483	润邦股份	0.36	13.97	0.05	13.97	13.98	64133	1167	-0.07	          1.79	13.81	14.04	13.65	13.92	    55.98	89043504	  0.56	工程机械	江苏	2.80	13.88	33299	30833	  1.08	944	886	--  	          3.59	
002573	清新环境	1.80	20.32	0.36	20.32	20.33	146389	1254	0.00	          1.37	19.89	20.37	19.71	19.96	    32.61	294238176	  1.00	环境保护	北京	3.31	20.10	60009	86380	  0.69	1892	767	--  	         10.65	
002672	东江环保	0.44	18.24	0.08	18.24	18.25	58241	1045	0.05	          1.33	18.24	18.25	17.95	18.16	    31.90	105522544	  1.00	环境保护	广东	1.65	18.12	30737	27503	  1.12	363	262	--  	          4.37	
002688	金河生物	1.05	10.57	0.11	10.56	10.57	37456	1592	0.09	          0.71	10.45	10.58	10.37	10.46	    40.79	39329532	  0.83	化学制药	内蒙	2.01	10.50	16062	21393	  0.75	1398	584	--  	          5.29	
