代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000030	富奥股份	1.96	8.83	0.17	8.82	8.83	103535	704	0.11	          0.83	8.66	8.95	8.61	8.66	    16.50	90658352	  1.84	汽车配件	吉林	3.93	8.76	45744	57790	  0.79	314	770	--  	         12.47	
000823	超声电子	5.87	14.42	0.80	14.42	14.43	271893	7910	0.27	          5.06	13.58	14.43	13.36	13.62	    51.73	382096928	  1.66	元器件	广东	7.86	14.05	108094	163798	  0.66	1370	1030	--  	          5.37	
000887	中鼎股份	-1.52	24.65	-0.38	24.64	24.65	148778	2590	0.08	          1.34	25.01	25.01	24.51	25.03	    28.57	367271296	  1.28	橡胶	安徽	2.00	24.69	95377	53401	  1.79	244	216	--  	         11.14	
000901	航天科技	1.03	36.34	0.37	36.33	36.34	33034	801	0.08	          1.02	36.01	36.39	35.82	35.97	   399.85	119620544	  0.56	航空	黑龙江	1.58	36.21	15431	17603	  0.88	597	146	--  	          3.24	
000988	华工科技	2.30	16.02	0.36	16.01	16.02	184570	2453	0.12	          2.07	15.66	16.08	15.55	15.66	    63.87	293708800	  1.42	电器仪表	湖北	3.38	15.91	78738	105832	  0.74	1592	2041	--  	          8.91	
002048	宁波华翔	0.89	23.80	0.21	23.80	23.81	80983	1297	0.16	          1.76	23.53	24.05	23.35	23.59	    20.64	192762192	  0.94	汽车配件	浙江	2.97	23.80	42793	38190	  1.12	271	498	--  	          4.61	
002055	得润电子	4.71	24.01	1.08	24.01	24.02	130972	2279	0.00	          3.25	23.02	24.10	23.02	22.93	   106.05	311023744	  1.27	元器件	深圳	4.71	23.75	51545	79426	  0.65	139	333	--  	          4.03	
002232	启明信息	1.49	12.97	0.19	12.96	12.97	42511	370	0.15	          1.06	12.75	13.05	12.55	12.78	  8513.61	54543276	  1.07	软件服务	吉林	3.91	12.83	18828	23683	  0.80	195	17	--  	          4.02	
002284	亚太股份	0.52	13.45	0.07	13.45	13.46	54446	1243	0.00	          0.79	13.38	13.49	13.32	13.38	    59.65	73123600	  0.44	汽车配件	浙江	1.27	13.43	26689	27757	  0.96	513	767	--  	          6.86	
002368	太极股份	0.71	32.48	0.23	32.48	32.49	29893	564	-0.03	          0.74	32.37	32.49	32.05	32.25	   156.19	96574768	  0.87	软件服务	北京	1.36	32.31	13689	16203	  0.84	7	110	--  	          4.02	
002405	四维图新	2.83	20.00	0.55	19.99	20.00	233965	4595	0.25	          2.32	19.52	20.15	19.25	19.45	   158.88	463744672	  0.93	软件服务	北京	4.63	19.82	98256	135708	  0.72	322	1677	--  	         10.08	
002446	盛路通信	2.20	23.22	0.50	23.21	23.22	29813	494	-0.04	          1.62	22.72	23.27	22.65	22.72	    43.26	68601240	  1.16	通信设备	广东	2.73	23.01	10381	19432	  0.53	2	421	--  	          1.85	
002456	欧菲光	4.62	36.03	1.59	36.02	36.03	317444	2829	0.00	          3.09	34.30	36.28	34.10	34.44	    51.79	1128560384	  2.66	元器件	深圳	6.33	35.55	123970	193473	  0.64	118	157	--  	         10.28	
002463	沪电股份	0.83	4.87	0.04	4.86	4.87	146172	930	0.00	          0.87	4.81	4.88	4.78	4.83	    94.50	70701496	  0.90	元器件	江苏	2.07	4.84	62556	83616	  0.75	1869	1563	--  	         16.73	
002635	安洁科技	4.24	40.56	1.65	40.55	40.56	95404	711	0.44	          4.51	38.88	41.09	37.92	38.91	    44.29	379724800	  1.71	电脑设备	江苏	8.15	39.80	38372	57031	  0.67	15	37	--  	          2.12	
002664	信质电机	--  	25.39	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	25.39	    42.88	0	  0.00	汽车配件	浙江	0.00	25.39	0	0	--  	0	0	--  	          3.21	
