代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000059	华锦股份	-0.08	12.36	-0.01	12.36	12.37	345059	4097	0.24	          2.46	12.24	12.42	12.07	12.37	    12.63	423133696	  0.64	石油加工	辽宁	2.83	12.26	167379	177679	  0.94	189	1547	--  	         14.00	
000096	广聚能源	-0.53	16.93	-0.09	16.93	16.95	68375	2145	0.11	          1.34	17.00	17.30	16.85	17.02	    64.01	116344992	  1.39	石油贸易	深圳	2.64	17.02	38328	30046	  1.28	555	25	--  	          5.11	
000159	国际实业	0.96	9.49	0.09	9.48	9.49	136867	1679	0.21	          2.84	9.38	9.54	9.23	9.40	   294.68	128967680	  0.71	石油贸易	新疆	3.30	9.42	66872	69995	  0.96	394	1270	--  	          4.81	
000407	胜利股份	--  	10.08	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.08	   341.19	0	  0.00	供气供热	山东	0.00	10.08	0	0	--  	0	0	--  	          6.66	
000554	泰山石油	0.75	12.11	0.09	12.10	12.11	116270	3442	-0.08	          3.21	12.09	12.13	11.84	12.02	  1444.00	139678592	  0.60	石油贸易	山东	2.41	12.01	59001	57268	  1.03	2434	666	--  	          3.63	
000637	茂化实华	0.75	8.08	0.06	8.08	8.09	88067	573	0.00	          2.40	7.98	8.10	7.90	8.02	    92.99	70541480	  0.85	石油加工	广东	2.49	8.01	44444	43623	  1.02	611	1653	--  	          3.66	
000703	恒逸石化	-1.78	14.86	-0.27	14.85	14.86	82192	837	-0.13	          0.71	15.06	15.30	14.62	15.13	    35.91	123310592	  1.25	化纤	广西	4.49	15.00	48207	33985	  1.42	80	40	--  	         11.54	
000822	山东海化	-0.28	7.08	-0.02	7.07	7.08	108989	1443	0.14	          1.22	7.08	7.09	6.93	7.10	    71.34	76432432	  1.25	化工原料	山东	2.25	7.01	50986	58003	  0.88	677	2629	--  	          8.95	
002207	准油股份	-0.06	16.24	-0.01	16.23	16.24	55246	1396	-0.30	          2.55	16.30	16.59	16.02	16.25	--  	89695640	  0.93	石油开采	新疆	3.51	16.24	28225	27020	  1.04	15	215	--  	          2.17	
002210	飞马国际	-0.53	20.60	-0.11	20.59	20.60	16299	179	0.19	          0.22	20.51	20.60	20.33	20.71	   106.02	33375990	  0.77	仓储物流	深圳	1.30	20.48	7139	9159	  0.78	15	649	--  	          7.57	
