代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000022	深赤湾Ａ	0.20	19.75	0.04	19.75	19.76	59899	3418	-0.30	          1.29	19.50	19.88	19.33	19.71	    22.35	117773880	  0.52	港口	深圳	2.79	19.66	29129	30770	  0.95	94	20	--  	          4.65	
000088	盐 田 港	0.95	7.46	0.07	7.45	7.46	51092	1174	0.26	          0.26	7.38	7.46	7.30	7.39	    40.30	37708844	  0.47	港口	深圳	2.17	7.38	27997	23095	  1.21	448	25	--  	         19.42	
000415	渤海金控	0.28	7.27	0.02	7.26	7.27	159594	3362	0.00	          0.51	7.22	7.27	7.15	7.25	    23.42	114994928	  0.69	多元金融	新疆	1.66	7.21	87159	72434	  1.20	1196	1698	--  	         31.16	
000507	珠海港	1.02	6.93	0.07	6.92	6.93	99624	1278	0.00	          1.29	6.84	6.93	6.81	6.86	    48.85	68639448	  0.42	港口	广东	1.75	6.89	42730	56894	  0.75	2886	1199	--  	          7.72	
000582	北部湾港	0.86	16.40	0.14	16.39	16.40	36429	859	0.06	          1.80	16.20	16.40	15.52	16.26	    30.13	58614672	  1.14	港口	广西	5.41	16.09	16823	19605	  0.86	425	380	--  	          2.02	
000905	厦门港务	2.53	12.16	0.30	12.16	12.17	118193	3038	0.16	          2.23	11.85	12.16	11.73	11.86	    39.29	142138976	  0.94	港口	福建	3.63	12.03	54677	63516	  0.86	835	526	--  	          5.31	
000911	南宁糖业	-0.25	15.85	-0.04	15.85	15.86	36186	527	0.00	          1.12	15.87	15.87	15.61	15.89	--  	57090836	  0.75	食品	广西	1.64	15.78	19917	16269	  1.22	386	334	--  	          3.24	
002040	南 京 港	0.63	19.26	0.12	19.26	19.27	56031	1632	0.05	          2.28	19.15	19.30	18.85	19.14	   253.29	107129992	  0.70	港口	江苏	2.35	19.12	28126	27904	  1.01	409	358	--  	          2.46	
600017	日照港	0.74	4.08	0.03	4.07	4.08	132859	12	0.24	          0.43	4.05	4.08	4.03	4.05	    40.75	53877948	  0.80	港口	山东	1.23	4.06	56708	76151	  0.74	3855	3424	--  	         30.76	
600242	中昌数据	-3.18	16.43	-0.54	16.49	16.50	172837	23	0.61	          6.47	16.80	17.80	16.16	16.97	--  	290496448	  3.26	水运	广东	9.66	16.81	75957	96880	  0.78	8	18	--  	          2.67	
600368	五洲交通	0.16	6.14	0.01	6.14	6.15	72546	10	0.00	          0.87	6.10	6.16	6.05	6.13	    23.04	44401836	  0.89	路桥	广西	1.79	6.12	24276	48269	  0.50	2044	2357	--  	          8.34	
600428	中远海特	-0.14	6.95	-0.01	6.94	6.95	240809	225	-0.14	          1.42	6.94	7.04	6.94	6.96	   337.12	168224320	  0.84	水运	广东	1.44	6.99	123472	117336	  1.05	1679	3285	--  	         16.90	
600436	片仔癀	1.36	48.50	0.65	48.53	48.54	63473	1	0.12	          1.05	47.80	48.90	47.71	47.85	    45.62	307705344	  2.49	中成药	福建	2.49	48.48	29664	33808	  0.88	3	14	--  	          6.03	
600515	海航基础	1.35	12.05	0.16	12.05	12.06	27486	70	0.08	          0.65	11.93	12.10	11.82	11.89	    53.88	32864886	  1.27	百货	海南	2.35	11.96	11250	16235	  0.69	47	157	--  	          4.23	
600712	南宁百货	-1.15	10.35	-0.12	10.34	10.35	38375	20	0.00	          0.71	10.40	10.45	10.29	10.47	--  	39674008	  0.82	百货	广西	1.53	10.34	20042	18333	  1.09	2333	49	--  	          5.38	
600717	天津港	2.39	11.14	0.26	11.13	11.14	195856	65	0.08	          1.17	10.95	11.30	10.94	10.88	    13.98	218425312	  2.84	港口	天津	3.31	11.15	83180	112676	  0.74	6	583	--  	         16.75	
600798	宁波海运	1.07	5.69	0.06	5.68	5.69	92791	20	0.17	          0.90	5.64	5.71	5.56	5.63	    80.46	52408708	  0.77	水运	浙江	2.66	5.65	34886	57904	  0.60	2	587	--  	         10.31	
601008	连云港	1.58	5.79	0.09	5.79	5.80	108942	59	0.17	          1.07	5.68	5.79	5.62	5.70	   602.60	62519944	  0.84	港口	江苏	2.98	5.74	46716	62226	  0.75	189	4154	--  	         10.15	
601018	宁波港	0.00	5.29	0.00	5.28	5.29	196871	9	0.00	          0.15	5.27	5.31	5.24	5.29	    27.70	103920632	  0.83	港口	浙江	1.32	5.28	112757	84113	  1.34	3436	1837	--  	        128.00	
601866	中远海发	0.49	4.10	0.02	4.09	4.10	187770	980	0.00	          0.24	4.08	4.10	4.04	4.08	--  	76500584	  0.90	水运	上海	1.47	4.07	96101	91668	  1.05	1118	7271	--  	         79.32	
601880	大连港	0.69	2.91	0.02	2.90	2.91	324211	1248	0.34	          0.42	2.88	2.91	2.86	2.89	    81.43	93563824	  0.92	港口	辽宁	1.73	2.89	154191	170020	  0.91	19292	18819	--  	         77.36	
数据来源:通达信
