代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000065	北方国际	1.67	31.03	0.51	31.03	31.04	28485	451	0.03	          0.71	30.52	31.15	30.05	30.52	    74.91	87849824	  0.82	建筑施工	北京	3.60	30.84	13633	14851	  0.92	34	92	--  	          4.01	
000151	中成股份	0.91	18.84	0.17	18.83	18.84	31484	496	0.21	          1.18	18.66	18.84	18.55	18.67	    55.36	58888104	  0.66	商贸代理	北京	1.55	18.70	17163	14321	  1.20	28	95	--  	          2.67	
000425	徐工机械	2.29	4.02	0.09	4.01	4.02	1092317	28084	0.24	          1.56	3.93	4.05	3.90	3.93	   127.77	436577120	  1.42	工程机械	江苏	3.82	4.00	416425	675892	  0.62	3276	17003	--  	         69.94	
000528	柳 工	0.33	9.10	0.03	9.09	9.10	254665	2252	0.11	          2.26	9.09	9.23	9.02	9.07	  1221.14	232960640	  1.10	工程机械	广西	2.32	9.15	109740	144925	  0.76	376	2266	--  	         11.25	
000680	山推股份	-0.15	6.59	-0.01	6.59	6.60	405216	3175	-0.15	          3.83	6.55	6.68	6.42	6.60	--  	265812448	  0.90	工程机械	山东	3.94	6.56	216559	188657	  1.15	1143	4709	--  	         10.57	
000928	中钢国际	3.55	19.81	0.68	19.80	19.81	139295	858	-0.15	          3.37	19.00	19.88	18.90	19.13	    28.13	271801728	  1.15	建筑施工	吉林	5.12	19.51	60472	78822	  0.77	732	507	--  	          4.13	
002051	中工国际	2.20	25.59	0.55	25.58	25.59	59060	793	0.27	          0.64	25.05	25.70	24.80	25.04	    25.02	150016368	  0.75	建筑施工	北京	3.59	25.40	27073	31986	  0.85	41	100	--  	          9.20	
002307	北新路桥	-0.79	12.53	-0.10	12.53	12.54	169290	2691	0.00	          3.04	12.57	12.68	12.42	12.63	   199.93	211781584	  0.74	建筑施工	新疆	2.06	12.51	101109	68180	  1.48	338	1487	--  	          5.57	
600031	三一重工	2.13	7.66	0.16	7.66	7.67	877449	17	0.13	          1.16	7.58	7.75	7.53	7.50	   252.00	671845696	  1.60	工程机械	湖南	2.93	7.66	406280	471169	  0.86	100	1053	--  	         75.94	
600068	葛洲坝	3.98	10.98	0.42	10.98	10.99	812634	80	0.09	          1.96	10.56	10.99	10.55	10.56	    16.91	881120512	  1.58	建筑施工	湖北	4.17	10.84	329302	483331	  0.68	1037	11558	--  	         41.49	
600320	振华重工	1.31	5.42	0.07	5.41	5.42	115086	18	-0.36	          0.42	5.34	5.44	5.30	5.35	   114.72	61834936	  0.86	工程机械	上海	2.62	5.37	48988	66098	  0.74	1376	136	--  	         27.68	
600477	杭萧钢构	0.29	10.23	0.03	10.22	10.23	97777	92	0.19	          1.22	10.17	10.28	10.05	10.20	    27.12	99382560	  0.60	钢加工	浙江	2.25	10.16	50745	47032	  1.08	15	885	--  	          8.03	
600710	*ST常林	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	--  	--  	0	  0.00	工程机械	江苏	--  	0.00	0	0	--  	0	0	--  	          6.40	
600853	龙建股份	0.88	6.87	0.06	6.86	6.87	54864	10	0.00	          1.02	6.81	6.87	6.73	6.81	   182.71	37389508	  0.79	建筑施工	黑龙江	2.06	6.82	23235	31628	  0.73	394	685	--  	          5.37	
