代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000526	紫光学大	-0.05	36.70	-0.02	36.70	36.71	15437	205	0.02	          1.60	36.70	36.88	36.57	36.72	--  	56616196	  0.68	文教休闲	福建	0.84	36.68	7583	7853	  0.97	128	12	--  	          0.96	
000536	华映科技	0.33	12.07	0.04	12.07	12.08	47256	913	0.00	          0.61	12.01	12.08	11.92	12.03	    38.25	56843140	  0.67	元器件	福建	1.33	12.03	23976	23279	  1.03	269	1042	--  	          7.77	
000547	航天发展	0.91	15.57	0.14	15.57	15.58	93983	1348	0.06	          1.04	15.43	15.62	15.37	15.43	   112.43	145818736	  0.55	通信设备	福建	1.62	15.52	45349	48634	  0.93	268	760	--  	          9.01	
000592	平潭发展	-0.16	6.41	-0.01	6.40	6.41	147737	1593	0.15	          0.77	6.43	6.43	6.30	6.42	   435.91	94164696	  1.14	林业	福建	2.02	6.37	85805	61932	  1.39	1210	1358	--  	         19.13	
000632	三木集团	1.25	8.94	0.11	8.93	8.94	104646	2508	0.22	          2.25	8.81	8.96	8.79	8.83	  2196.09	93079704	  0.98	综合类	福建	1.93	8.89	52687	51959	  1.01	392	865	--  	          4.65	
000663	永安林业	0.26	15.31	0.04	15.31	15.32	43788	295	0.06	          2.31	15.18	15.39	15.06	15.27	   443.74	66966712	  0.75	林业	福建	2.16	15.29	21867	21920	  1.00	285	132	--  	          1.89	
000671	阳 光 城	2.30	5.79	0.13	5.79	5.80	276756	1323	0.00	          0.85	5.68	5.83	5.68	5.66	    48.39	159615360	  2.06	区域地产	福建	2.65	5.77	111442	165314	  0.67	1551	1323	--  	         32.45	
000701	厦门信达	-0.07	14.60	-0.01	14.59	14.60	61208	1561	-0.06	          1.72	14.56	14.65	14.47	14.61	    46.11	89260472	  1.00	综合类	福建	1.23	14.58	23866	37342	  0.64	1167	79264	--  	          3.57	
000732	泰禾集团	1.98	18.56	0.36	18.55	18.56	79467	859	0.10	          0.64	18.25	18.62	18.09	18.20	    14.27	146702096	  1.23	区域地产	福建	2.91	18.46	41389	38077	  1.09	178	479	--  	         12.43	
000753	漳州发展	0.00	5.47	0.00	5.47	5.48	126315	2637	0.00	          1.54	5.45	5.48	5.39	5.47	   251.18	68755392	  0.77	汽车服务	福建	1.65	5.44	71637	54678	  1.31	1157	3632	--  	          8.19	
000797	中国武夷	1.73	18.80	0.32	18.80	18.81	39903	456	0.00	          0.93	18.53	18.96	18.50	18.48	   552.51	74701808	  1.30	全国地产	福建	2.49	18.72	20135	19767	  1.02	3	133	--  	          4.28	
000905	厦门港务	2.53	12.16	0.30	12.16	12.17	118193	3038	0.16	          2.23	11.85	12.16	11.73	11.86	    39.29	142138976	  0.94	港口	福建	3.63	12.03	54677	63516	  0.86	835	526	--  	          5.31	
000993	闽东电力	-0.98	14.20	-0.14	14.20	14.21	139111	2290	0.00	          3.73	14.21	14.29	13.95	14.34	    33.01	196420384	  0.80	水力发电	福建	2.37	14.12	82015	57096	  1.44	941	381	--  	          3.73	
