代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000039	中集集团	1.55	16.34	0.25	16.33	16.34	72288	305	-0.06	          0.57	16.11	16.38	16.08	16.09	--  	117672952	  0.66	轻工机械	深圳	1.86	16.28	28970	43318	  0.67	76	892	--  	         12.62	
000099	中信海直	-0.16	12.64	-0.02	12.64	12.65	80907	2046	0.31	          1.33	12.58	12.65	12.34	12.66	    75.75	101210064	  0.79	空运	深圳	2.45	12.51	40417	40489	  1.00	566	249	--  	          6.06	
000852	石化机械	1.31	12.34	0.16	12.33	12.34	43725	333	-0.08	          0.73	12.11	12.42	11.92	12.18	--  	53184628	  0.72	化工机械	湖北	4.11	12.16	21854	21870	  1.00	373	61	--  	          5.98	
000898	鞍钢股份	2.45	5.86	0.14	5.85	5.86	255998	2793	0.17	          0.42	5.73	5.86	5.64	5.72	    32.55	147724160	  1.17	普钢	辽宁	3.85	5.77	79414	176583	  0.45	1488	3896	--  	         61.49	
002151	北斗星通	0.19	31.97	0.06	31.97	31.98	44204	466	0.06	          1.89	31.92	32.25	31.70	31.91	   235.80	141331392	  0.44	通信设备	北京	1.72	31.97	23692	20512	  1.16	654	52	--  	          2.34	
002278	神开股份	-0.58	17.05	-0.10	17.03	17.05	90726	1127	0.41	          3.05	17.02	17.16	16.81	17.15	--  	154758032	  1.16	化工机械	上海	2.04	17.06	37482	53243	  0.70	17	298	--  	          2.97	
002314	南山控股	2.92	8.80	0.25	8.79	8.80	570706	9396	0.34	          7.74	8.72	9.10	8.55	8.55	    24.95	501164736	  4.33	区域地产	深圳	6.43	8.78	270066	300639	  0.90	880	710	--  	          7.38	
002318	久立特材	0.50	10.07	0.05	10.06	10.07	97736	152	0.00	          1.20	10.02	10.09	9.89	10.02	    59.38	97735064	  1.08	特种钢	浙江	2.00	10.00	52355	45380	  1.15	971	201	--  	          8.16	
002342	巨力索具	1.38	8.11	0.11	8.11	8.12	199781	2479	0.12	          2.31	8.01	8.16	7.88	8.00	   283.80	160534416	  0.72	机械基件	河北	3.50	8.04	107594	92187	  1.17	2150	2347	--  	          8.66	
002353	杰瑞股份	0.86	22.24	0.19	22.24	22.25	125787	1380	0.00	          1.87	21.97	22.30	21.48	22.05	   152.34	275869696	  1.04	化工机械	山东	3.72	21.93	62309	63478	  0.98	91	478	--  	          6.74	
002423	*ST中特	0.14	13.95	0.02	13.95	13.96	38988	523	0.07	          0.84	13.78	14.07	13.56	13.93	--  	53991368	  0.53	特种钢	河南	3.66	13.85	20279	18709	  1.08	39	57	--  	          4.66	
002445	中南文化	-0.43	16.12	-0.07	16.11	16.12	36965	326	0.00	          0.58	16.10	16.15	15.78	16.19	    73.94	59113236	  0.82	影视音像	江苏	2.29	15.99	23459	13505	  1.74	61	89	--  	          6.35	
002483	润邦股份	0.36	13.97	0.05	13.97	13.98	64133	1167	-0.07	          1.79	13.81	14.04	13.65	13.92	    55.98	89043504	  0.56	工程机械	江苏	2.80	13.88	33299	30833	  1.08	944	886	--  	          3.59	
002490	山东墨龙	0.24	8.44	0.02	8.44	8.45	282185	8856	0.11	          9.41	8.44	8.50	8.20	8.42	   605.31	235507184	  0.52	化工机械	山东	3.56	8.35	148985	133199	  1.12	710	1809	--  	          3.00	
002608	*ST舜船	0.00	13.71	0.00	13.71	13.72	89753	862	0.07	          1.67	13.62	13.98	13.62	13.71	--  	123425544	  0.50	船舶	江苏	2.63	13.75	50693	39059	  1.30	128	275	--  	          5.37	
300008	天海防务	0.51	25.54	0.13	25.53	25.54	76058	938	0.19	          4.12	25.43	25.69	25.35	25.41	    61.75	194043984	  0.56	船舶	上海	1.34	25.51	39999	36059	  1.11	454	62	--  	          1.85	
