代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000039	中集集团	1.55	16.34	0.25	16.33	16.34	72288	305	-0.06	          0.57	16.11	16.38	16.08	16.09	--  	117672952	  0.66	轻工机械	深圳	1.86	16.28	28970	43318	  0.67	76	892	--  	         12.62	
000151	中成股份	0.91	18.84	0.17	18.83	18.84	31484	496	0.21	          1.18	18.66	18.84	18.55	18.67	    55.36	58888104	  0.66	商贸代理	北京	1.55	18.70	17163	14321	  1.20	28	95	--  	          2.67	
000598	兴蓉环境	0.17	5.87	0.01	5.86	5.87	212041	3143	0.00	          0.71	5.86	5.87	5.80	5.86	    17.32	123858504	  0.81	水务	四川	1.19	5.84	108415	103625	  1.05	7737	54	--  	         29.86	
000822	山东海化	-0.28	7.08	-0.02	7.07	7.08	108989	1443	0.14	          1.22	7.08	7.09	6.93	7.10	    71.34	76432432	  1.25	化工原料	山东	2.25	7.01	50986	58003	  0.88	677	2629	--  	          8.95	
000920	南方汇通	0.13	15.08	0.02	15.08	15.09	53897	560	0.39	          1.28	15.09	15.09	14.86	15.06	    58.96	80645920	  1.49	环境保护	贵州	1.53	14.96	24885	29011	  0.86	45	114	--  	          4.22	
002168	深圳惠程	--  	16.99	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.99	   184.81	0	  0.00	电气设备	深圳	0.00	16.99	0	0	--  	0	0	--  	          7.62	
002203	海亮股份	0.45	9.01	0.04	9.01	9.02	123240	2098	0.11	          0.85	8.93	9.06	8.83	8.97	    28.82	110425008	  0.55	铜	浙江	2.56	8.96	62374	60865	  1.02	772	626	--  	         14.45	
002318	久立特材	0.50	10.07	0.05	10.06	10.07	97736	152	0.00	          1.20	10.02	10.09	9.89	10.02	    59.38	97735064	  1.08	特种钢	浙江	2.00	10.00	52355	45380	  1.15	971	201	--  	          8.16	
002540	亚太科技	1.15	7.90	0.09	7.90	7.91	39328	189	-0.25	          0.56	7.84	7.93	7.77	7.81	    30.72	30964988	  0.94	铝	江苏	2.05	7.87	11845	27482	  0.43	310	1	--  	          7.05	
002665	首航节能	0.70	8.58	0.06	8.58	8.59	71662	1087	0.23	          0.47	8.51	8.61	8.38	8.52	   119.82	60781504	  1.82	电气设备	北京	2.70	8.48	33944	37718	  0.90	170	438	--  	         15.41	
300070	碧水源	1.61	16.45	0.26	16.45	16.46	179749	1254	-0.06	          0.89	16.20	16.57	16.11	16.19	    87.69	294649792	  1.31	环境保护	北京	2.84	16.39	75174	104575	  0.72	535	26	--  	         20.09	
300145	中金环境	-0.36	27.30	-0.10	27.30	27.33	47880	372	0.51	          1.21	27.44	27.46	26.84	27.40	    46.43	129623632	  1.11	专用机械	浙江	2.26	27.07	33105	14775	  2.24	405	20	--  	          3.94	
300172	中电环保	1.06	10.51	0.11	10.50	10.51	65074	1725	0.19	          1.91	10.34	10.51	10.30	10.40	    53.95	67908680	  0.69	环境保护	江苏	2.02	10.44	36238	28836	  1.26	682	790	--  	          3.42	
300262	巴安水务	0.48	16.79	0.08	16.78	16.79	26958	959	0.00	          1.17	16.75	16.82	16.51	16.71	    34.42	45027476	  0.79	环境保护	上海	1.86	16.70	12118	14840	  0.82	93	173	--  	          2.30	
300332	天壕环境	0.66	9.12	0.06	9.12	9.13	101165	346	0.10	          1.60	9.04	9.20	9.00	9.06	    70.66	92002496	  1.22	环境保护	北京	2.21	9.09	48340	52824	  0.92	197	78	--  	          6.34	
300334	津膜科技	0.23	17.35	0.04	17.35	17.36	39118	424	0.05	          1.42	17.35	17.36	17.11	17.31	   180.82	67285248	  1.13	专用机械	天津	1.44	17.20	25155	13963	  1.80	113	109	--  	          2.75	
300447	全信股份	0.99	51.20	0.50	51.20	51.21	20819	697	0.00	          3.79	50.60	51.34	50.05	50.70	    91.93	106237352	  0.82	电气设备	江苏	2.54	51.03	10504	10315	  1.02	351	58	--  	          0.55	
600008	首创股份	0.23	4.37	0.01	4.37	4.38	548754	280	0.00	          1.14	4.35	4.42	4.34	4.36	    40.24	240462416	  0.68	环境保护	北京	1.83	4.38	328905	219848	  1.50	23	4340	--  	         48.21	
600100	同方股份	0.22	13.94	0.03	13.94	13.95	251383	131	0.28	          1.14	13.89	13.98	13.81	13.91	     6.08	349681408	  0.75	电脑设备	北京	1.22	13.91	137961	113422	  1.22	546	901	--  	         21.98	
600456	宝钛股份	1.83	23.38	0.42	23.39	23.40	145097	97	0.73	          3.37	22.78	23.41	22.44	22.96	--  	332005312	  0.73	小金属	陕西	4.22	22.88	72277	72820	  0.99	856	545	--  	          4.30	
600458	时代新材	0.63	14.38	0.09	14.38	14.39	39914	20	0.06	          0.60	14.28	14.39	14.11	14.29	    42.46	56967520	  0.77	塑料	湖南	1.96	14.27	21603	18311	  1.18	18	567	--  	          6.61	
600481	双良节能	0.00	8.35	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	8.35	    77.51	0	  0.00	环境保护	江苏	0.00	8.35	0	0	--  	0	0	--  	         16.20	
数据来源:通达信
