代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000007	全新好	--  	23.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.81	   237.21	0	  0.00	酒店餐饮	深圳	0.00	23.81	0	0	--  	0	0	--  	          2.06	
000100	TCL 集团	0.85	3.58	0.03	3.58	3.59	503236	4821	0.00	          0.56	3.55	3.59	3.51	3.55	    21.32	178647712	  0.92	家用电器	广东	2.25	3.55	210404	292831	  0.72	721	35650	--  	         90.01	
000159	国际实业	0.96	9.49	0.09	9.48	9.49	136867	1679	0.21	          2.84	9.38	9.54	9.23	9.40	   294.68	128967680	  0.71	石油贸易	新疆	3.30	9.42	66872	69995	  0.96	394	1270	--  	          4.81	
000408	*ST金源	0.00	16.06	0.00	16.06	16.07	11699	737	0.06	          0.46	16.03	16.10	15.90	16.06	    53.36	18723940	  0.79	商贸代理	河北	1.25	16.01	6143	5555	  1.11	420	153	--  	          2.52	
000502	绿景控股	1.38	17.69	0.24	17.69	17.70	23871	373	-0.05	          1.30	17.47	17.70	17.33	17.45	--  	41904820	  0.60	医疗保健	广东	2.12	17.55	9440	14431	  0.65	34	240	--  	          1.83	
000506	中润资源	1.97	10.36	0.20	10.36	10.37	235687	2972	0.29	          2.54	10.16	10.58	10.10	10.16	  1104.70	244037104	  1.43	区域地产	山东	4.72	10.35	112540	123147	  0.91	1597	227	--  	          9.29	
000511	*ST烯碳	-1.22	6.47	-0.08	6.47	6.48	568318	12800	0.31	          4.92	6.40	6.53	6.22	6.55	--  	361703552	  0.77	矿物制品	辽宁	4.73	6.36	312224	256094	  1.22	3127	1027	--  	         11.55	
000534	万泽股份	1.22	15.74	0.19	15.73	15.74	16155	260	-0.12	          0.33	15.52	15.85	15.48	15.55	   101.60	25406802	  0.64	区域地产	广东	2.38	15.73	6706	9449	  0.71	30	82	--  	          4.91	
000540	中天城投	2.76	6.70	0.18	6.69	6.70	414902	7851	0.00	          1.05	6.52	6.75	6.44	6.52	    11.50	274821088	  2.09	区域地产	贵州	4.75	6.62	157088	257813	  0.61	3819	2627	--  	         39.46	
000547	航天发展	0.91	15.57	0.14	15.57	15.58	93983	1348	0.06	          1.04	15.43	15.62	15.37	15.43	   112.43	145818736	  0.55	通信设备	福建	1.62	15.52	45349	48634	  0.93	268	760	--  	          9.01	
