代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000552	靖远煤电	1.01	4.00	0.04	3.99	4.00	122437	4776	0.25	          0.79	3.95	4.00	3.91	3.96	    57.20	48640188	  0.51	煤炭开采	甘肃	2.27	3.97	59489	62947	  0.95	3247	9559	--  	         15.57	
000571	新大洲Ａ	-0.26	7.65	-0.02	7.65	7.66	44935	561	-0.13	          0.61	7.65	7.69	7.59	7.67	    72.27	34370816	  0.84	煤炭开采	海南	1.30	7.65	24497	20438	  1.20	647	427	--  	          7.36	
000723	美锦能源	--  	12.23	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.23	    57.40	0	  0.00	焦炭加工	山西	0.00	12.23	0	0	--  	0	0	--  	          5.17	
000780	平庄能源	1.74	5.85	0.10	5.84	5.85	147686	1499	0.34	          1.46	5.75	5.89	5.67	5.75	--  	85979336	  1.48	煤炭开采	内蒙	3.83	5.82	65420	82265	  0.80	1283	1848	--  	         10.14	
000933	*ST神火	1.89	7.55	0.14	7.54	7.55	197944	2091	0.00	          1.05	7.38	7.57	7.35	7.41	    13.03	148199088	  0.86	煤炭开采	河南	2.97	7.49	84225	113718	  0.74	1524	3383	--  	         18.90	
000937	冀中能源	2.08	6.86	0.14	6.85	6.86	358366	5533	-0.14	          1.25	6.70	6.94	6.63	6.72	   224.12	243992368	  1.31	煤炭开采	河北	4.61	6.81	148662	209703	  0.71	3509	482	--  	         28.69	
000968	*ST煤气	1.00	13.08	0.13	13.07	13.08	59266	2106	0.53	          2.28	12.93	13.10	12.70	12.95	--  	76543520	  0.66	煤炭开采	山西	3.09	12.92	27939	31326	  0.89	27	914	--  	          2.60	
000983	西山煤电	1.21	9.21	0.11	9.21	9.22	303329	1327	0.10	          0.96	9.08	9.31	8.97	9.10	   107.23	278111840	  1.00	煤炭开采	山西	3.74	9.17	126484	176844	  0.72	385	313	--  	         31.51	
002128	露天煤业	2.18	8.92	0.19	8.92	8.93	118048	709	0.11	          0.74	8.74	8.94	8.71	8.73	    21.97	104571008	  1.12	煤炭开采	内蒙	2.63	8.86	47404	70644	  0.67	877	1714	--  	         15.88	
600121	郑州煤电	-0.37	5.43	-0.02	5.43	5.44	147363	72	0.00	          1.45	5.44	5.47	5.32	5.45	--  	79616416	  0.69	煤炭开采	河南	2.75	5.40	80430	66933	  1.20	40	763	--  	         10.15	
600123	兰花科创	1.13	8.04	0.09	8.04	8.05	120926	10	0.12	          1.06	7.92	8.05	7.89	7.95	--  	96685512	  0.57	煤炭开采	山西	2.01	8.00	46343	74583	  0.62	165	1808	--  	         11.42	
600157	永泰能源	0.75	4.04	0.03	4.03	4.04	162240	12	0.00	          0.35	4.00	4.04	3.99	4.01	    81.64	65213908	  0.95	煤炭开采	山西	1.25	4.02	70247	91993	  0.76	2874	9880	--  	         45.96	
600188	兖州煤业	1.56	10.42	0.16	10.41	10.42	86119	4	0.00	          0.29	10.26	10.47	10.16	10.26	    37.71	89231688	  1.01	煤炭开采	山东	3.02	10.36	38672	47446	  0.82	247	562	--  	         29.60	
600348	阳泉煤业	1.91	6.94	0.13	6.93	6.94	240602	10	-0.14	          1.00	6.82	6.95	6.76	6.81	    98.59	165568912	  0.79	煤炭开采	山西	2.79	6.88	90219	150382	  0.60	617	2	--  	         24.05	
600395	盘江股份	1.48	8.22	0.12	8.21	8.22	100169	1	0.12	          0.61	8.09	8.24	8.02	8.10	   132.94	81883024	  1.19	煤炭开采	贵州	2.72	8.17	41535	58633	  0.71	67	1291	--  	         16.55	
600397	安源煤业	0.74	5.48	0.04	5.47	5.48	124788	5	0.00	          1.26	5.43	5.50	5.42	5.44	--  	68233104	  1.30	煤炭开采	江西	1.47	5.47	49826	74961	  0.66	1660	415	--  	          9.90	
600403	大有能源	0.18	5.53	0.01	5.52	5.53	36237	10	0.00	          0.15	5.48	5.53	5.43	5.52	--  	19946158	  0.83	煤炭开采	河南	1.81	5.50	17060	19177	  0.89	75	5897	--  	         23.91	
600408	安泰集团	-1.08	4.57	-0.05	4.56	4.57	150816	99	0.21	          1.50	4.61	4.62	4.50	4.62	--  	68430376	  1.93	焦炭加工	山西	2.60	4.54	103693	47123	  2.20	249	523	--  	         10.07	
600508	上海能源	1.23	11.55	0.14	11.54	11.55	35967	56	0.17	          0.50	11.40	11.57	11.32	11.41	    20.99	41269204	  0.68	煤炭开采	上海	2.19	11.47	14003	21963	  0.64	119	543	--  	          7.23	
600546	*ST山煤	3.23	5.12	0.16	5.11	5.12	155557	10	0.19	          0.78	4.99	5.14	4.96	4.96	--  	78638968	  0.85	煤炭开采	山西	3.63	5.06	60662	94895	  0.64	1074	3461	--  	         19.82	
600714	金瑞矿业	-2.58	15.08	-0.40	15.08	15.09	82290	52	0.33	          2.92	15.41	15.47	14.84	15.48	    33.38	124036776	  0.58	煤炭开采	青海	4.07	15.07	47956	34334	  1.40	13	24	--  	          2.82	
600721	*ST百花	1.18	18.85	0.22	18.85	18.86	15013	7	-0.15	          0.60	18.62	18.93	18.61	18.63	    54.24	28276484	  0.55	焦炭加工	新疆	1.72	18.83	7756	7257	  1.07	139	119	--  	          2.49	
600725	*ST云维	0.00	2.85	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	2.85	     2.27	0	  0.00	焦炭加工	云南	0.00	2.85	0	0	--  	0	0	--  	         12.32	
600740	山西焦化	1.13	8.02	0.09	8.01	8.02	126074	10	0.12	          1.92	7.93	8.08	7.75	7.93	--  	100328656	  1.28	焦炭加工	山西	4.16	7.96	53812	72261	  0.74	1576	409	--  	          6.57	
600758	红阳能源	0.27	11.21	0.03	11.21	11.22	178165	159	0.08	          3.16	11.22	11.27	11.00	11.18	--  	198818912	  0.65	煤炭开采	辽宁	2.42	11.16	86899	91265	  0.95	675	711	--  	          5.63	
600792	云煤能源	1.44	5.65	0.08	5.64	5.65	62648	10	0.00	          0.63	5.58	5.66	5.52	5.57	--  	35125424	  0.94	焦炭加工	云南	2.51	5.61	18303	44344	  0.41	825	870	--  	          9.90	
600971	恒源煤电	4.63	7.69	0.34	7.68	7.69	271734	123	0.13	          2.72	7.35	7.82	7.31	7.35	    49.31	205692928	  1.63	煤炭开采	安徽	6.94	7.57	120375	151358	  0.80	124	16	--  	         10.00	
600997	开滦股份	1.15	7.04	0.08	7.03	7.04	100538	23	0.14	          0.81	6.94	7.08	6.87	6.96	    41.13	70255368	  1.19	煤炭开采	河北	3.02	6.99	51067	49471	  1.03	624	399	--  	         12.35	
601001	大同煤业	1.77	6.33	0.11	6.32	6.33	139142	135	0.15	          0.83	6.21	6.40	6.15	6.22	    30.83	87806288	  1.10	煤炭开采	山西	4.02	6.31	61838	77303	  0.80	1923	360	--  	         16.74	
601011	宝泰隆	0.97	7.28	0.07	7.27	7.28	122578	148	0.13	          0.94	7.19	7.29	7.18	7.21	   302.23	89011600	  0.72	焦炭加工	黑龙江	1.53	7.26	55138	67440	  0.82	1426	95	--  	         13.09	
601015	陕西黑猫	3.67	9.61	0.34	9.61	9.62	135616	153	0.10	          3.05	9.26	9.80	9.12	9.27	    94.50	129496576	  1.97	焦炭加工	陕西	7.34	9.55	62988	72628	  0.87	364	1439	--  	          4.44	
601088	中国神华	0.67	16.51	0.11	16.50	16.51	156875	224	0.12	          0.10	16.38	16.54	16.21	16.40	    14.23	257312304	  1.17	煤炭开采	北京	2.01	16.40	80038	76836	  1.04	920	226	--  	        164.91	
601101	昊华能源	2.72	7.17	0.19	7.17	7.18	83724	131	0.13	          0.70	6.96	7.19	6.93	6.98	--  	59373816	  1.54	煤炭开采	北京	3.72	7.09	29139	54585	  0.53	663	2075	--  	         12.00	
601225	陕西煤业	3.55	5.84	0.20	5.84	5.85	598588	158	0.34	          0.60	5.59	5.86	5.52	5.64	    42.68	345028928	  1.77	煤炭开采	陕西	6.03	5.76	251518	347069	  0.72	433	6519	--  	        100.00	
601666	平煤股份	1.96	5.72	0.11	5.72	5.73	218379	20	0.00	          0.92	5.57	5.74	5.50	5.61	   104.64	123185216	  1.37	煤炭开采	河南	4.28	5.64	99628	118750	  0.84	137	2284	--  	         23.61	
601699	潞安环能	3.60	8.91	0.31	8.90	8.91	361638	75	0.11	          1.21	8.60	8.95	8.57	8.60	   221.44	318628096	  1.36	煤炭开采	山西	4.42	8.81	152198	209439	  0.73	109	511	--  	         29.91	
601898	中煤能源	1.03	5.88	0.06	5.88	5.89	165127	16	0.00	          0.18	5.83	5.89	5.76	5.82	    65.43	96543712	  0.85	煤炭开采	北京	2.23	5.85	72464	92662	  0.78	1440	5619	--  	         91.52	
