代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000571	新大洲Ａ	-0.26	7.65	-0.02	7.65	7.66	44935	561	-0.13	          0.61	7.65	7.69	7.59	7.67	    72.27	34370816	  0.84	煤炭开采	海南	1.30	7.65	24497	20438	  1.20	647	427	--  	          7.36	
000868	安凯客车	0.72	7.01	0.05	7.01	7.02	91484	779	0.00	          1.32	6.94	7.02	6.89	6.96	   141.82	63581872	  1.02	汽车整车	安徽	1.87	6.95	37882	53601	  0.71	1239	1862	--  	          6.96	
002167	东方锆业	2.43	12.63	0.30	12.62	12.63	129148	1862	-0.07	          2.74	12.33	12.74	12.16	12.33	  1948.17	161180528	  0.72	小金属	广东	4.70	12.48	53021	76127	  0.70	213	1035	--  	          4.72	
002274	华昌化工	0.57	8.79	0.05	8.79	8.80	49729	697	0.00	          1.01	8.74	8.81	8.62	8.74	   254.25	43407384	  0.76	农药化肥	江苏	2.17	8.73	24364	25365	  0.96	275	322	--  	          4.90	
002549	凯美特气	-0.10	9.96	-0.01	9.95	9.96	51677	1664	0.10	          0.91	10.02	10.02	9.90	9.97	   439.06	51462244	  0.83	环境保护	湖南	1.20	9.96	31289	20388	  1.53	1056	1287	--  	          5.67	
002592	八菱科技	0.00	30.97	0.00	30.97	30.98	4830	169	0.35	          0.38	30.82	31.18	30.62	30.97	    72.53	14946053	  0.54	汽车配件	广西	1.81	30.94	2778	2052	  1.35	16	16	--  	          1.29	
002639	雪人股份	0.59	11.92	0.07	11.92	11.93	90610	1896	0.16	          2.42	11.89	11.96	11.70	11.85	   400.73	107490136	  0.55	专用机械	福建	2.19	11.86	45603	45007	  1.01	657	593	--  	          3.75	
300068	南都电源	--  	20.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.14	    48.11	0	  0.00	电气设备	浙江	0.00	20.14	0	0	--  	0	0	--  	          5.82	
300228	富瑞特装	-1.25	14.17	-0.18	14.17	14.18	108708	1130	0.14	          2.81	14.21	14.35	13.96	14.35	--  	153140704	  0.95	化工机械	江苏	2.72	14.09	63895	44812	  1.43	67	417	--  	          3.87	
300325	德威新材	0.16	6.38	0.01	6.37	6.38	83964	1242	0.00	          1.06	6.39	6.43	6.34	6.37	    90.58	53564088	  1.25	塑料	江苏	1.41	6.38	37016	46948	  0.79	1891	3528	--  	          7.94	
300408	三环集团	-1.03	18.18	-0.19	18.18	18.19	99407	305	0.00	          1.02	18.31	18.44	18.09	18.37	    30.63	181508192	  1.06	元器件	广东	1.91	18.26	59244	40162	  1.48	594	270	--  	          9.79	
600192	长城电工	0.81	9.94	0.08	9.93	9.94	42498	26	0.00	          0.96	9.86	9.97	9.76	9.86	   196.77	42061812	  0.78	电气设备	甘肃	2.13	9.90	19491	23007	  0.85	103	198	--  	          4.42	
600220	江苏阳光	1.89	4.31	0.08	4.30	4.31	135160	5	-0.23	          0.76	4.25	4.35	4.22	4.23	    43.99	57852008	  1.45	纺织	江苏	3.07	4.28	53071	82089	  0.65	2139	19	--  	         17.83	
600390	*ST金瑞	0.28	14.53	0.04	14.53	14.54	43077	7	0.13	          0.95	14.47	14.56	14.30	14.49	   420.03	62271880	  0.57	小金属	湖南	1.79	14.46	22960	20117	  1.14	289	116	--  	          4.51	
600459	贵研铂业	0.63	25.42	0.16	25.43	25.44	58906	5	0.00	          2.26	25.30	25.44	24.91	25.26	    87.39	148643072	  0.67	小金属	云南	2.10	25.23	30013	28892	  1.04	202	301	--  	          2.61	
600478	科力远	1.83	10.02	0.18	10.01	10.02	112779	2	-0.09	          0.88	9.87	10.13	9.83	9.84	--  	113225896	  2.23	元器件	湖南	3.05	10.04	44240	68539	  0.65	318	166	--  	         12.75	
600636	三爱富	0.00	13.86	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	13.86	--  	0	  0.00	化工原料	上海	0.00	13.86	0	0	--  	0	0	--  	          4.26	
600686	金龙汽车	0.77	15.73	0.12	15.74	15.75	36373	35	0.06	          0.82	15.39	15.82	15.39	15.61	--  	56999936	  1.07	汽车整车	福建	2.75	15.67	14951	21422	  0.70	324	582	--  	          4.43	
600846	同济科技	0.55	9.16	0.05	9.16	9.17	55409	4	0.00	          0.89	9.10	9.17	9.05	9.11	    48.85	50558524	  0.76	综合类	上海	1.32	9.12	22447	32961	  0.68	78	1059	--  	          6.25	
600872	中炬高新	4.38	15.73	0.66	15.73	15.74	109959	16	0.19	          1.38	15.08	15.74	15.05	15.07	    36.71	169725616	  1.45	食品	广东	4.58	15.44	46670	63288	  0.74	61	1615	--  	          7.97	
600875	东方电气	0.00	10.79	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	10.79	--  	0	  0.00	电气设备	四川	0.00	10.79	0	0	--  	0	0	--  	         19.97	
数据来源:通达信
