代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000507	珠海港	1.02	6.93	0.07	6.92	6.93	99624	1278	0.00	          1.29	6.84	6.93	6.81	6.86	    48.85	68639448	  0.42	港口	广东	1.75	6.89	42730	56894	  0.75	2886	1199	--  	          7.72	
000682	东方电子	--  	5.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	5.20	   130.36	0	  0.00	电气设备	山东	0.00	5.20	0	0	--  	0	0	--  	          9.78	
000701	厦门信达	-0.07	14.60	-0.01	14.59	14.60	61208	1561	-0.06	          1.72	14.56	14.65	14.47	14.61	    46.11	89260472	  1.00	综合类	福建	1.23	14.58	23866	37342	  0.64	1167	79264	--  	          3.57	
000801	四川九洲	1.53	11.98	0.18	11.98	11.99	94746	903	-0.08	          0.93	11.87	12.08	11.80	11.80	   131.28	113355480	  0.89	通信设备	四川	2.37	11.96	49483	45263	  1.09	648	184	--  	         10.23	
000851	高鸿股份	2.63	12.50	0.32	12.49	12.50	181052	2040	0.08	          3.48	12.18	12.55	12.07	12.18	   145.01	224786416	  1.39	软件服务	贵州	3.94	12.42	80118	100933	  0.79	1003	1849	--  	          5.20	
000901	航天科技	1.03	36.34	0.37	36.33	36.34	33034	801	0.08	          1.02	36.01	36.39	35.82	35.97	   399.85	119620544	  0.56	航空	黑龙江	1.58	36.21	15431	17603	  0.88	597	146	--  	          3.24	
000917	电广传媒	1.92	14.36	0.27	14.35	14.36	181244	2053	0.06	          1.71	14.13	14.46	14.04	14.09	    71.28	258767568	  1.49	影视音像	湖南	2.98	14.28	73307	107936	  0.68	136	131	--  	         10.62	
000988	华工科技	2.30	16.02	0.36	16.01	16.02	184570	2453	0.12	          2.07	15.66	16.08	15.55	15.66	    63.87	293708800	  1.42	电器仪表	湖北	3.38	15.91	78738	105832	  0.74	1592	2041	--  	          8.91	
000997	新 大 陆	3.68	19.17	0.68	19.16	19.17	223482	3992	0.05	          2.42	18.68	19.21	18.52	18.49	    37.57	424840672	  2.03	软件服务	福建	3.73	19.01	105007	118474	  0.89	1261	1045	--  	          9.24	
002017	东信和平	0.28	14.09	0.04	14.08	14.09	41431	892	0.07	          1.21	14.07	14.12	13.88	14.05	    88.22	58097868	  0.92	通信设备	广东	1.71	14.02	21222	20208	  1.05	331	789	--  	          3.44	
002028	思源电气	5.08	16.35	0.79	16.35	16.36	125669	3467	0.06	          2.17	15.71	16.36	15.45	15.56	    39.15	201148784	  1.11	电气设备	上海	5.85	16.01	50736	74932	  0.68	3	346	--  	          5.79	
002073	软控股份	0.95	10.65	0.10	10.64	10.65	42608	461	0.09	          0.68	10.54	10.69	10.51	10.55	--  	45255732	  0.86	软件服务	山东	1.71	10.62	20221	22386	  0.90	557	402	--  	          6.26	
002079	苏州固锝	2.84	9.40	0.26	9.39	9.40	139144	3810	0.10	          1.92	9.14	9.41	9.07	9.14	    64.31	129617120	  1.52	半导体	江苏	3.72	9.32	53175	85969	  0.62	880	3940	--  	          7.26	
002093	国脉科技	-1.42	11.08	-0.16	11.07	11.08	192673	4074	0.00	          2.26	11.52	11.53	10.99	11.24	   164.60	215019456	  1.85	电信运营	福建	4.80	11.16	85960	106712	  0.81	1495	890	--  	          8.52	
002104	恒宝股份	1.19	11.04	0.13	11.04	11.05	64669	1615	0.09	          0.91	10.93	11.04	10.82	10.91	    47.18	70832200	  0.90	元器件	江苏	2.02	10.95	29192	35477	  0.82	75	1099	--  	          7.09	
002121	科陆电子	-0.33	9.15	-0.03	9.14	9.15	48467	1115	0.00	          0.69	9.20	9.20	9.07	9.18	   117.01	44213000	  0.78	电器仪表	深圳	1.42	9.12	30582	17884	  1.71	859	177	--  	          7.01	
002139	拓邦股份	2.86	14.38	0.40	14.37	14.38	99772	2456	0.06	          3.45	13.96	14.38	13.82	13.98	    46.49	141763648	  1.41	元器件	深圳	4.01	14.21	40070	59701	  0.67	1133	298	--  	          2.89	
002151	北斗星通	0.19	31.97	0.06	31.97	31.98	44204	466	0.06	          1.89	31.92	32.25	31.70	31.91	   235.80	141331392	  0.44	通信设备	北京	1.72	31.97	23692	20512	  1.16	654	52	--  	          2.34	
002161	远 望 谷	0.93	10.83	0.10	10.82	10.83	52861	1281	0.00	          0.76	10.75	10.84	10.60	10.73	--  	56912048	  0.95	通信设备	深圳	2.24	10.77	22710	30151	  0.75	418	486	--  	          6.98	
002169	智光电气	-0.58	20.65	-0.12	20.65	20.66	103772	1872	0.09	          4.13	20.74	20.74	20.25	20.77	    67.37	212935968	  0.66	电气设备	广东	2.36	20.52	58498	45274	  1.29	588	236	--  	          2.51	
002183	怡 亚 通	1.48	10.99	0.16	10.98	10.99	212643	1216	0.00	          1.01	10.80	11.05	10.72	10.83	    38.33	232177712	  1.41	仓储物流	深圳	3.05	10.92	104900	107743	  0.97	272	2505	--  	         20.98	
002210	飞马国际	-0.53	20.60	-0.11	20.59	20.60	16299	179	0.19	          0.22	20.51	20.60	20.33	20.71	   106.02	33375990	  0.77	仓储物流	深圳	1.30	20.48	7139	9159	  0.78	15	649	--  	          7.57	
002231	奥维通信	1.47	13.80	0.20	13.79	13.80	37908	667	0.14	          1.51	13.55	13.83	13.51	13.60	--  	51937376	  1.08	通信设备	辽宁	2.35	13.70	13374	24534	  0.55	81	276	--  	          2.50	
002303	美盈森	0.62	9.73	0.06	9.72	9.73	50055	641	0.00	          0.49	9.70	9.74	9.59	9.67	    53.14	48485060	  0.70	造纸	深圳	1.55	9.69	22359	27695	  0.81	667	88	--  	         10.21	
002339	积成电子	1.67	18.91	0.31	18.90	18.91	62722	732	0.05	          2.12	18.62	18.92	18.42	18.60	    67.47	117444640	  1.08	电气设备	山东	2.69	18.72	25061	37660	  0.67	102	482	--  	          2.96	
002402	和而泰	6.35	11.06	0.66	11.06	11.07	402556	4193	0.09	          6.65	10.45	11.35	10.34	10.40	    71.99	436566592	  2.73	元器件	深圳	9.71	10.84	159778	242778	  0.66	2024	608	--  	          6.06	
002474	榕基软件	1.14	13.36	0.15	13.35	13.36	69001	1868	0.14	          1.57	13.20	13.36	13.02	13.21	   306.12	91332344	  0.61	软件服务	福建	2.57	13.24	30541	38460	  0.79	650	1059	--  	          4.41	
002512	达华智能	0.13	15.78	0.02	15.78	15.79	49048	1235	0.06	          0.86	15.76	15.85	15.55	15.76	   207.34	77116776	  0.46	元器件	广东	1.90	15.72	27436	21612	  1.27	91	368	--  	          5.72	
002642	荣之联	3.80	22.65	0.83	22.64	22.65	285087	3231	-0.22	          7.45	22.25	23.88	21.87	21.82	   190.49	649338240	  2.05	软件服务	北京	9.21	22.78	128314	156772	  0.82	827	240	--  	          3.83	
300007	汉威电子	1.63	19.97	0.32	19.96	19.97	43931	519	-0.05	          1.96	19.63	20.08	19.26	19.65	    73.57	86488880	  0.96	电器仪表	河南	4.17	19.69	21347	22583	  0.95	307	151	--  	          2.24	
300014	亿纬锂能	-1.48	37.20	-0.56	37.20	37.21	235720	2040	0.10	          5.75	37.58	38.17	36.93	37.76	    63.10	880687680	  0.95	元器件	广东	3.28	37.36	129553	106167	  1.22	151	111	--  	          4.10	
300028	金亚科技	-1.79	13.20	-0.24	13.20	13.21	178070	3051	0.00	          7.19	13.49	13.58	13.11	13.44	   390.45	236503104	  1.06	通信设备	四川	3.50	13.28	95483	82586	  1.16	464	392	--  	          2.48	
300050	世纪鼎利	-0.24	12.47	-0.03	12.47	12.48	52373	521	0.16	          1.60	12.56	12.57	12.38	12.50	    51.87	65275332	  0.70	软件服务	广东	1.52	12.46	33532	18841	  1.78	33	60	--  	          3.28	
300066	三川智慧	1.24	6.51	0.08	6.50	6.51	80815	1426	0.15	          0.86	6.40	6.51	6.31	6.43	    44.70	51744096	  0.94	电器仪表	江西	3.11	6.40	37855	42959	  0.88	792	1039	--  	          9.38	
300077	国民技术	0.63	16.08	0.10	16.07	16.08	138202	2336	0.00	          2.57	15.90	16.11	15.69	15.98	   144.57	220199840	  0.79	半导体	深圳	2.63	15.93	65272	72929	  0.90	212	14	--  	          5.38	
300078	思创医惠	4.07	25.30	0.99	25.30	25.31	88219	1193	0.19	          3.21	24.33	25.50	24.32	24.31	    84.72	221588544	  0.88	元器件	浙江	4.85	25.12	38413	49806	  0.77	239	33	--  	          2.74	
