代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000009	中国宝安	0.41	9.75	0.04	9.74	9.75	192589	2225	0.20	          0.91	9.66	9.77	9.62	9.71	    74.71	186969376	  0.79	综合类	深圳	1.54	9.71	93919	98669	  0.95	6003	2316	--  	         21.20	
000030	富奥股份	1.96	8.83	0.17	8.82	8.83	103535	704	0.11	          0.83	8.66	8.95	8.61	8.66	    16.50	90658352	  1.84	汽车配件	吉林	3.93	8.76	45744	57790	  0.79	314	770	--  	         12.47	
000049	德赛电池	9.99	51.19	4.65	51.19	--  	103259	118	0.00	          5.03	47.30	51.19	47.30	46.54	    59.09	513457216	  3.10	电气设备	深圳	8.36	49.73	53099	50160	  1.06	14896	0	--  	          2.05	
000400	许继电气	0.97	17.65	0.17	17.65	17.66	33942	503	0.05	          0.46	17.42	17.69	17.42	17.48	    54.56	59623092	  0.89	电气设备	河南	1.54	17.57	12016	21926	  0.55	66	246	--  	          7.37	
000559	万向钱潮	0.87	12.74	0.11	12.73	12.74	82183	3027	0.31	          0.36	12.67	12.74	12.51	12.63	    35.06	103723376	  0.79	汽车配件	浙江	1.82	12.62	42323	39860	  1.06	520	1685	--  	         22.90	
000800	一汽轿车	3.85	12.40	0.46	12.39	12.40	356619	23391	-0.72	          2.53	11.91	12.55	11.91	11.94	--  	440303744	  2.29	汽车整车	吉林	5.36	12.35	156701	199918	  0.78	584	6848	--  	         14.12	
000839	中信国安	7.67	11.51	0.82	11.50	11.51	2803002	44176	0.00	          7.15	10.69	11.75	10.60	10.69	   154.55	3128976640	  1.62	综合类	北京	10.76	11.16	1175230	1627772	  0.72	7664	20819	--  	         39.19	
000887	中鼎股份	-1.52	24.65	-0.38	24.64	24.65	148778	2590	0.08	          1.34	25.01	25.01	24.51	25.03	    28.57	367271296	  1.28	橡胶	安徽	2.00	24.69	95377	53401	  1.79	244	216	--  	         11.14	
000969	安泰科技	0.19	10.79	0.02	10.78	10.79	72887	872	0.00	          0.85	10.73	10.82	10.61	10.77	   117.98	78231672	  0.81	钢加工	北京	1.95	10.73	35044	37842	  0.93	575	730	--  	          8.61	
000970	中科三环	0.85	14.31	0.12	14.31	14.32	112131	1265	0.00	          1.05	14.16	14.36	13.97	14.19	    49.39	159813680	  0.67	元器件	北京	2.75	14.25	51963	60167	  0.86	127	1584	--  	         10.65	
000973	佛塑科技	2.25	9.07	0.20	9.07	9.08	1197242	16813	0.11	         12.38	8.71	9.30	8.61	8.87	   124.55	1080684160	  0.83	塑料	广东	7.78	9.03	576771	620471	  0.93	5086	3757	--  	          9.67	
000988	华工科技	2.30	16.02	0.36	16.01	16.02	184570	2453	0.12	          2.07	15.66	16.08	15.55	15.66	    63.87	293708800	  1.42	电器仪表	湖北	3.38	15.91	78738	105832	  0.74	1592	2041	--  	          8.91	
002028	思源电气	5.08	16.35	0.79	16.35	16.36	125669	3467	0.06	          2.17	15.71	16.36	15.45	15.56	    39.15	201148784	  1.11	电气设备	上海	5.85	16.01	50736	74932	  0.68	3	346	--  	          5.79	
002045	国光电器	-0.22	13.84	-0.03	13.83	13.84	109872	1075	0.43	          2.65	13.88	14.04	13.69	13.87	   133.01	152317168	  0.76	元器件	广东	2.52	13.86	59754	50118	  1.19	104	53	--  	          4.15	
002048	宁波华翔	0.89	23.80	0.21	23.80	23.81	80983	1297	0.16	          1.76	23.53	24.05	23.35	23.59	    20.64	192762192	  0.94	汽车配件	浙江	2.97	23.80	42793	38190	  1.12	271	498	--  	          4.61	
002056	横店东磁	1.45	14.71	0.21	14.71	14.72	127883	1852	0.13	          1.56	14.49	14.74	14.24	14.50	    29.29	186021648	  1.12	元器件	浙江	3.45	14.55	59071	68812	  0.86	106	595	--  	          8.22	
002091	江苏国泰	1.68	13.96	0.23	13.96	13.97	114770	838	0.07	          2.17	13.75	14.05	13.57	13.73	    52.22	159609024	  2.38	商贸代理	江苏	3.50	13.91	45751	69018	  0.66	190	376	--  	          5.30	
002101	广东鸿图	0.47	23.33	0.11	23.33	23.34	28283	650	0.04	          1.14	23.35	23.80	23.11	23.22	    36.72	66527408	  1.27	机械基件	广东	2.97	23.52	12310	15973	  0.77	143	6	--  	          2.48	
002121	科陆电子	-0.33	9.15	-0.03	9.14	9.15	48467	1115	0.00	          0.69	9.20	9.20	9.07	9.18	   117.01	44213000	  0.78	电器仪表	深圳	1.42	9.12	30582	17884	  1.71	859	177	--  	          7.01	
002156	通富微电	2.71	11.00	0.29	11.00	11.01	126500	2154	0.09	          1.30	10.73	11.08	10.65	10.71	    64.63	137922592	  1.46	半导体	江苏	4.01	10.90	50902	75598	  0.67	111	733	--  	          9.72	
002203	海亮股份	0.45	9.01	0.04	9.01	9.02	123240	2098	0.11	          0.85	8.93	9.06	8.83	8.97	    28.82	110425008	  0.55	铜	浙江	2.56	8.96	62374	60865	  1.02	772	626	--  	         14.45	
002340	格林美	0.47	8.48	0.04	8.48	8.49	1474944	39663	0.59	          6.32	8.40	8.54	8.25	8.44	    94.11	1236827904	  0.71	小金属	深圳	3.44	8.39	774051	700893	  1.10	1553	6185	--  	         23.34	
002384	东山精密	1.38	21.36	0.29	21.35	21.36	128713	2403	0.09	          2.33	20.92	21.36	20.37	21.07	    92.23	269338240	  1.23	通信设备	江苏	4.70	20.93	62676	66037	  0.95	153	845	--  	          5.52	
002405	四维图新	2.83	20.00	0.55	19.99	20.00	233965	4595	0.25	          2.32	19.52	20.15	19.25	19.45	   158.88	463744672	  0.93	软件服务	北京	4.63	19.82	98256	135708	  0.72	322	1677	--  	         10.08	
002441	众业达	-0.31	12.91	-0.04	12.90	12.91	22049	640	0.07	          0.70	12.95	12.95	12.79	12.95	    45.67	28344506	  0.66	批发业	广东	1.24	12.86	11602	10446	  1.11	2	526	--  	          3.15	
002460	赣锋锂业	0.59	37.70	0.22	37.68	37.70	705728	16448	0.88	         13.55	37.54	38.20	36.56	37.48	    43.81	2635050240	  1.03	小金属	江西	4.38	37.34	350628	355100	  0.99	30	29	--  	          5.21	
002466	天齐锂业	0.46	39.64	0.18	39.64	39.65	447518	3499	0.02	          4.54	39.17	40.49	38.60	39.46	    24.57	1781128448	  1.15	小金属	四川	4.79	39.80	222845	224672	  0.99	1003	492	--  	          9.86	
002484	江海股份	-0.72	15.07	-0.11	15.06	15.07	32747	335	0.00	          0.67	15.20	15.20	14.91	15.18	    70.67	49235112	  0.70	元器件	江苏	1.91	15.04	17557	15189	  1.16	30	93	--  	          4.90	
002501	利源精制	1.57	12.30	0.19	12.29	12.30	161191	2691	0.24	          2.39	12.11	12.37	11.99	12.11	    26.93	197030096	  0.85	铝	吉林	3.14	12.22	59577	101614	  0.59	1077	424	--  	          6.75	
002510	天汽模	0.15	6.58	0.01	6.57	6.58	84346	2452	0.15	          1.28	6.56	6.58	6.46	6.57	    40.17	55156328	  0.77	汽车配件	天津	1.83	6.54	46169	38177	  1.21	1182	923	--  	          6.60	
002540	亚太科技	1.15	7.90	0.09	7.90	7.91	39328	189	-0.25	          0.56	7.84	7.93	7.77	7.81	    30.72	30964988	  0.94	铝	江苏	2.05	7.87	11845	27482	  0.43	310	1	--  	          7.05	
002547	春兴精工	--  	10.94	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.94	    75.50	0	  0.00	通信设备	江苏	0.00	10.94	0	0	--  	0	0	--  	          6.84	
002594	比亚迪	-0.70	49.84	-0.35	49.83	49.84	64984	790	-0.08	          0.77	49.98	49.98	49.07	50.19	    27.83	323000224	  1.18	汽车整车	深圳	1.81	49.70	37028	27956	  1.32	110	118	--  	          8.40	
002595	豪迈科技	0.44	25.27	0.11	25.26	25.27	19773	541	0.15	          0.42	25.16	25.43	24.84	25.16	    26.80	49659384	  1.04	专用机械	山东	2.34	25.11	8701	11072	  0.79	66	58	--  	          4.68	
002635	安洁科技	4.24	40.56	1.65	40.55	40.56	95404	711	0.44	          4.51	38.88	41.09	37.92	38.91	    44.29	379724800	  1.71	电脑设备	江苏	8.15	39.80	38372	57031	  0.67	15	37	--  	          2.12	
002664	信质电机	--  	25.39	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	25.39	    42.88	0	  0.00	汽车配件	浙江	0.00	25.39	0	0	--  	0	0	--  	          3.21	
300014	亿纬锂能	-1.48	37.20	-0.56	37.20	37.21	235720	2040	0.10	          5.75	37.58	38.17	36.93	37.76	    63.10	880687680	  0.95	元器件	广东	3.28	37.36	129553	106167	  1.22	151	111	--  	          4.10	
300037	新宙邦	2.63	53.86	1.38	53.85	53.86	73881	472	0.05	          6.54	52.20	54.61	51.69	52.48	    40.40	394377760	  1.55	化工原料	深圳	5.56	53.38	33378	40502	  0.82	327	7	--  	          1.13	
300068	南都电源	--  	20.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.14	    48.11	0	  0.00	电气设备	浙江	0.00	20.14	0	0	--  	0	0	--  	          5.82	
300088	长信科技	--  	15.80	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.80	    59.16	0	  0.00	元器件	安徽	0.00	15.80	0	0	--  	0	0	--  	         10.99	
300134	大富科技	--  	23.36	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.36	   281.18	0	  0.00	通信设备	深圳	0.00	23.36	0	0	--  	0	0	--  	          7.12	
300176	鸿特精密	1.50	48.60	0.72	48.60	48.62	8814	197	0.06	          0.82	48.50	48.85	47.00	47.88	   121.58	42483852	  0.48	汽车配件	广东	3.86	48.20	4019	4794	  0.84	7	2	--  	          1.07	
300230	永利股份	0.29	31.13	0.09	31.13	31.15	24988	290	-0.09	          2.36	30.96	31.33	30.68	31.04	    62.72	77546368	  0.80	塑料	上海	2.09	31.03	13145	11842	  1.11	306	53	--  	          1.06	
300328	宜安科技	1.72	11.85	0.20	11.85	11.86	40776	592	-0.08	          1.01	11.80	11.97	11.68	11.65	   204.10	48379604	  0.78	铝	广东	2.49	11.86	19990	20785	  0.96	387	20	--  	          4.03	
300351	永贵电器	0.04	24.04	0.01	24.03	24.04	20000	590	0.16	          1.02	24.01	24.05	23.81	24.03	    64.79	47891864	  0.87	元器件	浙江	1.00	23.95	10931	9069	  1.21	222	299	--  	          1.96	
600110	诺德股份	1.25	13.01	0.16	13.00	13.01	502709	200	0.54	          4.37	12.85	13.09	12.72	12.85	   412.65	649377600	  0.93	电气设备	吉林	2.88	12.92	239302	263407	  0.91	0	10	--  	         11.50	
600114	东睦股份	0.84	17.92	0.15	17.92	17.93	58209	11	0.27	          1.53	17.70	18.24	17.50	17.77	    52.48	104716552	  1.85	机械基件	浙江	4.16	17.99	26685	31524	  0.85	207	6	--  	          3.81	
600335	国机汽车	1.88	14.08	0.26	14.13	14.14	59456	100	-0.14	          0.69	13.76	14.18	13.76	13.82	    20.32	83362928	  0.78	汽车配件	天津	3.04	14.02	28457	30998	  0.92	383	124	--  	          8.62	
600390	*ST金瑞	0.28	14.53	0.04	14.53	14.54	43077	7	0.13	          0.95	14.47	14.56	14.30	14.49	   420.03	62271880	  0.57	小金属	湖南	1.79	14.46	22960	20117	  1.14	289	116	--  	          4.51	
600418	江淮汽车	1.29	11.78	0.15	11.77	11.78	108919	8	0.17	          1.07	11.61	11.80	11.56	11.63	    20.46	127440768	  0.90	汽车整车	安徽	2.06	11.70	45053	63866	  0.71	128	649	--  	         10.17	
600611	大众交通	0.31	6.39	0.02	6.38	6.39	60984	8	0.00	          0.39	6.37	6.39	6.32	6.37	    26.11	38802464	  0.71	公共交通	上海	1.10	6.36	36730	24253	  1.51	1063	2867	--  	         15.63	
600699	均胜电子	1.05	31.78	0.33	31.78	31.80	61512	13	0.00	          0.89	31.40	31.97	31.05	31.45	    56.08	194309440	  0.97	汽车配件	浙江	2.93	31.59	28614	32897	  0.87	26	1447	--  	          6.89	
600805	悦达投资	0.47	8.58	0.04	8.57	8.58	48470	5	0.11	          0.57	8.54	8.61	8.45	8.54	    61.65	41369448	  0.60	综合类	江苏	1.87	8.54	22596	25873	  0.87	903	5	--  	          8.49	
600869	智慧能源	3.02	8.52	0.25	8.51	8.52	631857	4	0.00	          3.09	8.34	8.92	8.34	8.27	    49.92	543232576	  4.99	电气设备	青海	7.01	8.60	257784	374072	  0.69	384	181	--  	         20.42	
