代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000708	大冶特钢	0.45	13.48	0.06	13.47	13.48	36444	760	0.00	          0.81	13.38	13.50	13.20	13.42	    20.70	48624140	  0.81	特种钢	湖北	2.24	13.34	18784	17659	  1.06	60	242	--  	          4.49	
000709	河钢股份	1.32	3.84	0.05	3.83	3.84	631072	7486	0.26	          0.59	3.80	3.85	3.74	3.79	    32.77	239597536	  0.80	普钢	河北	2.90	3.80	299043	332029	  0.90	12235	11356	--  	        106.17	
000825	太钢不锈	1.23	4.93	0.06	4.92	4.93	488516	18776	0.00	          0.86	4.88	4.93	4.79	4.87	    25.01	237969616	  0.90	特种钢	山西	2.87	4.87	242302	246213	  0.98	8724	1610	--  	         56.96	
002075	沙钢股份	--  	16.12	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.12	   203.01	0	  0.00	特种钢	江苏	0.00	16.12	0	0	--  	0	0	--  	         22.07	
002318	久立特材	0.50	10.07	0.05	10.06	10.07	97736	152	0.00	          1.20	10.02	10.09	9.89	10.02	    59.38	97735064	  1.08	特种钢	浙江	2.00	10.00	52355	45380	  1.15	971	201	--  	          8.16	
002423	*ST中特	0.14	13.95	0.02	13.95	13.96	38988	523	0.07	          0.84	13.78	14.07	13.56	13.93	--  	53991368	  0.53	特种钢	河南	3.66	13.85	20279	18709	  1.08	39	57	--  	          4.66	
002478	常宝股份	0.13	16.02	0.02	16.02	16.03	98642	1293	0.18	          3.27	16.00	16.23	15.71	16.00	    58.43	157473328	  0.66	普钢	江苏	3.25	15.96	52236	46406	  1.13	246	100	--  	          3.02	
002756	永兴特钢	-0.68	29.17	-0.20	29.17	29.18	19135	142	0.00	          1.41	29.44	29.56	28.89	29.37	    41.41	55885068	  1.53	特种钢	浙江	2.28	29.21	11036	8098	  1.36	571	452	--  	          1.36	
300034	钢研高纳	3.53	22.00	0.75	22.00	22.01	77040	1186	-0.04	          1.84	21.20	22.06	21.08	21.25	   101.90	167713648	  1.60	小金属	北京	4.61	21.77	34043	42996	  0.79	255	928	--  	          4.18	
600117	西宁特钢	0.34	5.84	0.02	5.84	5.85	72760	474	0.00	          0.98	5.78	5.85	5.72	5.82	--  	42223448	  0.67	特种钢	青海	2.23	5.80	35979	36781	  0.98	546	1208	--  	          7.41	
600126	杭钢股份	0.73	8.30	0.06	8.30	8.31	41564	268	0.12	          0.50	8.24	8.32	8.23	8.24	    30.59	34444700	  0.87	普钢	浙江	1.09	8.29	20739	20825	  1.00	179	426	--  	          8.39	
600399	抚顺特钢	0.81	7.43	0.06	7.42	7.43	162682	89	0.26	          1.44	7.35	7.44	7.27	7.37	    54.87	119845120	  0.66	特种钢	辽宁	2.31	7.37	84351	78331	  1.08	560	100	--  	         11.30	
600408	安泰集团	-1.08	4.57	-0.05	4.56	4.57	150816	99	0.21	          1.50	4.61	4.62	4.50	4.62	--  	68430376	  1.93	焦炭加工	山西	2.60	4.54	103693	47123	  2.20	249	523	--  	         10.07	
600507	方大特钢	2.27	7.67	0.17	7.66	7.67	149855	41	0.65	          1.13	7.47	7.68	7.33	7.50	    16.48	112335368	  1.15	特种钢	江西	4.67	7.50	69278	80576	  0.86	164	1068	--  	         13.26	
601005	重庆钢铁	0.00	2.52	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	2.52	--  	0	  0.00	普钢	重庆	0.00	2.52	0	0	--  	0	0	--  	         38.98	
数据来源:通达信
