代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000048	康达尔	-0.27	32.71	-0.09	32.70	32.71	7665	303	-0.09	          0.20	32.81	32.89	32.61	32.80	   318.39	25089384	  0.73	饲料	深圳	0.85	32.73	4111	3553	  1.16	36	112	--  	          3.82	
000529	广弘控股	0.55	10.91	0.06	10.90	10.91	35418	164	-0.09	          0.62	10.80	10.97	10.62	10.85	    60.66	38338180	  0.88	食品	广东	3.23	10.82	12899	22519	  0.57	177	409	--  	          5.67	
000735	罗 牛 山	-0.42	7.11	-0.03	7.11	7.12	114422	1429	-0.14	          1.30	7.11	7.13	7.01	7.14	    76.65	80903072	  0.46	农业综合	海南	1.68	7.07	68815	45606	  1.51	1969	1391	--  	          8.79	
000860	顺鑫农业	1.51	22.20	0.33	22.20	22.21	86336	4140	0.00	          1.53	21.81	22.25	21.54	21.87	    38.50	190338560	  1.15	白酒	北京	3.25	22.05	32879	53457	  0.62	1293	444	--  	          5.63	
000876	新 希 望	0.25	8.08	0.02	8.07	8.08	117702	1789	0.00	          0.34	8.03	8.09	8.00	8.06	    12.09	94750368	  0.83	饲料	四川	1.12	8.05	59051	58651	  1.01	1743	3486	--  	         34.57	
002100	天康生物	-0.22	9.21	-0.02	9.21	9.22	48611	1290	0.10	          0.69	9.18	9.24	9.14	9.23	    20.87	44656640	  0.89	饲料	新疆	1.08	9.19	25576	23034	  1.11	460	953	--  	          7.09	
002124	天邦股份	0.09	11.72	0.01	11.71	11.72	65102	497	-0.08	          2.12	11.73	11.75	11.53	11.71	    16.39	75720184	  1.08	饲料	浙江	1.88	11.63	34419	30682	  1.12	782	216	--  	          3.07	
002157	正邦科技	0.00	6.28	0.00	6.27	6.28	120643	1794	0.00	          0.89	6.27	6.28	6.20	6.28	    11.91	75347024	  0.93	饲料	江西	1.27	6.25	63422	57220	  1.11	2056	1625	--  	         13.63	
002311	海大集团	1.20	15.99	0.19	15.97	15.99	56334	200	0.12	          0.37	15.90	16.23	15.66	15.80	    21.01	89806608	  1.27	饲料	广东	3.61	15.94	28852	27481	  1.05	20	223	--  	         15.28	
002330	得利斯	0.00	11.66	0.00	11.65	11.66	34815	612	0.00	          0.69	11.65	11.71	11.50	11.66	   237.48	40471020	  0.66	食品	山东	1.80	11.62	17301	17514	  0.99	1433	66	--  	          5.02	
002385	大北农	0.15	6.55	0.01	6.54	6.55	88919	2586	0.00	          0.37	6.54	6.56	6.49	6.54	    33.85	58071452	  0.66	饲料	北京	1.07	6.53	46487	42432	  1.10	4664	981	--  	         23.82	
002458	益生股份	-1.45	31.88	-0.47	31.87	31.88	62705	1364	0.15	          3.95	32.12	32.30	31.12	32.35	    15.80	198102656	  0.83	农业综合	山东	3.65	31.59	36072	26632	  1.35	15	45	--  	          1.59	
002477	雏鹰农牧	0.41	4.85	0.02	4.84	4.85	140690	1911	0.00	          0.72	4.83	4.85	4.80	4.83	    16.14	67924312	  0.95	农业综合	河南	1.04	4.83	74825	65865	  1.14	1746	3005	--  	         19.65	
002505	大康农业	--  	3.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	3.50	   603.43	0	  0.00	农业综合	湖南	0.00	3.50	0	0	--  	0	0	--  	         15.46	
002548	金新农	0.07	14.54	0.01	14.54	14.55	19010	128	0.00	          0.60	14.51	14.60	14.46	14.53	    33.55	27634468	  0.73	饲料	深圳	0.96	14.54	11515	7495	  1.54	233	233	--  	          3.17	
002567	唐人神	-0.93	12.79	-0.12	12.79	12.80	34226	165	-0.07	          0.81	12.85	12.98	12.71	12.91	    35.08	44089636	  0.93	饲料	湖南	2.09	12.88	15601	18624	  0.84	87	69	--  	          4.20	
002714	牧原股份	0.30	26.60	0.08	26.59	26.60	85846	756	0.00	          2.71	26.48	26.80	26.17	26.52	    11.70	228168672	  1.17	农业综合	河南	2.38	26.58	36765	49080	  0.75	480	599	--  	          3.17	
002726	龙大肉食	0.79	19.11	0.15	19.10	19.11	28682	857	0.10	          2.64	19.09	19.19	18.72	18.96	    30.97	54455924	  1.17	食品	山东	2.48	18.99	14019	14663	  0.96	505	117	--  	          1.09	
002840	华统股份	0.57	30.19	0.17	30.18	30.19	52142	529	-0.19	         11.67	29.89	30.28	28.82	30.02	    63.03	154494368	  0.51	食品	浙江	4.86	29.63	26334	25807	  1.02	367	266	--  	          0.45	
300498	温氏股份	0.54	33.57	0.18	33.56	33.57	66255	1021	0.00	          0.23	33.30	33.74	33.18	33.39	    10.11	222084192	  0.71	农业综合	广东	1.68	33.52	27997	38258	  0.73	129	1601	--  	         28.38	
600073	上海梅林	0.28	10.79	0.03	10.78	10.79	65422	2	-0.09	          0.70	10.77	10.84	10.62	10.76	    26.12	70411296	  0.72	食品	上海	2.04	10.76	28984	36437	  0.80	846	307	--  	          9.38	
600695	绿庭投资	-0.21	9.70	-0.02	9.70	9.72	26866	27	-0.10	          0.73	9.65	9.80	9.65	9.72	  1337.13	26115348	  0.77	多元金融	上海	1.54	9.72	14408	12458	  1.16	99	136	--  	          3.66	
600975	新五丰	0.46	8.68	0.04	8.67	8.68	43305	60	0.11	          0.92	8.64	8.68	8.56	8.64	    20.67	37395848	  0.80	农业综合	湖南	1.39	8.64	19793	23512	  0.84	231	1088	--  	          4.69	
数据来源:通达信
