代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000402	金 融 街	1.73	11.17	0.19	11.16	11.17	210793	1562	0.08	          0.71	10.96	11.26	10.89	10.98	    31.15	235036736	  1.86	全国地产	北京	3.37	11.15	86810	123982	  0.70	671	1068	--  	         29.87	
000416	民生控股	-0.17	11.50	-0.02	11.49	11.50	37479	890	-0.34	          0.71	11.51	11.59	11.30	11.52	   466.50	43050552	  0.90	多元金融	山东	2.52	11.49	19302	18177	  1.06	40	227	--  	          5.32	
000423	东阿阿胶	2.09	59.55	1.22	59.54	59.55	158430	1215	0.13	          2.42	58.48	60.20	58.45	58.33	    21.02	945015168	  1.89	中成药	山东	3.00	59.65	60040	98389	  0.61	46	2795	--  	          6.54	
000652	泰达股份	1.69	6.01	0.10	6.00	6.01	156574	2475	0.33	          1.07	5.92	6.02	5.87	5.91	    93.25	93417360	  0.55	批发业	天津	2.54	5.97	69988	86585	  0.81	1175	1870	--  	         14.66	
000709	河钢股份	1.32	3.84	0.05	3.83	3.84	631072	7486	0.26	          0.59	3.80	3.85	3.74	3.79	    32.77	239597536	  0.80	普钢	河北	2.90	3.80	299043	332029	  0.90	12235	11356	--  	        106.17	
000725	京东方Ａ	1.91	3.20	0.06	3.20	3.21	3809817	28719	-0.31	          1.59	3.13	3.21	3.12	3.14	   599.76	1206541312	  1.88	元器件	北京	2.87	3.17	1356919	2452897	  0.55	45648	105935	--  	        240.29	
000839	中信国安	7.67	11.51	0.82	11.50	11.51	2803002	44176	0.00	          7.15	10.69	11.75	10.60	10.69	   154.55	3128976640	  1.62	综合类	北京	10.76	11.16	1175230	1627772	  0.72	7664	20819	--  	         39.19	
000860	顺鑫农业	1.51	22.20	0.33	22.20	22.21	86336	4140	0.00	          1.53	21.81	22.25	21.54	21.87	    38.50	190338560	  1.15	白酒	北京	3.25	22.05	32879	53457	  0.62	1293	444	--  	          5.63	
000889	茂业通信	0.29	17.35	0.05	17.34	17.35	28271	100	0.23	          0.63	17.31	17.44	17.17	17.30	    46.86	49054256	  0.91	通信设备	河北	1.56	17.35	13872	14399	  0.96	55	89	--  	          4.45	
002065	东华软件	-0.05	21.67	-0.01	21.67	21.68	83964	730	0.09	          0.61	21.82	21.83	21.45	21.68	    40.38	181702464	  1.01	软件服务	北京	1.75	21.64	44437	39526	  1.12	1475	464	--  	         13.68	
002094	青岛金王	1.01	27.87	0.28	27.85	27.87	24570	291	-0.07	          0.76	27.59	27.92	27.38	27.59	    68.70	67900016	  0.94	日用化工	山东	1.96	27.64	8732	15837	  0.55	17	89	--  	          3.22	
002385	大北农	0.15	6.55	0.01	6.54	6.55	88919	2586	0.00	          0.37	6.54	6.56	6.49	6.54	    33.85	58071452	  0.66	饲料	北京	1.07	6.53	46487	42432	  1.10	4664	981	--  	         23.82	
002467	二六三	-0.19	10.50	-0.02	10.49	10.50	142236	4522	0.28	          2.16	10.46	10.50	10.32	10.52	    65.88	148231840	  0.67	电信运营	北京	1.71	10.42	80761	61475	  1.31	973	1648	--  	          6.59	
002739	万达院线	1.19	57.63	0.68	57.63	57.64	50940	560	-0.03	          1.20	56.89	57.79	56.01	56.95	    44.28	290661312	  1.11	影视音像	北京	3.13	57.06	25036	25904	  0.97	192	71	--  	          4.23	
300003	乐普医疗	-0.06	17.25	-0.01	17.25	17.26	45041	577	0.05	          0.32	17.21	17.35	17.15	17.26	    42.41	77751968	  0.70	医疗保健	北京	1.16	17.26	28059	16982	  1.65	906	193	--  	         14.14	
300079	数码视讯	0.00	7.10	0.00	7.09	7.10	147932	1205	0.14	          1.22	7.10	7.12	7.01	7.10	    50.59	104327904	  1.04	通信设备	北京	1.55	7.05	86972	60959	  1.43	2230	2707	--  	         12.08	
