代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000002	万 科Ａ	0.53	20.71	0.11	20.70	20.71	419235	4981	-0.04	          0.43	20.65	20.88	20.51	20.60	    20.75	869278720	  1.31	全国地产	深圳	1.80	20.73	201506	217729	  0.93	1384	10078	--  	         97.08	
000009	中国宝安	0.41	9.75	0.04	9.74	9.75	192589	2225	0.20	          0.91	9.66	9.77	9.62	9.71	    74.71	186969376	  0.79	综合类	深圳	1.54	9.71	93919	98669	  0.95	6003	2316	--  	         21.20	
000027	深圳能源	0.86	7.02	0.06	7.02	7.03	102799	264	0.00	          0.26	6.95	7.03	6.81	6.96	    15.60	71411424	  1.57	火力发电	深圳	3.16	6.95	52456	50342	  1.04	392	3512	--  	         39.64	
000063	中兴通讯	--  	15.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.28	    16.65	0	  0.00	通信设备	深圳	0.00	15.28	0	0	--  	0	0	--  	         33.90	
000069	华侨城Ａ	1.88	7.60	0.14	7.59	7.60	451762	2980	0.00	          0.74	7.43	7.64	7.33	7.46	    16.03	340713600	  1.93	旅游景点	深圳	4.16	7.54	192673	259089	  0.74	665	4528	--  	         61.22	
000333	美的集团	-0.94	33.90	-0.32	33.89	33.90	450041	6379	-0.11	          0.71	34.28	34.79	33.74	34.22	    12.75	1537993472	  1.26	家用电器	广东	3.07	34.17	244329	205711	  1.19	248	3540	--  	         63.42	
000538	云南白药	0.49	77.23	0.38	77.22	77.23	35254	280	0.10	          0.34	76.85	77.43	76.22	76.85	    25.56	271833952	  1.19	中成药	云南	1.57	77.11	18516	16738	  1.11	22	409	--  	         10.41	
000555	神州信息	1.15	22.94	0.26	22.93	22.94	92818	2076	0.08	          1.05	22.69	22.98	22.33	22.68	   134.40	210790160	  1.19	软件服务	深圳	2.87	22.71	48488	44329	  1.09	257	317	--  	          8.86	
000651	格力电器	-0.31	28.87	-0.09	28.86	28.87	958116	8062	0.03	          1.60	29.00	29.46	28.60	28.96	    11.60	2789925888	  1.34	家用电器	广东	2.97	29.12	504549	453567	  1.11	2131	15075	--  	         59.72	
000662	天夏智慧	-1.95	19.57	-0.39	19.56	19.57	51414	258	0.15	          1.79	20.05	20.07	19.51	19.96	    90.26	101098480	  1.08	软件服务	广西	2.81	19.66	36244	15170	  2.39	231	277	--  	          2.88	
000776	广发证券	0.81	17.41	0.14	17.40	17.41	188297	2275	0.00	          0.32	17.23	17.42	17.13	17.27	    16.09	326191680	  1.15	证券	广东	1.68	17.32	79806	108490	  0.74	1223	124	--  	         59.19	
000858	五 粮 液	2.43	41.65	0.99	41.64	41.65	287983	4993	0.00	          0.76	40.75	41.75	40.75	40.66	    23.24	1193460480	  1.39	白酒	四川	2.46	41.44	120024	167959	  0.71	69	8311	--  	         37.96	
000917	电广传媒	1.92	14.36	0.27	14.35	14.36	181244	2053	0.06	          1.71	14.13	14.46	14.04	14.09	    71.28	258767568	  1.49	影视音像	湖南	2.98	14.28	73307	107936	  0.68	136	131	--  	         10.62	
000987	越秀金控	0.29	13.81	0.04	13.80	13.81	37073	384	0.07	          0.69	13.73	13.84	13.66	13.77	    60.23	51041612	  0.63	多元金融	广东	1.31	13.77	19161	17911	  1.07	812	320	--  	          5.38	
002008	大族激光	4.29	26.28	1.08	26.28	26.29	233238	2237	0.15	          2.36	25.21	26.52	25.16	25.20	    33.20	607490112	  1.27	电器仪表	深圳	5.40	26.05	102167	131071	  0.78	682	436	--  	          9.90	
002027	分众传媒	-0.60	11.63	-0.07	11.63	11.64	277595	2338	0.08	          0.78	11.73	11.73	11.50	11.70	    24.22	322380288	  1.01	软件服务	广东	1.97	11.61	160843	116752	  1.38	2886	1262	--  	         35.43	
002416	爱施德	4.25	13.74	0.56	13.73	13.74	123859	4692	0.14	          1.28	13.21	13.74	13.18	13.18	    75.59	167523632	  1.99	电器连锁	深圳	4.25	13.53	35865	87993	  0.41	1134	103	--  	          9.71	
002456	欧菲光	4.62	36.03	1.59	36.02	36.03	317444	2829	0.00	          3.09	34.30	36.28	34.10	34.44	    51.79	1128560384	  2.66	元器件	深圳	6.33	35.55	123970	193473	  0.64	118	157	--  	         10.28	
002465	海格通信	0.25	12.00	0.03	12.00	12.01	165131	2342	0.00	          0.90	12.05	12.07	11.91	11.97	    76.97	198092448	  0.47	通信设备	广东	1.34	12.00	91590	73541	  1.25	680	1666	--  	         18.40	
002511	中顺洁柔	-0.40	19.99	-0.08	19.98	19.99	26571	118	-0.05	          0.55	19.80	20.20	19.80	20.07	    41.82	53038912	  0.63	造纸	广东	1.99	19.96	15064	11507	  1.31	29	34	--  	          4.84	
002594	比亚迪	-0.70	49.84	-0.35	49.83	49.84	64984	790	-0.08	          0.77	49.98	49.98	49.07	50.19	    27.83	323000224	  1.18	汽车整车	深圳	1.81	49.70	37028	27956	  1.32	110	118	--  	          8.40	
300015	爱尔眼科	0.70	30.37	0.21	30.37	30.38	24263	292	-0.03	          0.31	30.17	30.38	29.76	30.16	    48.97	73115640	  1.06	医疗保健	湖南	2.06	30.13	10737	13526	  0.79	82	204	--  	          7.87	
300178	腾邦国际	0.24	16.42	0.04	16.42	16.43	35121	476	0.00	          0.66	16.36	16.51	16.16	16.38	    55.40	57428148	  0.86	旅游服务	深圳	2.14	16.35	15130	19991	  0.76	99	46	--  	          5.28	
300273	和佳股份	0.07	14.96	0.01	14.95	14.96	68556	977	0.00	          1.23	14.99	15.06	14.87	14.95	    38.83	102574376	  0.98	医疗保健	广东	1.27	14.96	41347	27208	  1.52	1061	303	--  	          5.59	
600029	南方航空	0.52	7.77	0.04	7.76	7.77	746337	37	0.00	          1.06	7.71	7.84	7.62	7.73	     8.88	577744128	  1.29	空运	广东	2.85	7.74	392083	354254	  1.11	1966	305	--  	         70.23	
600030	中信证券	0.62	16.34	0.10	16.34	16.35	472686	132	0.12	          0.48	16.24	16.35	16.12	16.24	    18.70	768771008	  1.26	证券	深圳	1.42	16.26	222666	250019	  0.89	665	2088	--  	         98.15	
600036	招商银行	0.63	19.03	0.12	19.02	19.03	170561	12	0.05	          0.08	18.89	19.05	18.81	18.91	     6.90	323081952	  0.76	银行	深圳	1.27	18.94	83326	87235	  0.96	162	58	--  	        206.29	
600048	保利地产	4.78	10.09	0.46	10.09	10.10	1911091	88	0.19	          1.78	9.62	10.23	9.54	9.63	    12.62	1906569984	  4.47	全国地产	广东	7.17	9.98	929999	981091	  0.95	5705	1249	--  	        107.60	
600098	广州发展	-2.57	9.84	-0.26	9.84	9.85	592485	58	0.10	          2.17	10.01	10.03	9.61	10.10	    20.33	578918464	  0.40	火力发电	广东	4.16	9.77	270579	321905	  0.84	91	1456	--  	         27.26	
600153	建发股份	1.49	10.89	0.16	10.88	10.89	185327	13	0.09	          0.65	10.74	10.90	10.65	10.73	    17.61	200140576	  1.60	商贸代理	福建	2.33	10.80	74578	110749	  0.67	322	652	--  	         28.35	
