代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000713	丰乐种业	0.46	10.91	0.05	10.90	10.91	28302	189	0.18	          0.95	10.83	10.92	10.78	10.86	--  	30729670	  0.78	种植业	安徽	1.29	10.86	14233	14069	  1.01	20	105	--  	          2.99	
000860	顺鑫农业	1.51	22.20	0.33	22.20	22.21	86336	4140	0.00	          1.53	21.81	22.25	21.54	21.87	    38.50	190338560	  1.15	白酒	北京	3.25	22.05	32879	53457	  0.62	1293	444	--  	          5.63	
000902	新洋丰	-1.24	9.57	-0.12	9.57	9.58	127477	1590	0.10	          2.11	9.69	9.69	9.51	9.69	    17.58	122079080	  1.59	农药化肥	湖北	1.86	9.58	78189	49288	  1.59	774	909	--  	          6.04	
000998	隆平高科	0.83	19.47	0.16	19.47	19.48	85239	582	-0.05	          0.89	19.27	19.50	19.04	19.31	   183.15	164501504	  1.20	种植业	湖南	2.38	19.30	41129	44110	  0.93	680	672	--  	          9.56	
002041	登海种业	-0.59	16.95	-0.10	16.94	16.95	99127	883	0.05	          1.13	17.05	17.09	16.76	17.05	    47.04	167308960	  1.74	种植业	山东	1.94	16.88	54345	44782	  1.21	390	977	--  	          8.74	
002157	正邦科技	0.00	6.28	0.00	6.27	6.28	120643	1794	0.00	          0.89	6.27	6.28	6.20	6.28	    11.91	75347024	  0.93	饲料	江西	1.27	6.25	63422	57220	  1.11	2056	1625	--  	         13.63	
002170	芭田股份	0.11	9.31	0.01	9.30	9.31	46493	221	-0.10	          0.70	9.28	9.33	9.17	9.30	    47.11	43046728	  1.06	农药化肥	深圳	1.72	9.26	23425	23068	  1.02	110	353	--  	          6.64	
002215	诺 普 信	-0.99	11.04	-0.11	11.04	11.05	88612	588	0.00	          1.27	11.13	11.13	10.90	11.15	--  	97575288	  1.03	农药化肥	深圳	2.06	11.01	49452	39160	  1.26	515	604	--  	          6.95	
002263	大 东 南	0.26	3.86	0.01	3.85	3.86	192579	4412	0.25	          1.06	3.83	3.86	3.80	3.85	--  	73857184	  0.73	塑料	浙江	1.56	3.84	99602	92976	  1.07	3550	8677	--  	         18.22	
002385	大北农	0.15	6.55	0.01	6.54	6.55	88919	2586	0.00	          0.37	6.54	6.56	6.49	6.54	    33.85	58071452	  0.66	饲料	北京	1.07	6.53	46487	42432	  1.10	4664	981	--  	         23.82	
002470	金正大	0.13	7.46	0.01	7.46	7.47	81214	1754	-0.13	          0.30	7.41	7.48	7.39	7.45	    15.58	60457848	  0.69	农药化肥	山东	1.21	7.44	41457	39757	  1.04	1659	791	--  	         27.09	
002539	云图控股	-0.74	10.75	-0.08	10.75	10.76	45940	933	0.09	          1.13	10.83	10.83	10.63	10.83	    50.23	49237112	  0.92	农药化肥	四川	1.85	10.72	25907	20033	  1.29	565	423	--  	          4.07	
002588	史丹利	-0.28	10.68	-0.03	10.68	10.69	52961	352	0.00	          0.74	10.72	10.72	10.53	10.71	    20.17	56262468	  0.97	农药化肥	山东	1.77	10.62	32118	20843	  1.54	435	643	--  	          7.11	
300087	荃银高科	0.24	12.55	0.03	12.55	12.56	16922	1721	0.40	          0.66	12.54	12.56	12.36	12.52	--  	21078580	  0.42	种植业	安徽	1.60	12.46	9601	7320	  1.31	35	60	--  	          2.58	
300106	西部牧业	0.79	15.38	0.12	15.38	15.39	22205	786	0.13	          1.06	15.21	15.39	15.17	15.26	--  	33908908	  0.53	农业综合	新疆	1.44	15.27	11338	10867	  1.04	480	5844	--  	          2.10	
300189	神农基因	0.00	5.07	0.00	5.07	5.08	99869	1422	-0.19	          1.14	5.06	5.08	5.01	5.07	--  	50450632	  0.81	种植业	海南	1.38	5.05	51586	48282	  1.07	1889	2811	--  	          8.79	
300387	富邦股份	1.40	29.00	0.40	28.99	29.00	11389	109	0.03	          1.73	28.72	29.04	28.44	28.60	    44.59	32841338	  0.93	化工原料	湖北	2.10	28.84	4511	6877	  0.66	30	122	--  	          0.66	
600075	新疆天业	0.44	13.61	0.06	13.61	13.62	87103	6	0.29	          1.99	13.53	13.64	13.30	13.55	    17.74	117377840	  0.95	化工原料	新疆	2.51	13.48	43650	43452	  1.00	34	774	--  	          4.39	
600143	金发科技	0.00	7.74	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	7.74	    25.57	0	  0.00	塑料	广东	0.00	7.74	0	0	--  	0	0	--  	         25.60	
600354	敦煌种业	-0.24	8.28	-0.02	8.27	8.28	97366	10	0.00	          2.17	8.30	8.31	8.11	8.30	--  	80028888	  1.11	种植业	甘肃	2.41	8.22	49575	47790	  1.04	471	1028	--  	          4.48	
600371	万向德农	-1.22	16.23	-0.20	16.23	16.24	28551	13	0.12	          1.27	16.30	16.34	15.96	16.43	    90.47	46057784	  0.94	种植业	黑龙江	2.31	16.13	14073	14478	  0.97	2	62	--  	          2.25	
600803	新奥股份	-0.65	13.70	-0.09	13.70	13.71	97354	12	-0.14	          0.99	13.75	13.75	13.31	13.79	    52.52	132125824	  0.85	农药化肥	河北	3.19	13.57	48768	48585	  1.00	181	138	--  	          9.86	
数据来源:通达信
