代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000078	海王生物	0.62	6.44	0.04	6.44	6.45	162412	1548	0.15	          0.88	6.40	6.47	6.29	6.40	    56.16	103936216	  1.29	生物制药	深圳	2.81	6.40	73632	88780	  0.83	350	4021	--  	         18.44	
000518	四环生物	0.37	8.10	0.03	8.10	8.11	33052	708	-0.12	          0.32	8.07	8.12	8.02	8.07	   603.27	26724074	  0.88	生物制药	江苏	1.24	8.09	12461	20591	  0.61	607	1852	--  	         10.30	
000597	东北制药	0.64	10.94	0.07	10.94	10.95	61496	895	0.27	          1.40	10.85	10.98	10.74	10.87	   640.76	66806692	  0.74	化学制药	辽宁	2.21	10.86	32642	28854	  1.13	699	374	--  	          4.39	
000661	长春高新	1.81	112.18	1.99	112.13	112.18	26219	111	0.08	          1.54	110.56	113.76	110.56	110.19	    39.36	295113216	  1.19	生物制药	吉林	2.90	112.56	12698	13521	  0.94	10	10	--  	          1.70	
000739	普洛药业	-1.03	8.63	-0.09	8.62	8.63	111424	2662	0.23	          1.05	8.70	8.70	8.47	8.72	    43.02	95453552	  0.61	化学制药	浙江	2.64	8.57	70405	41019	  1.72	439	783	--  	         10.60	
000756	新华制药	3.35	14.50	0.47	14.49	14.50	94293	1201	0.06	          3.07	14.16	14.63	13.88	14.03	    55.77	135108112	  1.42	化学制药	山东	5.35	14.33	45342	48951	  0.93	481	264	--  	          3.07	
000766	通化金马	-0.66	17.98	-0.12	17.98	18.03	22191	266	-0.27	          0.49	18.16	18.17	17.93	18.10	    97.13	39989148	  0.89	中成药	吉林	1.33	18.02	11850	10340	  1.15	298	331	--  	          4.49	
000788	北大医药	0.67	13.48	0.09	13.47	13.48	15929	292	0.07	          0.29	13.34	13.49	13.32	13.39	   402.35	21379688	  0.52	化学制药	重庆	1.27	13.42	7962	7966	  1.00	50	54	--  	          5.59	
000790	泰合健康	-0.40	12.42	-0.05	12.41	12.42	30396	234	0.08	          0.71	12.48	12.50	12.33	12.47	   199.93	37698620	  0.86	中成药	四川	1.36	12.40	18345	12050	  1.52	100	23	--  	          4.30	
000819	岳阳兴长	0.11	26.26	0.03	26.25	26.26	28176	517	0.03	          1.09	26.23	26.46	25.96	26.23	   182.89	74145768	  1.17	石油加工	湖南	1.91	26.32	14936	13239	  1.13	156	136	--  	          2.58	
000952	广济药业	0.25	20.22	0.05	20.21	20.22	29804	352	0.09	          1.18	20.17	20.25	19.88	20.17	    35.88	59820088	  1.13	化学制药	湖北	1.83	20.07	18587	11216	  1.66	18	199	--  	          2.52	
002007	华兰生物	1.45	36.43	0.52	36.42	36.43	75476	867	-0.05	          0.94	35.99	36.89	35.93	35.91	    41.84	275408608	  1.56	生物制药	河南	2.67	36.49	38464	37011	  1.04	21	221	--  	          8.04	
002022	科华生物	1.52	20.75	0.31	20.74	20.75	35848	351	0.04	          0.94	20.50	20.82	20.40	20.44	    39.07	74160480	  0.91	医疗保健	上海	2.05	20.69	14097	21751	  0.65	281	214	--  	          3.80	
002030	达安基因	1.27	23.06	0.29	23.06	23.07	149753	1841	-0.12	          2.16	22.80	23.40	22.75	22.77	   147.77	347211648	  1.01	生物制药	广东	2.85	23.19	65892	83861	  0.79	911	18	--  	          6.94	
002038	双鹭药业	-0.11	27.49	-0.03	27.45	27.49	17779	279	0.14	          0.31	27.48	27.50	27.11	27.52	    39.55	48610324	  1.01	生物制药	北京	1.42	27.34	9773	8005	  1.22	19	23	--  	          5.67	
002100	天康生物	-0.22	9.21	-0.02	9.21	9.22	48611	1290	0.10	          0.69	9.18	9.24	9.14	9.23	    20.87	44656640	  0.89	饲料	新疆	1.08	9.19	25576	23034	  1.11	460	953	--  	          7.09	
002166	莱茵生物	-2.57	12.87	-0.34	12.87	12.88	205452	3891	-0.15	          5.89	13.10	13.12	12.71	13.21	    98.73	264120656	  1.29	中成药	广西	3.10	12.86	114904	90548	  1.27	1914	98	--  	          3.49	
002393	力生制药	1.37	41.36	0.56	41.36	41.37	27170	925	0.31	          1.49	40.89	41.45	40.40	40.80	    71.62	111523464	  1.51	化学制药	天津	2.57	41.05	12218	14952	  0.82	215	32	--  	          1.82	
002680	长生生物	1.05	16.39	0.17	16.38	16.39	47896	481	0.06	          1.66	16.21	16.46	16.00	16.22	    44.88	78092912	  0.67	生物制药	江苏	2.84	16.30	25775	22120	  1.17	205	47	--  	          2.88	
300009	安科生物	1.49	21.86	0.32	21.85	21.86	48343	1167	0.13	          1.41	21.54	21.99	21.45	21.54	    63.50	105481600	  0.96	生物制药	安徽	2.51	21.82	22143	26200	  0.85	255	221	--  	          3.43	
300122	智飞生物	0.96	17.79	0.17	17.78	17.79	29209	798	0.05	          0.34	17.62	17.98	17.35	17.62	  3157.43	51698676	  0.97	生物制药	重庆	3.58	17.70	14723	14486	  1.02	258	28	--  	          8.63	
300142	沃森生物	-0.96	12.38	-0.12	12.37	12.38	98781	1119	0.00	          0.91	12.46	12.53	12.21	12.50	--  	122362432	  0.61	生物制药	云南	2.56	12.39	53069	45711	  1.16	1259	4	--  	         10.86	
300289	利德曼	-0.74	12.00	-0.09	11.98	12.00	27692	292	0.25	          0.87	12.05	12.07	11.89	12.09	    80.52	33082888	  0.67	生物制药	北京	1.49	11.95	16501	11190	  1.47	257	145	--  	          3.18	
300294	博雅生物	0.98	61.90	0.60	61.90	61.92	14775	113	0.00	          0.68	61.30	62.66	60.60	61.30	    69.09	91569744	  0.60	生物制药	江西	3.36	61.98	7213	7561	  0.95	159	3	--  	          2.18	
300313	天山生物	0.82	19.68	0.16	19.67	19.68	54540	1077	0.10	          2.99	19.25	19.95	19.14	19.52	--  	106932656	  0.94	农业综合	新疆	4.15	19.61	26517	28022	  0.95	35	116	--  	          1.82	
600062	华润双鹤	0.00	22.71	0.00	22.70	22.71	69575	15	0.00	          1.22	22.71	22.93	22.52	22.71	    23.04	157784720	  1.55	化学制药	北京	1.81	22.68	43216	26358	  1.64	10	77	--  	          5.72	
600161	天坛生物	0.00	39.40	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	39.40	    82.83	0	  0.00	生物制药	北京	0.00	39.40	0	0	--  	0	0	--  	          5.15	
600195	中牧股份	-0.05	20.90	-0.01	20.90	20.91	22115	1	0.04	          0.51	20.85	20.93	20.68	20.91	    31.39	46027456	  0.89	饲料	北京	1.20	20.81	12475	9640	  1.29	12	28	--  	          4.30	
600196	复星医药	0.74	25.99	0.19	25.99	26.00	117783	2	0.00	          0.62	25.72	26.27	25.68	25.80	    21.62	306655264	  1.66	化学制药	上海	2.29	26.04	61037	56745	  1.08	23	148	--  	         19.09	
600201	生物股份	-0.26	34.34	-0.09	34.31	34.40	35623	910	-0.17	          0.63	34.40	34.76	34.20	34.43	    32.55	122714144	  0.84	生物制药	内蒙	1.63	34.45	15396	20227	  0.76	16	32	--  	          5.69	
600216	浙江医药	0.33	12.16	0.04	12.15	12.16	67869	121	0.00	          0.73	12.11	12.18	12.01	12.12	    21.68	82307832	  0.77	化学制药	浙江	1.40	12.13	32118	35750	  0.90	318	16	--  	          9.36	
600252	中恒集团	0.43	4.63	0.02	4.62	4.63	189830	76	0.21	          0.58	4.60	4.63	4.57	4.61	    27.84	87452504	  0.88	中成药	广西	1.30	4.61	86860	102970	  0.84	5102	6221	--  	         32.75	
600267	海正药业	1.19	13.58	0.16	13.58	13.59	76604	12	0.22	          0.79	13.39	13.73	13.32	13.42	   317.18	103933072	  1.26	化学制药	浙江	3.06	13.57	36756	39848	  0.92	5	89	--  	          9.66	
600332	白云山	3.98	28.21	1.08	28.22	28.23	196927	6	0.46	          1.84	27.09	28.57	27.09	27.13	    32.56	550452352	  2.36	中成药	广东	5.46	27.95	75165	121762	  0.62	19	77	--  	         10.71	
600351	亚宝药业	0.11	9.09	0.01	9.08	9.09	38731	2	0.11	          0.56	9.09	9.10	9.02	9.08	    77.97	35106956	  1.00	中成药	山西	0.88	9.06	16511	22219	  0.74	889	758	--  	          6.92	
600513	联环药业	-0.06	16.13	-0.01	16.14	16.15	19377	90	0.12	          0.88	16.15	16.15	15.98	16.14	    58.12	31148074	  0.97	化学制药	江苏	1.05	16.07	10146	9230	  1.10	10	134	--  	          2.20	
600530	交大昂立	0.56	7.18	0.04	7.18	7.19	55767	5	-0.13	          0.71	7.14	7.22	7.07	7.14	    30.95	39931320	  1.01	医疗保健	上海	2.10	7.16	17547	38220	  0.46	154	22	--  	          7.80	
600572	康恩贝	1.17	6.94	0.08	6.93	6.94	75868	10	0.14	          0.37	6.85	6.94	6.79	6.86	    29.03	52203120	  1.59	中成药	浙江	2.19	6.88	34643	41225	  0.84	223	588	--  	         20.58	
600594	益佰制药	0.99	18.30	0.18	18.29	18.31	119183	6	-0.10	          1.50	18.12	18.35	18.02	18.12	    37.46	217500528	  0.58	中成药	贵州	1.82	18.25	55676	63506	  0.88	24	54	--  	          7.92	
600645	中源协和	0.00	26.80	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	26.80	  1404.43	0	  0.00	生物制药	天津	0.00	26.80	0	0	--  	0	0	--  	          3.54	
600789	鲁抗医药	1.01	10.05	0.10	10.04	10.05	108802	10	0.50	          1.87	9.92	10.05	9.79	9.95	   202.97	107935552	  0.89	化学制药	山东	2.61	9.92	51926	56876	  0.91	603	581	--  	          5.82	
600796	钱江生化	0.35	11.56	0.04	11.55	11.56	35249	3	0.00	          1.17	11.51	11.59	11.39	11.52	    69.39	40558692	  0.71	农药化肥	浙江	1.74	11.51	15863	19386	  0.82	9	44	--  	          3.01	
600851	海欣股份	-0.61	11.48	-0.07	11.48	11.49	26023	24	0.17	          0.35	11.60	11.60	11.43	11.55	    65.12	29887424	  1.08	纺织	上海	1.47	11.49	17573	8449	  2.08	100	135	--  	          7.38	
600993	马应龙	4.83	21.49	0.99	21.47	21.48	113400	14	0.23	          2.64	20.53	21.50	20.52	20.50	    33.59	239931968	  2.99	中成药	湖北	4.78	21.16	40743	72657	  0.56	8	71	--  	          4.30	
数据来源:通达信
