代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000576	广东甘化	-0.13	15.74	-0.02	15.74	15.75	40197	273	0.12	          0.93	15.65	15.85	15.50	15.76	    68.07	63196484	  0.65	造纸	广东	2.22	15.72	20885	19312	  1.08	688	131	--  	          4.34	
000601	韶能股份	0.00	8.44	0.00	8.43	8.44	96015	1974	0.00	          0.89	8.43	8.45	8.33	8.44	    14.92	80518920	  0.75	水力发电	广东	1.42	8.39	59224	36790	  1.61	126	570	--  	         10.80	
000652	泰达股份	1.69	6.01	0.10	6.00	6.01	156574	2475	0.33	          1.07	5.92	6.02	5.87	5.91	    93.25	93417360	  0.55	批发业	天津	2.54	5.97	69988	86585	  0.81	1175	1870	--  	         14.66	
000833	贵糖股份	0.32	9.40	0.03	9.40	9.41	59123	874	0.00	          1.56	9.37	9.42	9.26	9.37	--  	55353628	  0.78	造纸	广西	1.71	9.36	26033	33090	  0.79	622	716	--  	          3.78	
000911	南宁糖业	-0.25	15.85	-0.04	15.85	15.86	36186	527	0.00	          1.12	15.87	15.87	15.61	15.89	--  	57090836	  0.75	食品	广西	1.64	15.78	19917	16269	  1.22	386	334	--  	          3.24	
000930	中粮生化	0.68	13.36	0.09	13.35	13.36	352729	7079	0.07	          3.66	13.22	13.37	13.11	13.27	    91.20	467534816	  0.78	农业综合	安徽	1.96	13.25	148902	203827	  0.73	1127	1254	--  	          9.64	
000939	凯迪生态	0.50	12.09	0.06	12.09	12.10	99935	850	-0.08	          0.94	12.05	12.17	12.01	12.03	   105.40	120728488	  0.72	新型电力	湖北	1.33	12.08	51413	48521	  1.06	349	780	--  	         10.61	
000966	长源电力	0.34	5.95	0.02	5.95	5.96	42722	396	-0.16	          0.39	5.93	5.96	5.90	5.93	     9.30	25355326	  0.79	火力发电	湖北	1.01	5.93	18335	24387	  0.75	717	1922	--  	         11.08	
002060	粤 水 电	0.13	7.96	0.01	7.96	7.97	39639	342	0.12	          0.66	7.95	7.97	7.83	7.95	    52.97	31370572	  0.85	建筑施工	广东	1.76	7.91	20979	18660	  1.12	351	1250	--  	          6.01	
002124	天邦股份	0.09	11.72	0.01	11.71	11.72	65102	497	-0.08	          2.12	11.73	11.75	11.53	11.71	    16.39	75720184	  1.08	饲料	浙江	1.88	11.63	34419	30682	  1.12	782	216	--  	          3.07	
002234	民和股份	0.15	20.08	0.03	20.08	20.09	77134	1987	0.14	          3.74	20.12	20.15	19.55	20.05	    18.20	153391024	  0.66	农业综合	山东	2.99	19.89	41765	35368	  1.18	1771	125	--  	          2.06	
002604	龙力生物	0.37	10.85	0.04	10.84	10.85	61862	484	0.18	          1.43	10.80	10.86	10.60	10.81	    50.25	66520956	  0.88	食品	山东	2.41	10.75	29589	32273	  0.92	424	183	--  	          4.31	
