代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000503	海虹控股	-0.48	41.78	-0.20	41.70	41.78	43000	562	0.14	          0.48	42.17	42.17	41.00	41.98	--  	178581920	  1.15	医疗保健	海南	2.79	41.53	22785	20215	  1.13	38	241	--  	          8.99	
000701	厦门信达	-0.07	14.60	-0.01	14.59	14.60	61208	1561	-0.06	          1.72	14.56	14.65	14.47	14.61	    46.11	89260472	  1.00	综合类	福建	1.23	14.58	23866	37342	  0.64	1167	79264	--  	          3.57	
000705	浙江震元	-0.39	12.90	-0.05	12.89	12.90	30825	674	0.07	          1.09	12.96	12.98	12.77	12.95	   117.08	39619688	  1.00	医药商业	浙江	1.62	12.85	17020	13804	  1.23	690	1530	--  	          2.82	
000851	高鸿股份	2.63	12.50	0.32	12.49	12.50	181052	2040	0.08	          3.48	12.18	12.55	12.07	12.18	   145.01	224786416	  1.39	软件服务	贵州	3.94	12.42	80118	100933	  0.79	1003	1849	--  	          5.20	
002017	东信和平	0.28	14.09	0.04	14.08	14.09	41431	892	0.07	          1.21	14.07	14.12	13.88	14.05	    88.22	58097868	  0.92	通信设备	广东	1.71	14.02	21222	20208	  1.05	331	789	--  	          3.44	
002095	生 意 宝	-0.33	42.60	-0.14	42.59	42.60	26300	801	0.02	          1.05	42.80	42.80	42.08	42.74	   503.03	111614136	  0.69	互联网	浙江	1.68	42.44	13472	12828	  1.05	22	287	--  	          2.52	
002102	冠福股份	0.00	5.09	0.00	5.09	5.10	142386	1270	0.00	          1.18	5.08	5.10	5.00	5.09	    82.43	72015072	  0.91	化学制药	福建	1.96	5.06	68461	73924	  0.93	2056	4491	--  	         12.08	
002127	南极电商	0.09	11.06	0.01	11.05	11.06	54951	250	0.09	          0.57	11.04	11.09	10.81	11.05	    85.44	60401156	  0.92	互联网	江苏	2.53	10.99	39659	15292	  2.59	155	105	--  	          9.68	
002280	联络互动	1.31	11.59	0.15	11.59	11.60	346061	6871	0.08	          2.76	11.41	11.60	11.20	11.44	    72.05	395949440	  0.74	软件服务	浙江	3.50	11.44	143969	202092	  0.71	2674	3420	--  	         12.52	
002315	焦点科技	0.46	65.48	0.30	65.47	65.48	13717	133	0.00	          2.26	64.97	65.50	64.24	65.18	   128.70	88948144	  0.97	互联网	江苏	1.93	64.85	7162	6554	  1.09	24	128	--  	          0.61	
