代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000153	丰原药业	--  	12.52	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.52	    68.06	0	  0.00	化学制药	安徽	0.00	12.52	0	0	--  	0	0	--  	          3.12	
000417	合肥百货	2.26	9.51	0.21	9.50	9.51	127274	1038	0.21	          1.63	9.26	9.59	9.23	9.30	    24.11	119742712	  0.86	百货	安徽	3.87	9.41	61106	66168	  0.92	47	1544	--  	          7.79	
000521	美菱电器	0.83	7.30	0.06	7.29	7.30	165283	1273	0.13	          2.79	7.25	7.45	7.19	7.24	    34.60	121197200	  2.19	家用电器	安徽	3.59	7.33	74367	90915	  0.82	586	190	--  	          5.92	
000543	皖能电力	0.42	7.15	0.03	7.14	7.15	105119	2343	0.14	          0.59	7.12	7.15	7.08	7.12	    12.43	74969976	  1.04	火力发电	安徽	0.98	7.13	55583	49536	  1.12	1226	3303	--  	         17.90	
000619	海螺型材	1.64	13.01	0.21	13.01	13.02	55858	1048	0.15	          1.55	12.81	13.04	12.63	12.80	    38.60	72109608	  1.24	其他建材	安徽	3.20	12.91	24010	31847	  0.75	949	784	--  	          3.60	
000630	铜陵有色	1.25	3.24	0.04	3.23	3.24	1195421	20579	0.00	          1.25	3.20	3.24	3.18	3.20	   268.79	384756960	  1.07	铜	安徽	1.87	3.22	426330	769090	  0.55	36154	103745	--  	         95.60	
000713	丰乐种业	0.46	10.91	0.05	10.90	10.91	28302	189	0.18	          0.95	10.83	10.92	10.78	10.86	--  	30729670	  0.78	种植业	安徽	1.29	10.86	14233	14069	  1.01	20	105	--  	          2.99	
000728	国元证券	1.31	20.11	0.26	20.10	20.11	202891	6301	0.19	          1.03	19.78	20.11	19.59	19.85	    31.07	403808768	  1.02	证券	安徽	2.62	19.90	89335	113555	  0.79	2763	528	--  	         19.64	
000850	华茂股份	0.65	6.22	0.04	6.21	6.22	63397	1790	0.16	          0.67	6.16	6.23	6.15	6.18	    71.07	39304156	  0.80	纺织	安徽	1.29	6.20	30061	33335	  0.90	1906	780	--  	          9.43	
000859	国风塑业	-5.02	7.00	-0.37	7.00	7.01	867925	20193	0.00	         11.74	7.08	7.17	6.89	7.37	   281.96	609131968	  1.05	塑料	安徽	3.80	7.02	491837	376088	  1.31	3732	3592	--  	          7.39	
000868	安凯客车	0.72	7.01	0.05	7.01	7.02	91484	779	0.00	          1.32	6.94	7.02	6.89	6.96	   141.82	63581872	  1.02	汽车整车	安徽	1.87	6.95	37882	53601	  0.71	1239	1862	--  	          6.96	
