代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000009	中国宝安	0.41	9.75	0.04	9.74	9.75	192589	2225	0.20	          0.91	9.66	9.77	9.62	9.71	    74.71	186969376	  0.79	综合类	深圳	1.54	9.71	93919	98669	  0.95	6003	2316	--  	         21.20	
000413	东旭光电	--  	10.21	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.21	    47.18	0	  0.00	元器件	河北	0.00	10.21	0	0	--  	0	0	--  	         29.89	
000510	金路集团	0.26	11.36	0.03	11.36	11.37	79667	1724	-0.17	          1.41	11.33	11.43	11.26	11.33	   287.37	90513232	  0.53	化工原料	四川	1.50	11.36	41983	37683	  1.11	825	103	--  	          5.63	
000511	*ST烯碳	-1.22	6.47	-0.08	6.47	6.48	568318	12800	0.31	          4.92	6.40	6.53	6.22	6.55	--  	361703552	  0.77	矿物制品	辽宁	4.73	6.36	312224	256094	  1.22	3127	1027	--  	         11.55	
000532	力合股份	0.38	18.29	0.07	18.29	18.30	40054	759	0.16	          1.17	18.21	18.30	17.81	18.22	   158.27	72338856	  0.63	元器件	广东	2.69	18.06	21222	18832	  1.13	171	421	--  	          3.43	
000565	渝三峡Ａ	-1.25	12.62	-0.16	12.62	12.63	77137	1578	0.07	          1.78	12.82	12.82	12.51	12.78	    24.48	97387424	  0.72	染料涂料	重庆	2.43	12.63	47490	29646	  1.60	740	34	--  	          4.34	
000928	中钢国际	3.55	19.81	0.68	19.80	19.81	139295	858	-0.15	          3.37	19.00	19.88	18.90	19.13	    28.13	271801728	  1.15	建筑施工	吉林	5.12	19.51	60472	78822	  0.77	732	507	--  	          4.13	
002092	中泰化学	0.86	12.91	0.11	12.91	12.92	167373	2786	0.07	          1.72	12.81	12.92	12.73	12.80	    29.16	214815168	  0.89	化工原料	新疆	1.48	12.83	86423	80950	  1.07	576	2659	--  	          9.74	
002139	拓邦股份	2.86	14.38	0.40	14.37	14.38	99772	2456	0.06	          3.45	13.96	14.38	13.82	13.98	    46.49	141763648	  1.41	元器件	深圳	4.01	14.21	40070	59701	  0.67	1133	298	--  	          2.89	
002297	博云新材	-1.26	13.29	-0.17	13.28	13.29	139130	2139	0.07	          3.51	13.35	13.35	12.97	13.46	--  	183698384	  0.76	矿物制品	湖南	2.82	13.20	77522	61607	  1.26	2550	98	--  	          3.96	
002319	乐通股份	-0.18	21.76	-0.04	21.75	21.76	27005	450	-0.18	          1.35	21.65	21.89	21.48	21.80	   665.71	58485288	  1.05	染料涂料	广东	1.88	21.66	13232	13772	  0.96	31	666	--  	          2.00	
002340	格林美	0.47	8.48	0.04	8.48	8.49	1474944	39663	0.59	          6.32	8.40	8.54	8.25	8.44	    94.11	1236827904	  0.71	小金属	深圳	3.44	8.39	774051	700893	  1.10	1553	6185	--  	         23.34	
002341	新纶科技	0.55	18.40	0.10	18.39	18.40	61656	586	0.05	          2.13	18.20	18.59	18.15	18.30	   134.68	113466192	  0.92	化工原料	深圳	2.40	18.40	37578	24077	  1.56	163	952	--  	          2.90	
002389	南洋科技	3.06	22.93	0.68	22.93	22.94	304896	3745	0.17	          5.78	22.41	23.29	22.27	22.25	   123.91	699564032	  1.23	元器件	浙江	4.58	22.94	138543	166352	  0.83	400	482	--  	          5.28	
002404	嘉欣丝绸	-0.11	8.92	-0.01	8.91	8.92	51559	880	0.11	          1.29	8.89	8.94	8.79	8.93	    52.62	45666460	  0.87	纺织	浙江	1.68	8.86	22569	28989	  0.78	1	242	--  	          3.99	
002442	龙星化工	0.66	13.70	0.09	13.69	13.70	31043	214	-0.14	          0.97	13.65	13.76	13.43	13.61	   335.88	42491848	  1.77	化工原料	河北	2.42	13.69	13479	17563	  0.77	33	85	--  	          3.20	
002443	金洲管道	--  	11.94	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.94	   109.60	0	  0.00	钢加工	浙江	0.00	11.94	0	0	--  	0	0	--  	          5.03	
002450	康得新	1.78	19.39	0.34	19.38	19.39	601147	2469	-0.05	          2.09	19.07	19.56	18.93	19.05	    36.23	1160432768	  2.06	化工原料	江苏	3.31	19.30	260050	341096	  0.76	2526	576	--  	         28.76	
002471	中超控股	0.17	6.02	0.01	6.02	6.03	76782	450	-0.16	          0.61	6.01	6.04	5.91	6.01	    64.84	45864084	  1.22	电气设备	江苏	2.16	5.97	42782	33999	  1.26	683	1473	--  	         12.58	
002604	龙力生物	0.37	10.85	0.04	10.84	10.85	61862	484	0.18	          1.43	10.80	10.86	10.60	10.81	    50.25	66520956	  0.88	食品	山东	2.41	10.75	29589	32273	  0.92	424	183	--  	          4.31	
002630	华西能源	2.18	12.17	0.26	12.16	12.17	121179	1068	0.24	          1.98	11.91	12.18	11.80	11.91	    38.18	146099792	  2.28	专用机械	四川	3.19	12.06	52246	68933	  0.76	540	1359	--  	          6.13	
002631	德尔未来	1.14	18.71	0.21	18.70	18.71	31519	539	0.10	          1.09	18.59	18.78	18.50	18.50	    64.34	58786444	  0.76	家居用品	江苏	1.51	18.65	15790	15729	  1.00	283	382	--  	          2.88	
300035	中科电气	0.52	15.48	0.08	15.47	15.48	34312	918	0.00	          1.85	15.41	15.50	15.15	15.40	   142.62	52653188	  0.64	工程机械	湖南	2.27	15.35	18121	16191	  1.12	63	1918	--  	          1.86	
300064	豫金刚石	0.48	10.55	0.05	10.54	10.55	29810	1275	0.09	          0.49	10.50	10.56	10.41	10.50	    83.31	31296188	  0.53	矿物制品	河南	1.43	10.50	17564	12245	  1.43	0	521	--  	          6.06	
300068	南都电源	--  	20.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.14	    48.11	0	  0.00	电气设备	浙江	0.00	20.14	0	0	--  	0	0	--  	          5.82	
300073	当升科技	1.44	59.70	0.85	59.70	59.73	122273	3228	0.38	          7.49	58.00	60.66	57.59	58.85	   130.67	724598400	  0.74	矿物制品	北京	5.22	59.26	60190	62083	  0.97	7	11	--  	          1.63	
300128	锦富技术	3.32	21.16	0.68	21.16	21.17	154235	1274	0.04	          4.75	20.51	21.56	20.20	20.48	   265.57	322876992	  0.70	元器件	江苏	6.64	20.93	69579	84655	  0.82	589	227	--  	          3.25	
300134	大富科技	--  	23.36	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.36	   281.18	0	  0.00	通信设备	深圳	0.00	23.36	0	0	--  	0	0	--  	          7.12	
300207	欣旺达	7.05	12.90	0.85	12.89	12.90	490128	4764	0.07	          6.81	12.05	13.20	11.92	12.05	    37.06	618739328	  2.24	元器件	深圳	10.62	12.62	194124	296004	  0.66	2091	964	--  	          7.20	
300233	金城医药	0.33	24.34	0.08	24.34	24.35	8611	90	0.00	          0.38	24.33	24.38	24.15	24.26	    46.88	20905328	  0.76	化学制药	山东	0.95	24.28	3981	4629	  0.86	247	46	--  	          2.29	
300317	珈伟股份	1.92	38.66	0.73	38.66	38.67	141771	981	0.00	          8.45	37.98	39.37	37.80	37.93	    66.22	547859456	  1.93	半导体	深圳	4.14	38.64	70836	70935	  1.00	245	52	--  	          1.68	
300409	道氏技术	0.90	36.91	0.33	36.91	36.92	65772	669	-0.05	          5.90	36.88	37.48	36.60	36.58	    78.46	243041776	  1.16	陶瓷	广东	2.41	36.95	32191	33581	  0.96	297	3	--  	          1.11	
600100	同方股份	0.22	13.94	0.03	13.94	13.95	251383	131	0.28	          1.14	13.89	13.98	13.81	13.91	     6.08	349681408	  0.75	电脑设备	北京	1.22	13.91	137961	113422	  1.22	546	901	--  	         21.98	
600152	维科精华	0.00	12.50	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	12.50	--  	0	  0.00	纺织	浙江	0.00	12.50	0	0	--  	0	0	--  	          2.93	
600175	美都能源	0.20	4.95	0.01	4.95	4.96	51607	2	0.00	          0.36	4.94	4.96	4.91	4.94	   162.56	25463184	  0.72	综合类	浙江	1.01	4.93	23366	28240	  0.83	354	3051	--  	         14.48	
600183	生益科技	4.21	13.60	0.55	13.58	13.60	290614	16	0.07	          2.02	13.01	13.68	13.01	13.05	    29.40	390940160	  1.52	元器件	广东	5.13	13.45	127255	163359	  0.78	664	764	--  	         14.41	
600503	华丽家族	0.62	8.17	0.05	8.16	8.17	173733	2	0.12	          1.11	8.12	8.17	8.08	8.12	    78.36	141440928	  0.66	区域地产	上海	1.11	8.14	89848	83884	  1.07	1139	466	--  	         15.63	
600509	天富能源	0.25	8.03	0.02	8.03	8.04	68257	6	0.00	          0.75	8.01	8.04	7.90	8.01	    19.94	54358592	  0.81	火力发电	新疆	1.75	7.96	36591	31665	  1.16	333	1064	--  	          9.06	
