代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000511	*ST烯碳	-1.22	6.47	-0.08	6.47	6.48	568318	12800	0.31	          4.92	6.40	6.53	6.22	6.55	--  	361703552	  0.77	矿物制品	辽宁	4.73	6.36	312224	256094	  1.22	3127	1027	--  	         11.55	
000636	风华高科	2.00	10.72	0.21	10.72	10.73	153875	926	-0.09	          1.89	10.56	10.78	10.43	10.51	    65.01	163933632	  1.06	元器件	广东	3.33	10.65	66422	87452	  0.76	1708	258	--  	          8.13	
000758	中色股份	1.79	8.55	0.15	8.55	8.56	279072	11039	0.11	          1.42	8.41	8.55	8.37	8.40	    61.94	237359840	  1.10	铅锌	北京	2.14	8.51	124897	154175	  0.81	4645	3714	--  	         19.69	
000795	英洛华	0.87	6.98	0.06	6.98	6.99	141106	2791	0.00	          2.16	6.94	6.99	6.74	6.92	   228.83	97208968	  1.01	矿物制品	山西	3.61	6.89	60530	80575	  0.75	156	1584	--  	          6.53	
000831	*ST五稀	3.15	13.10	0.40	13.09	13.10	184348	1681	0.07	          1.88	12.70	13.17	12.66	12.70	--  	239319488	  1.37	小金属	山西	4.02	12.98	74349	109999	  0.68	362	1371	--  	          9.81	
000969	安泰科技	0.19	10.79	0.02	10.78	10.79	72887	872	0.00	          0.85	10.73	10.82	10.61	10.77	   117.98	78231672	  0.81	钢加工	北京	1.95	10.73	35044	37842	  0.93	575	730	--  	          8.61	
000970	中科三环	0.85	14.31	0.12	14.31	14.32	112131	1265	0.00	          1.05	14.16	14.36	13.97	14.19	    49.39	159813680	  0.67	元器件	北京	2.75	14.25	51963	60167	  0.86	127	1584	--  	         10.65	
000993	闽东电力	-0.98	14.20	-0.14	14.20	14.21	139111	2290	0.00	          3.73	14.21	14.29	13.95	14.34	    33.01	196420384	  0.80	水力发电	福建	2.37	14.12	82015	57096	  1.44	941	381	--  	          3.73	
002056	横店东磁	1.45	14.71	0.21	14.71	14.72	127883	1852	0.13	          1.56	14.49	14.74	14.24	14.50	    29.29	186021648	  1.12	元器件	浙江	3.45	14.55	59071	68812	  0.86	106	595	--  	          8.22	
002057	中钢天源	-1.79	15.40	-0.28	15.40	15.41	79695	908	0.06	          4.00	15.55	15.55	15.10	15.68	   280.79	122167312	  0.87	元器件	安徽	2.87	15.33	43336	36358	  1.19	446	172	--  	          1.99	
002240	威华股份	5.36	12.78	0.65	12.77	12.78	268506	3255	-0.07	          6.07	12.16	12.95	12.02	12.13	   267.93	338790144	  2.64	家居用品	广东	7.67	12.62	126312	142193	  0.89	1240	416	--  	          4.42	
002352	顺丰控股	-3.21	60.89	-2.02	60.89	60.90	163608	2812	0.03	         12.30	63.90	63.90	60.33	62.91	 12886.87	1002924736	  0.86	仓储物流	安徽	5.67	61.30	90840	72767	  1.25	2651	228	--  	          1.33	
002600	江粉磁材	--  	11.46	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.46	    60.71	0	  0.00	元器件	广东	0.00	11.46	0	0	--  	0	0	--  	          5.13	
300127	银河磁体	2.65	19.01	0.49	19.01	19.02	43967	953	0.15	          1.99	18.39	19.02	18.26	18.52	    55.02	82236920	  1.10	元器件	四川	4.10	18.70	14652	29315	  0.50	626	136	--  	          2.21	
300224	正海磁材	3.30	19.08	0.61	19.06	19.08	45538	285	-0.10	          0.94	18.50	19.12	18.40	18.47	    64.51	86059328	  1.47	元器件	山东	3.90	18.90	20194	25344	  0.80	234	232	--  	          4.85	
600058	五矿发展	0.00	15.32	0.00	15.31	15.32	51168	9	0.00	          0.48	15.25	15.33	15.07	15.32	   412.11	77944304	  0.63	商贸代理	北京	1.70	15.23	28869	22298	  1.29	249	18	--  	         10.72	
600111	北方稀土	1.34	12.82	0.17	12.82	12.83	194578	3	0.15	          0.54	12.63	12.83	12.58	12.65	  1017.31	247881168	  1.19	小金属	内蒙	1.98	12.74	84400	110178	  0.77	945	1226	--  	         36.33	
600193	创兴资源	3.82	10.05	0.37	10.05	10.06	178948	5	0.29	          4.21	10.14	10.32	9.94	9.68	  1037.25	180316912	  4.19	装修装饰	上海	3.93	10.08	85540	93408	  0.92	424	485	--  	          4.25	
600206	有研新材	0.70	10.09	0.07	10.08	10.09	60290	29	0.09	          0.72	10.02	10.09	9.88	10.02	   218.02	60399552	  0.70	半导体	北京	2.10	10.02	31497	28793	  1.09	248	425	--  	          8.39	
600259	广晟有色	4.44	46.80	1.99	46.81	46.82	84714	38	0.06	          3.28	44.77	46.94	44.60	44.81	--  	391465920	  2.25	小金属	海南	5.22	46.21	36851	47862	  0.77	1	3	--  	          2.58	
600330	天通股份	0.47	10.75	0.05	10.75	10.76	77399	2	-0.18	          0.94	10.70	10.80	10.60	10.70	    61.68	83003456	  0.67	元器件	浙江	1.87	10.72	37338	40060	  0.93	50	361	--  	          8.20	
600362	江西铜业	3.39	18.93	0.62	18.93	18.94	519930	26	0.00	          2.51	18.34	18.95	18.30	18.31	    49.74	969339840	  1.91	铜	江西	3.55	18.64	223225	296705	  0.75	153	900	--  	         20.75	
600366	宁波韵升	1.05	20.16	0.21	20.16	20.17	57042	100	0.04	          1.08	19.92	20.17	19.87	19.95	    10.86	114288928	  0.65	电器仪表	浙江	1.50	20.04	26201	30840	  0.85	164	474	--  	          5.29	
600392	盛和资源	3.71	13.41	0.48	13.42	13.43	262989	23	0.22	          2.79	12.88	13.48	12.87	12.93	--  	349973920	  1.67	小金属	山西	4.72	13.31	114577	148411	  0.77	14	588	--  	          9.41	
600478	科力远	1.83	10.02	0.18	10.01	10.02	112779	2	-0.09	          0.88	9.87	10.13	9.83	9.84	--  	113225896	  2.23	元器件	湖南	3.05	10.04	44240	68539	  0.65	318	166	--  	         12.75	
600549	厦门钨业	3.31	24.04	0.77	24.05	24.06	138763	91	0.33	          1.57	23.20	24.06	23.18	23.27	   127.40	330446432	  1.31	小金属	福建	3.78	23.81	55906	82856	  0.67	13	108	--  	          8.87	
600614	鹏起科技	0.93	12.97	0.12	12.97	12.98	194954	21	0.15	          1.65	12.88	13.13	12.74	12.85	    87.15	253360496	  0.65	综合类	上海	3.04	13.00	96774	98179	  0.99	278	455	--  	         11.80	
600980	北矿科技	0.66	22.73	0.15	22.71	22.72	21179	9	0.13	          1.48	22.68	22.88	22.44	22.58	   143.36	47949884	  0.72	元器件	北京	1.95	22.64	10191	10987	  0.93	138	2	--  	          1.43	
601600	中国铝业	1.24	4.90	0.06	4.89	4.90	752735	225	0.40	          0.69	4.84	4.91	4.80	4.84	   507.82	366729184	  0.90	铝	北京	2.27	4.87	278294	474440	  0.59	2064	3761	--  	        109.60	
数据来源:通达信
