代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000007	全新好	--  	23.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.81	   237.21	0	  0.00	酒店餐饮	深圳	0.00	23.81	0	0	--  	0	0	--  	          2.06	
000060	中金岭南	2.40	11.54	0.27	11.53	11.54	307856	4352	0.08	          1.39	11.27	11.54	11.22	11.27	   116.86	351483264	  1.51	铅锌	深圳	2.84	11.42	135465	172390	  0.79	2512	3223	--  	         22.11	
000540	中天城投	2.76	6.70	0.18	6.69	6.70	414902	7851	0.00	          1.05	6.52	6.75	6.44	6.52	    11.50	274821088	  2.09	区域地产	贵州	4.75	6.62	157088	257813	  0.61	3819	2627	--  	         39.46	
000629	*ST钒钛	0.79	2.55	0.02	2.54	2.55	295133	5655	0.39	          0.62	2.53	2.55	2.51	2.53	--  	74807904	  0.60	普钢	四川	1.58	2.53	150296	144836	  1.04	15799	50981	--  	         47.67	
000630	铜陵有色	1.25	3.24	0.04	3.23	3.24	1195421	20579	0.00	          1.25	3.20	3.24	3.18	3.20	   268.79	384756960	  1.07	铜	安徽	1.87	3.22	426330	769090	  0.55	36154	103745	--  	         95.60	
000663	永安林业	0.26	15.31	0.04	15.31	15.32	43788	295	0.06	          2.31	15.18	15.39	15.06	15.27	   443.74	66966712	  0.75	林业	福建	2.16	15.29	21867	21920	  1.00	285	132	--  	          1.89	
000693	ST华泽	--  	12.50	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.50	--  	0	  0.00	小金属	四川	0.00	12.50	0	0	--  	0	0	--  	          2.77	
000697	炼石有色	--  	23.51	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.51	--  	0	  0.00	小金属	陕西	0.00	23.51	0	0	--  	0	0	--  	          4.54	
000737	南风化工	0.13	7.47	0.01	7.47	7.48	138115	2435	0.26	          2.52	7.45	7.50	7.25	7.46	--  	101936240	  0.88	日用化工	山西	3.35	7.38	69313	68802	  1.01	277	1095	--  	          5.49	
000758	中色股份	1.79	8.55	0.15	8.55	8.56	279072	11039	0.11	          1.42	8.41	8.55	8.37	8.40	    61.94	237359840	  1.10	铅锌	北京	2.14	8.51	124897	154175	  0.81	4645	3714	--  	         19.69	
000762	西藏矿业	0.56	18.04	0.10	18.03	18.04	97704	854	0.16	          2.05	17.82	18.05	17.51	17.94	   546.71	173939984	  0.75	小金属	西藏	3.01	17.80	50863	46840	  1.09	17	1015	--  	          4.76	
000792	盐湖股份	-0.05	18.62	-0.01	18.62	18.63	78170	1425	0.00	          0.43	18.65	18.70	18.46	18.63	    99.67	145384096	  0.70	农药化肥	青海	1.29	18.60	45069	33100	  1.36	222	378	--  	         18.33	
000831	*ST五稀	3.15	13.10	0.40	13.09	13.10	184348	1681	0.07	          1.88	12.70	13.17	12.66	12.70	--  	239319488	  1.37	小金属	山西	4.02	12.98	74349	109999	  0.68	362	1371	--  	          9.81	
000878	云南铜业	3.18	15.58	0.48	15.58	15.59	579350	6455	0.00	          4.09	15.13	15.65	15.08	15.10	   371.55	893896064	  1.69	铜	云南	3.77	15.43	270305	309044	  0.87	5024	445	--  	         14.16	
000933	*ST神火	1.89	7.55	0.14	7.54	7.55	197944	2091	0.00	          1.05	7.38	7.57	7.35	7.41	    13.03	148199088	  0.86	煤炭开采	河南	2.97	7.49	84225	113718	  0.74	1524	3383	--  	         18.90	
