代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000005	世纪星源	-0.15	6.63	-0.01	6.63	6.64	151310	741	0.00	          1.59	6.62	6.69	6.51	6.64	    39.35	99983144	  0.90	房产服务	深圳	2.71	6.61	61199	90110	  0.68	1030	2727	--  	          9.51	
000425	徐工机械	2.29	4.02	0.09	4.01	4.02	1092317	28084	0.24	          1.56	3.93	4.05	3.90	3.93	   127.77	436577120	  1.42	工程机械	江苏	3.82	4.00	416425	675892	  0.62	3276	17003	--  	         69.94	
000551	创元科技	0.00	11.08	0.00	11.07	11.08	79711	2531	0.09	          1.99	11.06	11.12	10.90	11.08	    56.38	87884896	  1.03	专用机械	江苏	1.99	11.03	45936	33774	  1.36	145	1196	--  	          4.00	
000581	威孚高科	1.98	23.72	0.46	23.72	23.73	56572	887	0.12	          0.68	23.26	23.76	23.18	23.26	    13.70	133363208	  1.08	汽车配件	江苏	2.49	23.57	22461	34111	  0.66	633	395	--  	          8.36	
000586	汇源通信	--  	21.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	21.28	  1148.64	0	  0.00	通信设备	四川	0.00	21.28	0	0	--  	0	0	--  	          1.93	
000652	泰达股份	1.69	6.01	0.10	6.00	6.01	156574	2475	0.33	          1.07	5.92	6.02	5.87	5.91	    93.25	93417360	  0.55	批发业	天津	2.54	5.97	69988	86585	  0.81	1175	1870	--  	         14.66	
000915	山大华特	1.88	43.45	0.80	43.45	43.46	33380	410	0.11	          1.86	42.65	43.46	41.80	42.65	    36.82	142878464	  0.82	化学制药	山东	3.89	42.80	15218	18161	  0.84	250	356	--  	          1.80	
000925	众合科技	0.54	24.15	0.13	24.15	24.16	59738	1868	-0.12	          1.96	23.82	24.47	23.82	24.02	--  	144512480	  0.84	专用机械	浙江	2.71	24.19	31061	28677	  1.08	181	194	--  	          3.06	
002076	雪 莱 特	4.14	13.85	0.55	13.84	13.85	75281	4010	0.50	          3.55	13.40	13.85	13.23	13.30	   103.76	102690536	  1.90	家用电器	广东	4.66	13.64	27074	48206	  0.56	693	1225	--  	          2.12	
002126	银轮股份	2.09	9.29	0.19	9.29	9.30	173322	3446	0.10	          2.84	9.08	9.32	9.06	9.10	    28.16	159986928	  1.01	汽车配件	浙江	2.86	9.23	77044	96277	  0.80	965	5839	--  	          6.09	
002145	中核钛白	-0.91	6.55	-0.06	6.55	6.56	415088	4523	0.00	          4.06	6.60	6.60	6.45	6.61	   168.60	271211520	  0.86	化工原料	甘肃	2.27	6.53	231125	183963	  1.26	5116	4359	--  	         10.22	
002203	海亮股份	0.45	9.01	0.04	9.01	9.02	123240	2098	0.11	          0.85	8.93	9.06	8.83	8.97	    28.82	110425008	  0.55	铜	浙江	2.56	8.96	62374	60865	  1.02	772	626	--  	         14.45	
002341	新纶科技	0.55	18.40	0.10	18.39	18.40	61656	586	0.05	          2.13	18.20	18.59	18.15	18.30	   134.68	113466192	  0.92	化工原料	深圳	2.40	18.40	37578	24077	  1.56	163	952	--  	          2.90	
002499	科林环保	0.93	28.27	0.26	28.27	28.28	34784	281	0.00	          2.53	28.25	28.32	27.81	28.01	   276.88	97866552	  1.18	环境保护	江苏	1.82	28.14	16672	18112	  0.92	95	127	--  	          1.37	
002549	凯美特气	-0.10	9.96	-0.01	9.95	9.96	51677	1664	0.10	          0.91	10.02	10.02	9.90	9.97	   439.06	51462244	  0.83	环境保护	湖南	1.20	9.96	31289	20388	  1.53	1056	1287	--  	          5.67	
002573	清新环境	1.80	20.32	0.36	20.32	20.33	146389	1254	0.00	          1.37	19.89	20.37	19.71	19.96	    32.61	294238176	  1.00	环境保护	北京	3.31	20.10	60009	86380	  0.69	1892	767	--  	         10.65	
002658	雪迪龙	0.37	16.32	0.06	16.32	16.33	25816	618	0.00	          0.85	16.20	16.40	16.18	16.26	    79.41	42117960	  0.61	环境保护	北京	1.35	16.31	11816	13999	  0.84	428	14	--  	          3.04	
300007	汉威电子	1.63	19.97	0.32	19.96	19.97	43931	519	-0.05	          1.96	19.63	20.08	19.26	19.65	    73.57	86488880	  0.96	电器仪表	河南	4.17	19.69	21347	22583	  0.95	307	151	--  	          2.24	
300012	华测检测	0.48	10.46	0.05	10.45	10.46	124261	2458	0.09	          1.83	10.41	10.50	10.24	10.41	    87.11	129024264	  0.78	电器仪表	深圳	2.50	10.38	62968	61292	  1.03	267	936	--  	          6.78	
300056	三维丝	7.49	19.65	1.37	19.65	19.66	157673	2629	0.25	          6.29	18.43	19.65	18.38	18.28	    68.23	301882016	  2.36	环境保护	福建	6.95	19.15	71763	85910	  0.84	933	330	--  	          2.51	
300072	三聚环保	10.00	54.98	5.00	54.98	--  	279224	4641	0.00	          3.08	50.40	54.98	50.01	49.98	    40.56	1478779648	  3.04	环境保护	北京	9.94	52.96	110115	169109	  0.65	13345	0	--  	          9.06	
300090	盛运环保	4.68	10.97	0.49	10.96	10.97	647533	16281	0.73	          7.37	10.47	11.20	10.37	10.48	    65.79	705633984	  2.08	环境保护	安徽	7.92	10.90	294776	352757	  0.84	252	4768	--  	          8.78	
300105	龙源技术	0.89	9.04	0.08	9.03	9.04	60028	1311	0.00	          1.17	8.97	9.04	8.87	8.96	--  	53732608	  0.84	电器仪表	山东	1.90	8.95	33579	26449	  1.27	328	780	--  	          5.13	
300137	先河环保	0.78	15.53	0.12	15.52	15.53	59526	1099	0.19	          2.01	15.39	15.57	15.21	15.41	    57.32	91872728	  0.76	环境保护	河北	2.34	15.43	34529	24996	  1.38	210	93	--  	          2.96	
300152	科融环境	0.11	9.00	0.01	8.99	9.00	148295	3620	0.11	          2.08	8.94	9.00	8.75	8.99	--  	131829240	  0.84	环境保护	江苏	2.78	8.89	75968	72327	  1.05	692	314	--  	          7.13	
