代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000006	深振业Ａ	-0.90	8.76	-0.08	8.75	8.76	128941	3097	0.00	          0.96	8.80	8.81	8.63	8.84	    77.47	112440304	  0.91	区域地产	深圳	2.04	8.72	76894	52047	  1.48	2426	143	--  	         13.45	
000011	深物业A	-1.40	16.91	-0.24	16.91	16.92	58737	735	-0.05	          3.34	16.95	16.96	16.65	17.15	--  	98866232	  0.94	区域地产	深圳	1.81	16.83	33195	25542	  1.30	461	162	--  	          1.76	
000014	沙河股份	-0.43	18.73	-0.08	18.70	18.73	16816	174	0.21	          0.83	18.61	18.80	18.38	18.81	--  	31340336	  0.77	全国地产	深圳	2.23	18.64	9245	7571	  1.22	224	216	--  	          2.02	
000020	深华发Ａ	-0.98	21.28	-0.21	21.28	21.29	14761	127	0.04	          0.81	21.49	21.60	21.08	21.49	  1002.23	31359002	  1.18	元器件	深圳	2.42	21.24	8692	6068	  1.43	101	42	--  	          1.81	
000023	深天地Ａ	-0.98	30.40	-0.30	30.38	30.40	7210	25	-0.03	          0.52	30.50	30.79	30.22	30.70	   382.65	21952056	  0.83	其他建材	深圳	1.86	30.45	4643	2567	  1.81	24	15	--  	          1.39	
000029	深深房Ａ	--  	11.17	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.17	    35.78	0	  0.00	区域地产	深圳	0.00	11.17	0	0	--  	0	0	--  	          8.92	
000036	华联控股	0.12	8.39	0.01	8.38	8.39	67405	164	0.11	          0.60	8.34	8.43	8.30	8.38	    15.09	56394532	  0.98	全国地产	深圳	1.55	8.37	33759	33645	  1.00	2801	240	--  	         11.28	
000039	中集集团	1.55	16.34	0.25	16.33	16.34	72288	305	-0.06	          0.57	16.11	16.38	16.08	16.09	--  	117672952	  0.66	轻工机械	深圳	1.86	16.28	28970	43318	  0.67	76	892	--  	         12.62	
000042	中洲控股	--  	20.24	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.24	   123.09	0	  0.00	全国地产	深圳	0.00	20.24	0	0	--  	0	0	--  	          4.85	
000055	方大集团	1.72	14.80	0.25	14.79	14.80	49768	793	0.06	          1.18	14.59	14.82	14.46	14.55	    76.66	73105288	  1.48	其他建材	深圳	2.47	14.69	18908	30859	  0.61	1180	198	--  	          4.20	
000062	深圳华强	-0.44	27.41	-0.12	27.41	27.42	16546	302	0.14	          0.25	27.46	27.50	27.10	27.53	    46.43	45278064	  0.66	商贸代理	深圳	1.45	27.36	10229	6317	  1.62	128	74	--  	          6.67	
000090	天健集团	-0.43	9.30	-0.04	9.30	9.31	72219	636	0.10	          0.93	9.34	9.36	9.23	9.34	    37.73	67046376	  1.34	建筑施工	深圳	1.39	9.28	33692	38527	  0.87	72	66	--  	          7.74	
000429	粤高速Ａ	-0.13	7.42	-0.01	7.41	7.42	41557	189	0.00	          0.89	7.43	7.46	7.32	7.43	    14.59	30689606	  0.59	路桥	广东	1.88	7.38	22242	19314	  1.15	368	225	--  	          4.69	
000507	珠海港	1.02	6.93	0.07	6.92	6.93	99624	1278	0.00	          1.29	6.84	6.93	6.81	6.86	    48.85	68639448	  0.42	港口	广东	1.75	6.89	42730	56894	  0.75	2886	1199	--  	          7.72	
000513	丽珠集团	2.15	54.73	1.15	54.73	54.74	22281	146	-0.01	          0.95	53.42	54.88	53.12	53.58	    28.42	121347856	  1.33	中成药	广东	3.28	54.46	9204	13077	  0.70	6	257	--  	          2.36	
000523	广州浪奇	1.22	11.59	0.14	11.58	11.59	39931	195	0.00	          0.90	11.45	11.65	11.35	11.45	   224.46	46036364	  0.68	日用化工	广东	2.62	11.53	17527	22404	  0.78	1532	460	--  	          4.46	
000529	广弘控股	0.55	10.91	0.06	10.90	10.91	35418	164	-0.09	          0.62	10.80	10.97	10.62	10.85	    60.66	38338180	  0.88	食品	广东	3.23	10.82	12899	22519	  0.57	177	409	--  	          5.67	
000532	力合股份	0.38	18.29	0.07	18.29	18.30	40054	759	0.16	          1.17	18.21	18.30	17.81	18.22	   158.27	72338856	  0.63	元器件	广东	2.69	18.06	21222	18832	  1.13	171	421	--  	          3.43	
000601	韶能股份	0.00	8.44	0.00	8.43	8.44	96015	1974	0.00	          0.89	8.43	8.45	8.33	8.44	    14.92	80518920	  0.75	水力发电	广东	1.42	8.39	59224	36790	  1.61	126	570	--  	         10.80	
000659	珠海中富	-2.61	6.35	-0.17	6.34	6.35	239647	5082	-0.15	          1.86	6.45	6.50	6.20	6.52	--  	151971104	  0.99	广告包装	广东	4.60	6.34	132296	107351	  1.23	429	376	--  	         12.86	
000893	东凌国际	-0.48	14.44	-0.07	14.44	14.45	40013	2260	0.00	          1.00	14.49	14.58	14.35	14.51	   447.74	57846160	  0.64	食品	广东	1.59	14.46	23499	16513	  1.42	58	1	--  	          4.01	
