代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000597	东北制药	0.64	10.94	0.07	10.94	10.95	61496	895	0.27	          1.40	10.85	10.98	10.74	10.87	   640.76	66806692	  0.74	化学制药	辽宁	2.21	10.86	32642	28854	  1.13	699	374	--  	          4.39	
000788	北大医药	0.67	13.48	0.09	13.47	13.48	15929	292	0.07	          0.29	13.34	13.49	13.32	13.39	   402.35	21379688	  0.52	化学制药	重庆	1.27	13.42	7962	7966	  1.00	50	54	--  	          5.59	
000952	广济药业	0.25	20.22	0.05	20.21	20.22	29804	352	0.09	          1.18	20.17	20.25	19.88	20.17	    35.88	59820088	  1.13	化学制药	湖北	1.83	20.07	18587	11216	  1.66	18	199	--  	          2.52	
002001	新 和 成	0.96	19.95	0.19	19.95	19.96	72813	3185	0.15	          0.68	19.75	19.95	19.58	19.76	    19.27	143959136	  0.89	化学制药	浙江	1.87	19.77	34948	37864	  0.92	322	273	--  	         10.73	
002019	亿帆医药	-0.42	16.73	-0.07	16.72	16.73	147763	1189	0.17	          2.64	16.81	16.84	16.35	16.80	    25.74	245106176	  1.02	化学制药	浙江	2.92	16.59	74919	72843	  1.03	149	209	--  	          5.60	
002332	仙琚制药	0.22	13.68	0.03	13.68	13.69	61957	339	0.00	          1.32	13.61	13.86	13.51	13.65	    62.29	84556040	  1.08	生物制药	浙江	2.56	13.65	31806	30150	  1.05	548	220	--  	          4.68	
002562	兄弟科技	1.13	14.35	0.16	14.35	14.36	105660	3431	0.27	          3.27	14.14	14.39	14.00	14.19	    46.34	150677536	  0.76	化工原料	浙江	2.75	14.26	51663	53997	  0.96	939	131	--  	          3.24	
002626	金达威	--  	15.11	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.11	    35.73	0	  0.00	食品	福建	0.00	15.11	0	0	--  	0	0	--  	          5.76	
300267	尔康制药	0.00	13.96	0.00	13.96	13.97	53916	157	-0.07	          0.47	13.82	14.07	13.82	13.96	    29.85	75438040	  1.30	化学制药	湖南	1.79	13.99	22234	31682	  0.70	337	191	--  	         11.45	
300401	花园生物	0.27	32.99	0.09	32.99	33.00	12033	153	0.00	          1.25	32.62	33.13	32.51	32.90	   136.72	39586624	  0.63	食品	浙江	1.88	32.90	5194	6838	  0.76	95	51	--  	          0.97	
600216	浙江医药	0.33	12.16	0.04	12.15	12.16	67869	121	0.00	          0.73	12.11	12.18	12.01	12.12	    21.68	82307832	  0.77	化学制药	浙江	1.40	12.13	32118	35750	  0.90	318	16	--  	          9.36	
600299	安迪苏	0.21	14.21	0.03	14.21	14.22	21751	10	-0.14	          0.38	14.10	14.27	14.02	14.18	    18.50	30787176	  0.91	化学制药	北京	1.76	14.15	9146	12604	  0.73	12	46	--  	          5.75	
600812	华北制药	0.32	6.22	0.02	6.21	6.22	39145	196	0.00	          0.28	6.20	6.22	6.15	6.20	   117.48	24230252	  0.90	化学制药	河北	1.13	6.19	22066	17079	  1.29	38	309	--  	         13.79	
数据来源:通达信
