代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000032	深桑达Ａ	--  	15.71	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.71	    87.17	0	  0.00	元器件	深圳	0.00	15.71	0	0	--  	0	0	--  	          2.79	
000055	方大集团	1.72	14.80	0.25	14.79	14.80	49768	793	0.06	          1.18	14.59	14.82	14.46	14.55	    76.66	73105288	  1.48	其他建材	深圳	2.47	14.69	18908	30859	  0.61	1180	198	--  	          4.20	
000541	佛山照明	0.10	10.51	0.01	10.50	10.51	72599	620	0.00	          0.74	10.54	10.58	10.33	10.50	    35.80	75995360	  0.57	家用电器	广东	2.38	10.47	38001	34597	  1.10	840	323	--  	          9.75	
000576	广东甘化	-0.13	15.74	-0.02	15.74	15.75	40197	273	0.12	          0.93	15.65	15.85	15.50	15.76	    68.07	63196484	  0.65	造纸	广东	2.22	15.72	20885	19312	  1.08	688	131	--  	          4.34	
000627	天茂集团	0.00	7.64	0.00	7.64	7.65	76914	1708	-0.13	          0.57	7.63	7.65	7.54	7.64	    28.96	58586504	  0.92	保险	湖北	1.44	7.62	43290	33623	  1.29	628	2720	--  	         13.54	
000701	厦门信达	-0.07	14.60	-0.01	14.59	14.60	61208	1561	-0.06	          1.72	14.56	14.65	14.47	14.61	    46.11	89260472	  1.00	综合类	福建	1.23	14.58	23866	37342	  0.64	1167	79264	--  	          3.57	
002005	德豪润达	2.56	6.00	0.15	5.99	6.00	399166	3071	0.16	          3.42	5.88	6.14	5.86	5.85	   340.19	240179696	  3.16	家用电器	广东	4.79	6.02	171807	227358	  0.76	1263	4585	--  	         11.66	
002076	雪 莱 特	4.14	13.85	0.55	13.84	13.85	75281	4010	0.50	          3.55	13.40	13.85	13.23	13.30	   103.76	102690536	  1.90	家用电器	广东	4.66	13.64	27074	48206	  0.56	693	1225	--  	          2.12	
002137	麦达数字	1.94	12.64	0.24	12.63	12.64	60809	2044	0.00	          1.28	12.41	12.68	12.23	12.40	    38.91	76117552	  0.95	元器件	深圳	3.63	12.52	24800	36009	  0.69	438	232	--  	          4.75	
002197	证通电子	0.83	15.82	0.13	15.82	15.83	28902	649	0.06	          0.85	15.73	15.83	15.58	15.69	   193.36	45486832	  0.78	电器仪表	深圳	1.59	15.74	13317	15584	  0.85	387	436	--  	          3.40	
002229	鸿博股份	1.26	22.44	0.28	22.44	22.45	41637	992	-0.04	          1.97	22.16	22.50	21.73	22.16	--  	92252624	  0.95	广告包装	福建	3.47	22.16	18092	23545	  0.77	435	230	--  	          2.12	
002241	歌尔股份	3.62	32.62	1.14	32.62	32.63	155813	567	0.09	          1.23	31.46	32.99	31.43	31.48	    36.04	506591232	  1.43	元器件	山东	4.96	32.51	56835	98977	  0.57	32	88	--  	         12.64	
002245	澳洋顺昌	0.10	10.36	0.01	10.35	10.36	172564	1381	0.19	          1.90	10.29	10.48	10.13	10.35	    49.18	178201600	  0.66	仓储物流	江苏	3.38	10.33	91462	81101	  1.13	541	358	--  	          9.09	
002384	东山精密	1.38	21.36	0.29	21.35	21.36	128713	2403	0.09	          2.33	20.92	21.36	20.37	21.07	    92.23	269338240	  1.23	通信设备	江苏	4.70	20.93	62676	66037	  0.95	153	845	--  	          5.52	
002402	和而泰	6.35	11.06	0.66	11.06	11.07	402556	4193	0.09	          6.65	10.45	11.35	10.34	10.40	    71.99	436566592	  2.73	元器件	深圳	9.71	10.84	159778	242778	  0.66	2024	608	--  	          6.06	
002429	兆驰股份	-0.37	10.75	-0.04	10.74	10.75	123030	1228	0.27	          0.77	10.82	10.87	10.67	10.79	    41.71	132211776	  0.76	家用电器	深圳	1.85	10.75	74017	49012	  1.51	291	604	--  	         15.89	
002449	国星光电	1.99	14.36	0.28	14.36	14.37	55824	497	0.00	          1.67	14.08	14.38	13.97	14.08	    39.14	79321672	  0.94	半导体	广东	2.91	14.21	25416	30407	  0.84	250	360	--  	          3.35	
002579	中京电子	-0.33	14.95	-0.05	14.95	14.96	122142	1522	0.13	          3.49	14.78	15.06	14.62	15.00	    44.03	181882560	  0.42	元器件	广东	2.93	14.89	64091	58050	  1.10	703	173	--  	          3.50	
002587	奥拓电子	-0.50	13.88	-0.07	13.88	13.89	114668	2555	-0.07	          4.82	13.86	13.92	13.68	13.95	    71.77	158250272	  1.29	元器件	深圳	1.72	13.80	67207	47460	  1.42	1161	521	--  	          2.38	
002638	勤上股份	--  	9.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.04	   209.77	0	  0.00	半导体	广东	0.00	9.04	0	0	--  	0	0	--  	          9.31	
002654	万润科技	0.17	11.53	0.02	11.52	11.53	40667	935	0.08	          1.04	11.48	11.55	11.33	11.51	    61.00	46548756	  0.74	半导体	深圳	1.91	11.45	17338	23329	  0.74	591	135	--  	          3.90	
002660	茂硕电源	0.54	13.09	0.07	13.09	13.10	57516	772	0.15	          3.00	12.99	13.22	12.82	13.02	   204.58	74939192	  0.77	电气设备	深圳	3.07	13.03	27075	30440	  0.89	11	651	--  	          1.92	
002723	金莱特	0.75	25.49	0.19	25.40	25.49	20907	451	0.43	          2.72	25.33	25.75	25.00	25.30	   661.89	52900532	  1.09	家用电器	广东	2.96	25.30	13497	7410	  1.82	3	118	--  	          0.77	
002745	木林森	--  	36.49	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	36.49	    46.04	0	  0.00	半导体	广东	0.00	36.49	0	0	--  	0	0	--  	          0.78	
300029	天龙光电	-0.14	13.80	-0.02	13.79	13.80	25087	500	0.21	          1.30	13.80	13.82	13.58	13.82	--  	34333196	  0.95	专用机械	江苏	1.74	13.69	13258	11828	  1.12	24	116	--  	          1.93	
300102	乾照光电	0.37	8.21	0.03	8.20	8.21	129210	3335	0.24	          2.12	8.18	8.25	8.11	8.18	   119.56	105840040	  0.79	半导体	福建	1.71	8.19	69546	59663	  1.17	764	1255	--  	          6.10	
300162	雷曼股份	0.21	14.30	0.03	14.30	14.31	28115	707	-0.06	          1.28	14.27	14.37	14.06	14.27	    91.33	39954596	  0.67	元器件	深圳	2.17	14.21	16553	11562	  1.43	256	103	--  	          2.19	
300219	鸿利智汇	1.28	13.40	0.17	13.39	13.40	57431	587	0.14	          1.07	13.24	13.60	13.17	13.23	    34.88	76876632	  0.72	元器件	广东	3.25	13.39	28021	29410	  0.95	562	405	--  	          5.36	
300232	洲明科技	2.73	14.28	0.38	14.28	14.29	76006	531	0.14	          2.05	13.85	14.30	13.68	13.90	    52.37	107147144	  1.26	半导体	深圳	4.46	14.10	36535	39471	  0.93	102	479	--  	          3.70	
