代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000008	神州高铁	1.17	8.67	0.10	8.67	8.68	91970	1337	0.00	          0.46	8.57	8.74	8.42	8.57	    84.21	78601520	  1.63	运输设备	北京	3.73	8.55	44883	47086	  0.95	525	1208	--  	         19.95	
000829	天音控股	--  	11.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.28	   132.17	0	  0.00	其他商业	江西	0.00	11.28	0	0	--  	0	0	--  	          9.47	
000835	长城动漫	-0.09	11.39	-0.01	11.39	11.40	37017	625	-0.17	          1.22	11.33	11.44	11.30	11.40	--  	42128444	  0.59	影视音像	四川	1.23	11.38	18629	18388	  1.01	219	21	--  	          3.03	
000851	高鸿股份	2.63	12.50	0.32	12.49	12.50	181052	2040	0.08	          3.48	12.18	12.55	12.07	12.18	   145.01	224786416	  1.39	软件服务	贵州	3.94	12.42	80118	100933	  0.79	1003	1849	--  	          5.20	
000979	中弘股份	--  	2.66	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	2.66	    74.11	0	  0.00	区域地产	安徽	0.00	2.66	0	0	--  	0	0	--  	         46.08	
002027	分众传媒	-0.60	11.63	-0.07	11.63	11.64	277595	2338	0.08	          0.78	11.73	11.73	11.50	11.70	    24.22	322380288	  1.01	软件服务	广东	1.97	11.61	160843	116752	  1.38	2886	1262	--  	         35.43	
002089	新 海 宜	0.86	15.19	0.13	15.18	15.19	61531	1606	0.13	          1.26	15.01	15.23	14.90	15.06	   122.78	93146160	  0.63	通信设备	江苏	2.19	15.14	27981	33549	  0.83	222	594	--  	          4.90	
002113	天润数娱	--  	18.81	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.81	   317.13	0	  0.00	互联网	湖南	0.00	18.81	0	0	--  	0	0	--  	          4.73	
002148	北纬通信	0.37	21.78	0.08	21.78	21.79	112848	1298	0.32	          5.63	21.64	22.31	21.56	21.70	    89.78	247743392	  1.12	互联网	北京	3.46	21.95	58554	54293	  1.08	181	44	--  	          2.01	
002174	游族网络	1.76	29.99	0.52	29.98	29.99	99122	1513	0.26	          3.22	29.37	30.10	28.90	29.47	    53.69	294730656	  1.13	互联网	福建	4.07	29.73	48767	50355	  0.97	44	418	--  	          3.08	
002181	粤 传 媒	-0.28	7.20	-0.02	7.20	7.21	26045	189	-0.13	          0.23	7.19	7.23	7.09	7.22	--  	18692818	  0.47	出版业	广东	1.94	7.18	14395	11649	  1.24	859	207	--  	         11.41	
002188	巴士在线	-0.11	28.15	-0.03	28.14	28.15	10502	173	-0.07	          0.61	28.20	28.25	27.80	28.18	   232.73	29434952	  0.84	广告包装	浙江	1.60	28.03	4477	6024	  0.74	91	157	--  	          1.71	
002229	鸿博股份	1.26	22.44	0.28	22.44	22.45	41637	992	-0.04	          1.97	22.16	22.50	21.73	22.16	--  	92252624	  0.95	广告包装	福建	3.47	22.16	18092	23545	  0.77	435	230	--  	          2.12	
002247	帝龙文化	0.00	16.81	0.00	16.81	16.82	27356	275	-0.05	          0.60	16.90	17.03	16.77	16.81	    41.65	46210008	  0.80	装修装饰	浙江	1.55	16.89	14232	13123	  1.08	202	8	--  	          4.54	
002261	拓维信息	-0.16	12.13	-0.02	12.13	12.14	60972	392	0.08	          0.82	12.17	12.19	12.00	12.15	    61.83	73817440	  0.61	互联网	湖南	1.56	12.11	33652	27319	  1.23	221	522	--  	          7.45	
002263	大 东 南	0.26	3.86	0.01	3.85	3.86	192579	4412	0.25	          1.06	3.83	3.86	3.80	3.85	--  	73857184	  0.73	塑料	浙江	1.56	3.84	99602	92976	  1.07	3550	8677	--  	         18.22	
002279	久其软件	1.00	18.12	0.18	18.12	18.13	49172	778	0.00	          2.45	17.98	18.18	17.00	17.94	    96.54	87955192	  0.59	软件服务	北京	6.58	17.89	26801	22370	  1.20	263	154	--  	          2.01	
002291	星期六	0.17	18.18	0.03	18.18	18.19	24480	186	-0.05	          0.67	18.29	18.29	18.05	18.15	   310.09	44510232	  0.80	服饰	广东	1.32	18.18	11489	12991	  0.88	16	134	--  	          3.63	
002292	奥飞娱乐	0.64	22.10	0.14	22.10	22.11	73120	1496	0.18	          1.01	21.91	22.16	21.60	21.96	    49.51	160087040	  0.72	影视音像	广东	2.55	21.89	32846	40273	  0.82	996	169	--  	          7.22	
002316	键桥通讯	--  	13.65	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.65	--  	0	  0.00	软件服务	深圳	0.00	13.65	0	0	--  	0	0	--  	          3.15	
002343	慈文传媒	2.03	41.12	0.82	41.12	41.13	15912	179	-0.04	          0.72	40.28	41.24	39.96	40.30	    66.45	64835180	  0.92	影视音像	浙江	3.18	40.75	8660	7252	  1.19	33	2	--  	          2.20	
002348	高乐股份	1.52	8.04	0.12	8.04	8.05	149913	3112	0.00	          2.03	7.86	8.16	7.86	7.92	   151.15	120517320	  1.15	文教休闲	广东	3.79	8.04	68946	80966	  0.85	203	2908	--  	          7.39	
002354	天神娱乐	-0.04	70.32	-0.03	70.09	70.32	26951	377	0.35	          1.77	70.31	70.67	69.08	70.35	    45.50	188218000	  1.54	互联网	辽宁	2.26	69.84	12459	14491	  0.86	15	108	--  	          1.52	
002359	齐星铁塔	0.40	27.52	0.11	27.52	27.54	44090	176	0.03	          1.06	27.50	27.80	27.35	27.41	--  	121282976	  0.91	钢加工	山东	1.64	27.51	22336	21754	  1.03	8	32	--  	          4.17	
002416	爱施德	4.25	13.74	0.56	13.73	13.74	123859	4692	0.14	          1.28	13.21	13.74	13.18	13.18	    75.59	167523632	  1.99	电器连锁	深圳	4.25	13.53	35865	87993	  0.41	1134	103	--  	          9.71	
002425	凯撒文化	0.10	20.25	0.02	20.24	20.25	46254	779	0.14	          2.26	20.12	20.26	19.98	20.23	    87.06	93090328	  0.86	服饰	广东	1.38	20.13	23177	23077	  1.00	504	35	--  	          2.05	
002445	中南文化	-0.43	16.12	-0.07	16.11	16.12	36965	326	0.00	          0.58	16.10	16.15	15.78	16.19	    73.94	59113236	  0.82	影视音像	江苏	2.29	15.99	23459	13505	  1.74	61	89	--  	          6.35	
002447	壹桥股份	-0.11	9.37	-0.01	9.36	9.37	92532	1220	0.10	          1.59	9.29	9.45	9.28	9.38	    50.91	86464840	  0.87	渔业	辽宁	1.81	9.34	54051	38480	  1.40	501	410	--  	          5.80	
002464	金利科技	--  	69.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	69.00	    95.85	0	  0.00	互联网	江苏	0.00	69.00	0	0	--  	0	0	--  	          1.46	
002486	嘉麟杰	--  	8.64	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.64	--  	0	  0.00	服饰	上海	0.00	8.64	0	0	--  	0	0	--  	          8.07	
