代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000062	深圳华强	-0.44	27.41	-0.12	27.41	27.42	16546	302	0.14	          0.25	27.46	27.50	27.10	27.53	    46.43	45278064	  0.66	商贸代理	深圳	1.45	27.36	10229	6317	  1.62	128	74	--  	          6.67	
000609	绵石投资	-1.04	19.89	-0.21	19.89	19.90	35988	781	0.25	          1.35	20.05	20.09	19.50	20.10	    35.49	71383256	  0.38	区域地产	北京	2.94	19.84	20509	15478	  1.33	417	133	--  	          2.66	
002055	得润电子	4.71	24.01	1.08	24.01	24.02	130972	2279	0.00	          3.25	23.02	24.10	23.02	22.93	   106.05	311023744	  1.27	元器件	深圳	4.71	23.75	51545	79426	  0.65	139	333	--  	          4.03	
002095	生 意 宝	-0.33	42.60	-0.14	42.59	42.60	26300	801	0.02	          1.05	42.80	42.80	42.08	42.74	   503.03	111614136	  0.69	互联网	浙江	1.68	42.44	13472	12828	  1.05	22	287	--  	          2.52	
002154	报 喜 鸟	-1.80	4.92	-0.09	4.92	4.93	227298	6443	0.00	          2.13	4.94	4.95	4.87	5.01	--  	111818120	  1.54	服饰	浙江	1.60	4.92	112680	114617	  0.98	4834	1483	--  	         10.66	
002215	诺 普 信	-0.99	11.04	-0.11	11.04	11.05	88612	588	0.00	          1.27	11.13	11.13	10.90	11.15	--  	97575288	  1.03	农药化肥	深圳	2.06	11.01	49452	39160	  1.26	515	604	--  	          6.95	
002285	世联行	0.63	7.96	0.05	7.96	7.97	149880	349	-0.12	          0.88	7.91	7.97	7.79	7.91	    32.16	118153024	  0.92	房产服务	深圳	2.28	7.88	83025	66855	  1.24	1696	380	--  	         16.97	
002329	皇氏集团	-0.14	14.10	-0.02	14.10	14.11	154378	1797	-0.07	          3.19	14.14	14.15	13.86	14.12	    66.77	216328848	  0.44	乳制品	广西	2.05	14.01	78486	75891	  1.03	1030	303	--  	          4.84	
002356	赫美集团	0.66	26.10	0.17	26.09	26.10	15575	263	0.11	          0.65	25.96	26.30	25.63	25.93	    46.59	40531964	  1.18	服饰	深圳	2.58	26.02	7695	7880	  0.98	194	50	--  	          2.40	
002569	步森股份	-0.53	56.08	-0.30	56.04	56.08	12136	147	0.28	          0.88	56.50	56.50	55.08	56.38	--  	67623800	  1.30	服饰	浙江	2.52	55.72	5268	6867	  0.77	1	120	--  	          1.37	
002600	江粉磁材	--  	11.46	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.46	    60.71	0	  0.00	元器件	广东	0.00	11.46	0	0	--  	0	0	--  	          5.13	
002638	勤上股份	--  	9.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.04	   209.77	0	  0.00	半导体	广东	0.00	9.04	0	0	--  	0	0	--  	          9.31	
300079	数码视讯	0.00	7.10	0.00	7.09	7.10	147932	1205	0.14	          1.22	7.10	7.12	7.01	7.10	    50.59	104327904	  1.04	通信设备	北京	1.55	7.05	86972	60959	  1.43	2230	2707	--  	         12.08	
300178	腾邦国际	0.24	16.42	0.04	16.42	16.43	35121	476	0.00	          0.66	16.36	16.51	16.16	16.38	    55.40	57428148	  0.86	旅游服务	深圳	2.14	16.35	15130	19991	  0.76	99	46	--  	          5.28	
300226	上海钢联	-0.02	41.39	-0.01	41.36	41.40	22337	306	-0.04	          1.51	41.25	41.59	40.54	41.40	   309.01	91828240	  0.96	互联网	上海	2.54	41.11	10908	11429	  0.95	3	146	--  	          1.48	
300295	三六五网	0.64	26.63	0.17	26.62	26.63	26794	706	0.00	          1.54	26.41	26.65	26.05	26.46	    42.61	70659512	  0.60	互联网	江苏	2.27	26.37	14066	12727	  1.11	139	222	--  	          1.74	
300332	天壕环境	0.66	9.12	0.06	9.12	9.13	101165	346	0.10	          1.60	9.04	9.20	9.00	9.06	    70.66	92002496	  1.22	环境保护	北京	2.21	9.09	48340	52824	  0.92	197	78	--  	          6.34	
600067	冠城大通	1.11	7.28	0.08	7.27	7.28	78948	1	0.00	          0.53	7.19	7.28	7.13	7.20	    32.81	57101516	  0.90	全国地产	福建	2.08	7.23	37806	41142	  0.92	254	1111	--  	         14.92	
600260	凯乐科技	3.28	20.48	0.65	20.48	20.49	206663	2	-0.38	          3.88	19.78	20.65	19.69	19.83	    90.72	419938912	  1.33	通信设备	湖北	4.84	20.32	94862	111801	  0.85	18	5	--  	          5.33	
600318	新力金融	1.47	31.82	0.46	31.80	31.83	48039	10	-0.06	          1.99	31.20	32.19	31.13	31.36	    47.34	152609296	  1.08	多元金融	安徽	3.38	31.77	20113	27926	  0.72	994	65	--  	          2.42	
600576	万家文化	0.26	15.62	0.04	15.62	15.63	292020	11	0.06	          6.09	15.47	15.84	15.14	15.58	   106.97	452574848	  1.12	影视音像	浙江	4.49	15.50	152059	139960	  1.09	115	390	--  	          4.80	
600588	用友网络	0.26	19.27	0.05	19.25	19.29	44671	2	-0.10	          0.31	19.31	19.36	19.02	19.22	--  	85825168	  0.62	软件服务	北京	1.77	19.21	21979	22692	  0.97	16	42	--  	         14.60	
600599	熊猫金控	0.41	29.45	0.12	29.44	29.45	52506	2	-0.06	          3.16	29.33	29.50	28.73	29.33	--  	152677024	  0.56	多元金融	湖南	2.63	29.08	26181	26324	  0.99	92	81	--  	          1.66	
600696	匹凸匹	0.00	10.98	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	10.98	--  	0	  0.00	区域地产	上海	0.00	10.98	0	0	--  	0	0	--  	          3.41	
600790	轻纺城	1.42	7.13	0.10	7.13	7.14	100833	50	-0.27	          0.96	7.07	7.15	7.03	7.03	    20.22	71544096	  0.96	商品城	浙江	1.71	7.10	40945	59887	  0.68	296	4182	--  	         10.47	
数据来源:通达信
