代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000401	冀东水泥	1.84	13.84	0.25	13.83	13.84	199943	2658	0.07	          1.48	13.59	13.87	13.40	13.59	--  	274311936	  1.18	水泥	河北	3.46	13.72	88017	111926	  0.79	94	4135	--  	         13.47	
000528	柳 工	0.33	9.10	0.03	9.09	9.10	254665	2252	0.11	          2.26	9.09	9.23	9.02	9.07	  1221.14	232960640	  1.10	工程机械	广西	2.32	9.15	109740	144925	  0.76	376	2266	--  	         11.25	
000546	金圆股份	-1.12	12.33	-0.14	12.32	12.33	147217	2574	0.16	          5.38	12.43	12.44	12.06	12.47	    24.66	180584320	  0.61	水泥	吉林	3.05	12.27	81321	65896	  1.23	827	1283	--  	          2.74	
000607	华媒控股	0.20	10.17	0.02	10.17	10.18	99210	2019	0.19	          2.04	10.13	10.18	10.01	10.15	    61.10	100232560	  0.53	广告包装	浙江	1.67	10.10	57569	41641	  1.38	2697	650	--  	          4.87	
000721	西安饮食	0.35	8.70	0.03	8.69	8.70	62167	1884	0.11	          1.43	8.65	8.70	8.55	8.67	   178.62	53720644	  0.91	酒店餐饮	陕西	1.73	8.64	31576	30590	  1.03	457	515	--  	          4.36	
000735	罗 牛 山	-0.42	7.11	-0.03	7.11	7.12	114422	1429	-0.14	          1.30	7.11	7.13	7.01	7.14	    76.65	80903072	  0.46	农业综合	海南	1.68	7.07	68815	45606	  1.51	1969	1391	--  	          8.79	
000812	陕西金叶	-4.93	12.92	-0.67	12.92	12.93	196115	3286	-0.23	          4.39	13.46	13.50	12.60	13.59	   201.31	254311088	  0.79	广告包装	陕西	6.62	12.97	118208	77907	  1.52	1856	290	--  	          4.46	
002031	巨轮智能	0.29	3.41	0.01	3.40	3.41	157711	1698	0.00	          0.84	3.39	3.43	3.37	3.40	   210.22	53651224	  0.41	汽车配件	广东	1.76	3.40	72858	84853	  0.86	6314	111	--  	         18.72	
002073	软控股份	0.95	10.65	0.10	10.64	10.65	42608	461	0.09	          0.68	10.54	10.69	10.51	10.55	--  	45255732	  0.86	软件服务	山东	1.71	10.62	20221	22386	  0.90	557	402	--  	          6.26	
002093	国脉科技	-1.42	11.08	-0.16	11.07	11.08	192673	4074	0.00	          2.26	11.52	11.53	10.99	11.24	   164.60	215019456	  1.85	电信运营	福建	4.80	11.16	85960	106712	  0.81	1495	890	--  	          8.52	
002194	武汉凡谷	0.08	12.99	0.01	12.98	12.99	45820	761	0.07	          1.05	12.90	13.04	12.74	12.98	--  	59111940	  0.59	通信设备	湖北	2.31	12.90	24846	20974	  1.18	228	108	--  	          4.37	
002237	恒邦股份	1.70	11.37	0.19	11.37	11.38	123742	1521	0.08	          1.52	11.15	11.40	11.12	11.18	    39.85	140165104	  1.52	黄金	山东	2.50	11.33	54294	69448	  0.78	402	1259	--  	          8.16	
002325	洪涛股份	-0.67	7.42	-0.05	7.42	7.43	160073	661	0.00	          1.74	7.48	7.49	7.28	7.47	    31.85	118081632	  1.61	装修装饰	深圳	2.81	7.38	72104	87969	  0.82	822	2819	--  	          9.22	
002431	棕榈股份	-0.11	9.08	-0.01	9.08	9.09	157084	812	0.00	          1.74	9.07	9.10	8.93	9.09	   110.45	141536544	  1.06	建筑施工	广东	1.87	9.01	79093	77990	  1.01	3652	9942	--  	          9.04	
002588	史丹利	-0.28	10.68	-0.03	10.68	10.69	52961	352	0.00	          0.74	10.72	10.72	10.53	10.71	    20.17	56262468	  0.97	农药化肥	山东	1.77	10.62	32118	20843	  1.54	435	643	--  	          7.11	
002638	勤上股份	--  	9.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.04	   209.77	0	  0.00	半导体	广东	0.00	9.04	0	0	--  	0	0	--  	          9.31	
002682	龙洲股份	1.30	14.01	0.18	14.00	14.01	27956	493	0.21	          1.06	13.76	14.03	13.75	13.83	    96.22	38927420	  0.78	公路	福建	2.02	13.92	11445	16510	  0.69	29	160	--  	          2.63	
300047	天源迪科	1.86	16.41	0.30	16.41	16.42	68345	1013	0.06	          2.61	16.05	16.45	16.04	16.11	   182.87	111275656	  0.72	软件服务	深圳	2.55	16.28	32504	35841	  0.91	54	579	--  	          2.62	
300050	世纪鼎利	-0.24	12.47	-0.03	12.47	12.48	52373	521	0.16	          1.60	12.56	12.57	12.38	12.50	    51.87	65275332	  0.70	软件服务	广东	1.52	12.46	33532	18841	  1.78	33	60	--  	          3.28	
300061	康耐特	0.52	23.11	0.12	23.10	23.11	20682	84	0.04	          1.42	22.83	23.25	22.38	22.99	   210.52	47314144	  1.15	医疗保健	上海	3.78	22.88	12644	8037	  1.57	7	3	--  	          1.45	
300089	文化长城	2.17	16.00	0.34	16.00	16.01	29435	1174	0.00	          1.18	15.66	16.00	15.44	15.66	    47.66	46484980	  1.05	陶瓷	广东	3.58	15.79	14358	15077	  0.95	111	543	--  	          2.49	
300148	天舟文化	--  	20.29	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.29	    86.12	0	  0.00	出版业	湖南	0.00	20.29	0	0	--  	0	0	--  	          5.06	
300248	新开普	-0.40	22.30	-0.09	22.30	22.31	36407	1045	-0.04	          1.98	22.33	22.35	21.90	22.39	   175.37	80597096	  0.68	软件服务	河南	2.01	22.14	17859	18547	  0.96	755	98	--  	          1.84	
300297	蓝盾股份	-0.23	13.03	-0.03	13.03	13.04	71508	1535	0.07	          1.11	12.98	13.06	12.80	13.06	    80.53	92725608	  0.94	软件服务	广东	1.99	12.97	38031	33477	  1.14	49	284	--  	          6.46	
300338	开元仪器	-0.22	22.96	-0.05	22.96	22.97	10576	81	0.30	          0.63	22.81	23.45	22.78	23.01	   629.07	24406640	  1.22	电器仪表	湖南	2.91	23.08	6176	4400	  1.40	41	55	--  	          1.68	
600325	华发股份	2.85	13.72	0.38	13.70	13.72	233749	92	0.07	          2.20	13.30	13.78	13.30	13.34	    31.68	317926048	  2.60	区域地产	广东	3.60	13.60	91445	142303	  0.64	315	10	--  	         10.63	
600418	江淮汽车	1.29	11.78	0.15	11.77	11.78	108919	8	0.17	          1.07	11.61	11.80	11.56	11.63	    20.46	127440768	  0.90	汽车整车	安徽	2.06	11.70	45053	63866	  0.71	128	649	--  	         10.17	
600551	时代出版	0.00	20.32	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	20.32	    25.53	0	  0.00	出版业	安徽	0.00	20.32	0	0	--  	0	0	--  	          5.06	
600661	新南洋	0.76	27.89	0.21	27.90	27.91	15281	19	-0.07	          0.84	27.69	27.99	27.50	27.68	    41.63	42528528	  0.87	文教休闲	上海	1.77	27.83	6705	8575	  0.78	9	64	--  	          1.81	
600712	南宁百货	-1.15	10.35	-0.12	10.34	10.35	38375	20	0.00	          0.71	10.40	10.45	10.29	10.47	--  	39674008	  0.82	百货	广西	1.53	10.34	20042	18333	  1.09	2333	49	--  	          5.38	
600730	中国高科	0.50	12.06	0.06	12.05	12.06	52460	21	0.08	          0.89	12.03	12.07	11.88	12.00	     8.33	62894648	  0.79	综合类	北京	1.58	11.99	26376	26083	  1.01	475	353	--  	          5.87	
数据来源:通达信
