代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000584	友利控股	--  	11.85	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.85	--  	0	  0.00	化纤	江苏	0.00	11.85	0	0	--  	0	0	--  	          6.11	
000611	*ST天首	--  	10.05	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.05	--  	0	  0.00	纺织	内蒙	0.00	10.05	0	0	--  	0	0	--  	          3.19	
000755	山西三维	1.11	8.21	0.09	8.21	8.22	57064	1149	0.24	          1.22	8.11	8.22	8.00	8.12	--  	46253672	  1.00	化工原料	山西	2.71	8.11	24833	32230	  0.77	279	871	--  	          4.69	
000818	方大化工	-0.52	13.52	-0.07	13.51	13.52	80304	1415	0.37	          1.16	13.50	13.60	13.33	13.59	   168.83	108071560	  0.65	化工原料	辽宁	1.99	13.46	41925	38378	  1.09	35	1560	--  	          6.91	
000912	泸天化	--  	13.22	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	13.22	--  	0	  0.00	农药化肥	四川	0.00	13.22	0	0	--  	0	0	--  	          5.85	
000949	新乡化纤	0.80	6.30	0.05	6.29	6.30	96899	2041	0.15	          0.94	6.25	6.33	6.25	6.25	    54.36	60972932	  1.28	化纤	河南	1.28	6.29	41389	55509	  0.75	372	4690	--  	         10.27	
000973	佛塑科技	2.25	9.07	0.20	9.07	9.08	1197242	16813	0.11	         12.38	8.71	9.30	8.61	8.87	   124.55	1080684160	  0.83	塑料	广东	7.78	9.03	576771	620471	  0.93	5086	3757	--  	          9.67	
002014	永新股份	1.30	16.36	0.21	16.35	16.36	17599	241	0.18	          0.76	16.13	16.40	16.03	16.15	    27.10	28568972	  0.85	塑料	安徽	2.29	16.23	7848	9750	  0.80	971	3	--  	          2.30	
002061	*ST江化	--  	8.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.96	    75.10	0	  0.00	化工原料	浙江	0.00	8.96	0	0	--  	0	0	--  	          4.53	
002064	华峰氨纶	1.62	5.65	0.09	5.64	5.65	170535	2140	0.17	          1.13	5.60	5.73	5.54	5.56	--  	96572952	  0.81	化纤	浙江	3.42	5.66	74492	96042	  0.78	632	2171	--  	         15.13	
