代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000400	许继电气	0.97	17.65	0.17	17.65	17.66	33942	503	0.05	          0.46	17.42	17.69	17.42	17.48	    54.56	59623092	  0.89	电气设备	河南	1.54	17.57	12016	21926	  0.55	66	246	--  	          7.37	
000820	神雾节能	-0.39	38.10	-0.15	38.09	38.10	50023	1330	-0.05	          2.26	38.69	39.19	37.83	38.25	   121.09	191305040	  0.83	环境保护	辽宁	3.56	38.24	27452	22571	  1.22	10	86	--  	          2.21	
000970	中科三环	0.85	14.31	0.12	14.31	14.32	112131	1265	0.00	          1.05	14.16	14.36	13.97	14.19	    49.39	159813680	  0.67	元器件	北京	2.75	14.25	51963	60167	  0.86	127	1584	--  	         10.65	
000973	佛塑科技	2.25	9.07	0.20	9.07	9.08	1197242	16813	0.11	         12.38	8.71	9.30	8.61	8.87	   124.55	1080684160	  0.83	塑料	广东	7.78	9.03	576771	620471	  0.93	5086	3757	--  	          9.67	
002011	盾安环境	0.32	9.55	0.03	9.54	9.55	27490	192	-0.10	          0.33	9.53	9.57	9.43	9.52	   115.74	26167094	  0.61	工程机械	浙江	1.47	9.52	13365	14124	  0.95	271	79	--  	          8.40	
002088	鲁阳节能	-0.16	18.60	-0.03	18.60	18.62	14513	126	0.10	          1.06	18.63	18.73	18.37	18.63	    51.06	26976292	  0.66	矿物制品	山东	1.93	18.59	7765	6748	  1.15	120	102	--  	          1.37	
002121	科陆电子	-0.33	9.15	-0.03	9.14	9.15	48467	1115	0.00	          0.69	9.20	9.20	9.07	9.18	   117.01	44213000	  0.78	电器仪表	深圳	1.42	9.12	30582	17884	  1.71	859	177	--  	          7.01	
002123	梦网荣信	0.74	15.01	0.11	15.00	15.01	46551	430	0.06	          0.76	14.90	15.02	14.79	14.90	    57.54	69485040	  0.67	互联网	辽宁	1.54	14.93	22563	23988	  0.94	440	115	--  	          6.11	
002139	拓邦股份	2.86	14.38	0.40	14.37	14.38	99772	2456	0.06	          3.45	13.96	14.38	13.82	13.98	    46.49	141763648	  1.41	元器件	深圳	4.01	14.21	40070	59701	  0.67	1133	298	--  	          2.89	
002169	智光电气	-0.58	20.65	-0.12	20.65	20.66	103772	1872	0.09	          4.13	20.74	20.74	20.25	20.77	    67.37	212935968	  0.66	电气设备	广东	2.36	20.52	58498	45274	  1.29	588	236	--  	          2.51	
002178	延华智能	0.71	11.31	0.08	11.30	11.31	142920	2002	-0.17	          2.49	11.16	11.45	11.14	11.23	   155.79	161360496	  1.17	建筑施工	上海	2.76	11.29	50746	92173	  0.55	314	1578	--  	          5.74	
002205	国统股份	0.75	30.95	0.23	30.94	30.95	28512	335	0.03	          2.45	30.78	31.00	30.18	30.72	--  	87194976	  1.24	其他建材	新疆	2.67	30.58	15643	12869	  1.22	102	56	--  	          1.16	
002256	兆新股份	-0.62	6.37	-0.04	6.37	6.38	108308	1293	0.00	          0.86	6.42	6.42	6.33	6.41	    99.00	68929424	  0.67	染料涂料	深圳	1.40	6.36	66136	42171	  1.57	214	2598	--  	         12.53	
002334	英威腾	1.07	8.47	0.09	8.46	8.47	81554	1366	0.11	          1.52	8.35	8.47	8.28	8.38	    81.19	68322976	  0.60	电气设备	深圳	2.27	8.38	43854	37699	  1.16	1153	2005	--  	          5.38	
002335	科华恒盛	--  	42.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	42.90	    87.58	0	  0.00	电气设备	福建	0.00	42.90	0	0	--  	0	0	--  	          1.86	
