代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000012	南 玻Ａ	0.80	11.35	0.09	11.35	11.36	136958	1537	0.00	          1.05	11.24	11.36	11.11	11.26	    24.71	154130288	  0.79	玻璃	深圳	2.22	11.25	60849	76108	  0.80	828	1731	--  	         13.04	
000049	德赛电池	9.99	51.19	4.65	51.19	--  	103259	118	0.00	          5.03	47.30	51.19	47.30	46.54	    59.09	513457216	  3.10	电气设备	深圳	8.36	49.73	53099	50160	  1.06	14896	0	--  	          2.05	
000050	深天马Ａ	--  	18.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.82	    46.33	0	  0.00	元器件	深圳	0.00	18.82	0	0	--  	0	0	--  	         12.12	
000823	超声电子	5.87	14.42	0.80	14.42	14.43	271893	7910	0.27	          5.06	13.58	14.43	13.36	13.62	    51.73	382096928	  1.66	元器件	广东	7.86	14.05	108094	163798	  0.66	1370	1030	--  	          5.37	
000825	太钢不锈	1.23	4.93	0.06	4.92	4.93	488516	18776	0.00	          0.86	4.88	4.93	4.79	4.87	    25.01	237969616	  0.90	特种钢	山西	2.87	4.87	242302	246213	  0.98	8724	1610	--  	         56.96	
000829	天音控股	--  	11.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.28	   132.17	0	  0.00	其他商业	江西	0.00	11.28	0	0	--  	0	0	--  	          9.47	
002008	大族激光	4.29	26.28	1.08	26.28	26.29	233238	2237	0.15	          2.36	25.21	26.52	25.16	25.20	    33.20	607490112	  1.27	电器仪表	深圳	5.40	26.05	102167	131071	  0.78	682	436	--  	          9.90	
002024	苏宁云商	0.36	11.03	0.04	11.03	11.04	247861	1835	0.00	          0.49	10.99	11.07	10.91	10.99	--  	272784192	  1.00	电器连锁	江苏	1.46	11.01	117866	129994	  0.91	3013	3433	--  	         50.18	
002056	横店东磁	1.45	14.71	0.21	14.71	14.72	127883	1852	0.13	          1.56	14.49	14.74	14.24	14.50	    29.29	186021648	  1.12	元器件	浙江	3.45	14.55	59071	68812	  0.86	106	595	--  	          8.22	
002079	苏州固锝	2.84	9.40	0.26	9.39	9.40	139144	3810	0.10	          1.92	9.14	9.41	9.07	9.14	    64.31	129617120	  1.52	半导体	江苏	3.72	9.32	53175	85969	  0.62	880	3940	--  	          7.26	
002106	莱宝高科	1.58	12.88	0.20	12.87	12.88	247165	3545	0.07	          3.51	12.55	13.00	12.45	12.68	    58.77	316824128	  1.44	元器件	深圳	4.34	12.82	122087	125077	  0.98	1151	1972	--  	          7.04	
002182	云海金属	3.73	20.85	0.75	20.85	20.86	102651	2039	0.04	          4.66	20.10	20.88	19.96	20.10	    43.13	210758848	  0.94	小金属	江苏	4.58	20.53	45716	56935	  0.80	1059	148	--  	          2.20	
002202	金风科技	0.61	16.40	0.10	16.40	16.41	89447	516	0.00	          0.41	16.30	16.43	16.26	16.30	    15.72	146274704	  0.99	电气设备	新疆	1.04	16.35	49208	40239	  1.22	1439	1043	--  	         21.58	
002241	歌尔股份	3.62	32.62	1.14	32.62	32.63	155813	567	0.09	          1.23	31.46	32.99	31.43	31.48	    36.04	506591232	  1.43	元器件	山东	4.96	32.51	56835	98977	  0.57	32	88	--  	         12.64	
002273	水晶光电	3.20	22.27	0.69	22.27	22.28	183297	1111	0.04	          3.00	21.58	22.33	21.40	21.58	    65.26	403571840	  0.93	元器件	浙江	4.31	22.02	76144	107152	  0.71	555	565	--  	          6.10	
002289	*ST宇顺	-1.00	24.65	-0.25	24.65	24.69	13346	322	-0.24	          0.91	24.78	24.90	24.60	24.90	--  	32942714	  0.41	元器件	深圳	1.20	24.68	7951	5395	  1.47	18	27	--  	          1.47	
002333	罗普斯金	0.06	16.88	0.01	16.87	16.88	22581	278	-0.05	          0.47	16.87	16.96	16.70	16.87	    46.31	37969176	  0.44	铝	江苏	1.54	16.81	12000	10580	  1.13	120	5	--  	          4.85	
002341	新纶科技	0.55	18.40	0.10	18.39	18.40	61656	586	0.05	          2.13	18.20	18.59	18.15	18.30	   134.68	113466192	  0.92	化工原料	深圳	2.40	18.40	37578	24077	  1.56	163	952	--  	          2.90	
002416	爱施德	4.25	13.74	0.56	13.73	13.74	123859	4692	0.14	          1.28	13.21	13.74	13.18	13.18	    75.59	167523632	  1.99	电器连锁	深圳	4.25	13.53	35865	87993	  0.41	1134	103	--  	          9.71	
002432	九安医疗	-0.33	15.23	-0.05	15.23	15.24	28729	531	0.13	          0.77	15.35	15.39	15.04	15.28	--  	43675832	  0.87	医疗保健	天津	2.29	15.20	16981	11748	  1.45	261	128	--  	          3.72	
002456	欧菲光	4.62	36.03	1.59	36.02	36.03	317444	2829	0.00	          3.09	34.30	36.28	34.10	34.44	    51.79	1128560384	  2.66	元器件	深圳	6.33	35.55	123970	193473	  0.64	118	157	--  	         10.28	
002475	立讯精密	1.09	23.18	0.25	23.17	23.18	104795	620	-0.04	          0.56	22.99	23.84	22.79	22.93	    54.15	244878816	  1.17	元器件	深圳	4.58	23.37	49217	55578	  0.89	179	33	--  	         18.74	
002501	利源精制	1.57	12.30	0.19	12.29	12.30	161191	2691	0.24	          2.39	12.11	12.37	11.99	12.11	    26.93	197030096	  0.85	铝	吉林	3.14	12.22	59577	101614	  0.59	1077	424	--  	          6.75	
002594	比亚迪	-0.70	49.84	-0.35	49.83	49.84	64984	790	-0.08	          0.77	49.98	49.98	49.07	50.19	    27.83	323000224	  1.18	汽车整车	深圳	1.81	49.70	37028	27956	  1.32	110	118	--  	          8.40	
002635	安洁科技	4.24	40.56	1.65	40.55	40.56	95404	711	0.44	          4.51	38.88	41.09	37.92	38.91	    44.29	379724800	  1.71	电脑设备	江苏	8.15	39.80	38372	57031	  0.67	15	37	--  	          2.12	
002655	共达电声	-0.44	13.49	-0.06	13.49	13.50	98225	940	0.00	          2.73	13.40	13.66	13.37	13.55	   269.68	132701288	  0.69	元器件	山东	2.14	13.51	51352	46873	  1.10	62	318	--  	          3.60	
002681	奋达科技	--  	12.93	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.93	    50.26	0	  0.00	家用电器	深圳	0.00	12.93	0	0	--  	0	0	--  	          6.01	
300104	乐视网	-0.56	31.71	-0.18	31.70	31.71	194274	3280	0.00	          1.54	31.88	31.93	31.31	31.89	    95.60	615270144	  0.72	互联网	北京	1.94	31.67	101120	93154	  1.09	931	149	--  	         12.62	
300115	长盈精密	3.14	29.21	0.89	29.21	29.22	90012	475	-0.03	          1.00	28.59	29.55	28.21	28.32	    40.43	261414976	  1.55	元器件	深圳	4.73	29.04	35619	54393	  0.65	476	33	--  	          8.98	
300128	锦富技术	3.32	21.16	0.68	21.16	21.17	154235	1274	0.04	          4.75	20.51	21.56	20.20	20.48	   265.57	322876992	  0.70	元器件	江苏	6.64	20.93	69579	84655	  0.82	589	227	--  	          3.25	
300136	信维通信	2.95	33.16	0.95	33.15	33.16	105834	1740	0.54	          1.47	31.97	33.20	31.84	32.21	    70.42	346169632	  0.86	通信设备	深圳	4.22	32.71	47708	58126	  0.82	95	225	--  	          7.22	
300151	昌红科技	1.55	11.83	0.18	11.83	11.84	87046	674	0.00	          3.06	11.74	12.12	11.56	11.65	   153.26	103392184	  1.14	机械基件	深圳	4.81	11.88	42782	44263	  0.97	207	202	--  	          2.84	
300433	蓝思科技	3.35	31.47	1.02	31.47	31.48	56905	1653	0.31	          2.77	30.45	31.47	30.40	30.45	    64.80	176931840	  0.84	元器件	湖南	3.51	31.09	28920	27985	  1.03	100	132	--  	          2.06	
600050	中国联通	-4.76	7.41	-0.37	7.42	7.43	4266655	25	-0.13	          2.01	7.73	7.74	7.35	7.78	   241.02	3198445312	  1.11	电信运营	上海	5.01	7.50	2170027	2096627	  1.04	1966	5753	--  	        211.97	
600143	金发科技	0.00	7.74	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	7.74	    25.57	0	  0.00	塑料	广东	0.00	7.74	0	0	--  	0	0	--  	         25.60	
600237	铜峰电子	2.72	7.94	0.21	7.94	7.95	159851	13	0.50	          2.83	7.73	8.00	7.55	7.73	--  	124287728	  1.91	元器件	安徽	5.82	7.78	71604	88246	  0.81	169	446	--  	          5.64	
600880	博瑞传播	1.66	8.57	0.14	8.56	8.57	173659	32	0.11	          2.37	8.45	8.57	8.44	8.43	   155.81	147949232	  0.94	广告包装	四川	1.54	8.52	68922	104737	  0.66	180	444	--  	          7.32	
601231	环旭电子	1.59	10.87	0.17	10.85	10.87	95085	64	0.18	          0.44	10.75	10.92	10.57	10.70	    33.40	102812368	  1.90	元器件	上海	3.27	10.81	43700	51384	  0.85	20	108	--  	         21.76	
数据来源:通达信
