代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000407	胜利股份	--  	10.08	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.08	   341.19	0	  0.00	供气供热	山东	0.00	10.08	0	0	--  	0	0	--  	          6.66	
000525	红 太 阳	1.10	19.32	0.21	19.32	19.33	45261	682	-0.05	          0.89	19.18	19.50	19.01	19.11	   216.50	87131064	  0.66	农药化肥	江苏	2.56	19.25	22208	23052	  0.96	39	45	--  	          5.07	
000553	沙隆达Ａ	1.63	14.95	0.24	14.95	14.96	64942	1075	0.00	          1.78	14.60	15.07	14.50	14.71	   324.85	96545856	  0.89	农药化肥	湖北	3.87	14.87	29053	35888	  0.81	28	221	--  	          3.64	
002018	华信国际	0.56	9.00	0.05	9.00	9.01	155489	3437	-0.11	          0.68	8.94	9.04	8.84	8.95	    72.64	139066528	  1.32	农药化肥	安徽	2.23	8.94	68281	87208	  0.78	132	1996	--  	         22.78	
002258	利尔化学	2.32	14.13	0.32	14.12	14.13	144739	3016	-0.21	          2.76	13.88	14.16	13.87	13.81	    35.56	203011056	  0.92	农药化肥	四川	2.10	14.03	72785	71954	  1.01	198	72	--  	          5.24	
002391	长青股份	-2.11	17.18	-0.37	17.18	17.19	65960	593	0.05	          2.99	17.44	17.44	17.05	17.55	    34.29	113426728	  1.32	农药化肥	江苏	2.22	17.20	35661	30298	  1.18	120	113	--  	          2.20	
002496	辉丰股份	0.00	4.97	0.00	4.97	4.98	202751	3403	0.00	          2.25	4.92	4.98	4.89	4.97	    40.05	100082480	  0.64	农药化肥	江苏	1.81	4.94	116718	86032	  1.36	981	2614	--  	          8.99	
300575	中旗股份	1.09	58.53	0.63	58.53	58.54	18569	414	-0.01	         10.12	57.76	58.63	57.08	57.90	    57.67	107718112	  1.03	农药化肥	江苏	2.68	58.01	9016	9553	  0.94	118	55	--  	          0.18	
600141	兴发集团	1.21	14.22	0.17	14.20	14.21	54544	12	0.21	          1.14	14.00	14.24	13.90	14.05	    69.53	76776496	  0.57	化工原料	湖北	2.42	14.08	25941	28603	  0.91	55	167	--  	          4.80	
600226	升华拜克	2.03	11.07	0.22	11.06	11.07	222435	3	0.27	          2.03	10.85	11.12	10.69	10.85	    51.45	243889792	  1.28	农药化肥	浙江	3.96	10.96	92277	130157	  0.71	233	350	--  	         10.95	
600389	江山股份	0.11	18.91	0.02	18.91	18.92	15560	10	-0.21	          0.52	18.98	19.04	18.58	18.89	   520.93	29394480	  0.70	农药化肥	江苏	2.44	18.89	7308	8251	  0.89	92	116	--  	          2.97	
600486	扬农化工	0.92	38.34	0.35	38.32	38.35	19879	50	0.23	          0.64	37.78	38.39	37.30	37.99	    30.26	75119184	  1.40	农药化肥	江苏	2.87	37.79	8642	11237	  0.77	20	5	--  	          3.10	
600596	新安股份	0.90	10.10	0.09	10.10	10.11	122862	71	0.00	          1.81	10.00	10.17	9.74	10.01	--  	122119752	  0.62	农药化肥	浙江	4.30	9.94	56846	66015	  0.86	425	121	--  	          6.79	
603077	和邦生物	0.19	5.20	0.01	5.19	5.20	451571	24	0.00	          1.42	5.20	5.25	5.16	5.19	    84.43	235095936	  1.65	化工原料	四川	1.73	5.21	200033	251537	  0.80	4545	281	--  	         31.85	
603639	海利尔	1.41	56.76	0.79	56.74	56.75	30752	13	0.10	         10.25	55.75	56.94	54.86	55.97	    36.95	172005648	  0.94	农药化肥	山东	3.72	55.93	15709	15043	  1.04	21	45	--  	          0.30	
数据来源:通达信
