代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000413	东旭光电	--  	10.21	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.21	    47.18	0	  0.00	元器件	河北	0.00	10.21	0	0	--  	0	0	--  	         29.89	
000859	国风塑业	-5.02	7.00	-0.37	7.00	7.01	867925	20193	0.00	         11.74	7.08	7.17	6.89	7.37	   281.96	609131968	  1.05	塑料	安徽	3.80	7.02	491837	376088	  1.31	3732	3592	--  	          7.39	
000969	安泰科技	0.19	10.79	0.02	10.78	10.79	72887	872	0.00	          0.85	10.73	10.82	10.61	10.77	   117.98	78231672	  0.81	钢加工	北京	1.95	10.73	35044	37842	  0.93	575	730	--  	          8.61	
000988	华工科技	2.30	16.02	0.36	16.01	16.02	184570	2453	0.12	          2.07	15.66	16.08	15.55	15.66	    63.87	293708800	  1.42	电器仪表	湖北	3.38	15.91	78738	105832	  0.74	1592	2041	--  	          8.91	
002006	精功科技	0.61	9.96	0.06	9.95	9.96	42807	609	0.10	          0.97	9.88	9.96	9.87	9.90	    64.50	42447372	  0.57	专用机械	浙江	0.91	9.92	25361	17445	  1.45	321	248	--  	          4.43	
002008	大族激光	4.29	26.28	1.08	26.28	26.29	233238	2237	0.15	          2.36	25.21	26.52	25.16	25.20	    33.20	607490112	  1.27	电器仪表	深圳	5.40	26.05	102167	131071	  0.78	682	436	--  	          9.90	
002049	紫光国芯	--  	30.88	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.88	    50.85	0	  0.00	元器件	河北	0.00	30.88	0	0	--  	0	0	--  	          5.96	
002129	中环股份	--  	8.27	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.27	    46.77	0	  0.00	半导体	天津	0.00	8.27	0	0	--  	0	0	--  	         26.44	
002189	利达光电	0.97	22.85	0.22	22.84	22.85	28006	218	0.00	          1.41	22.69	22.87	22.30	22.63	   251.88	63631072	  0.84	元器件	河南	2.52	22.72	14170	13836	  1.02	17	1398	--  	          1.99	
002199	*ST东晶	0.47	19.10	0.09	19.10	19.13	41142	352	-0.15	          3.13	19.01	19.17	18.70	19.01	   287.08	77857376	  0.95	元器件	浙江	2.47	18.92	22372	18770	  1.19	99	24	--  	          1.32	
002273	水晶光电	3.20	22.27	0.69	22.27	22.28	183297	1111	0.04	          3.00	21.58	22.33	21.40	21.58	    65.26	403571840	  0.93	元器件	浙江	4.31	22.02	76144	107152	  0.71	555	565	--  	          6.10	
002388	新亚制程	-0.80	13.58	-0.11	13.57	13.58	167665	2062	0.00	          4.39	13.69	13.69	13.34	13.69	   518.98	226209904	  0.99	元器件	深圳	2.56	13.49	95912	71752	  1.34	1076	365	--  	          3.82	
002559	亚威股份	1.40	13.77	0.19	13.77	13.78	56704	900	0.07	          1.84	13.58	13.93	13.50	13.58	    69.67	78188840	  1.21	机床制造	江苏	3.17	13.79	24682	32021	  0.77	7	6	--  	          3.08	
002617	露笑科技	3.22	15.71	0.49	15.71	15.72	34385	461	0.06	          0.61	15.22	15.89	15.13	15.22	   178.25	53911184	  1.28	电气设备	浙江	4.99	15.68	14247	20137	  0.71	205	315	--  	          5.60	
002635	安洁科技	4.24	40.56	1.65	40.55	40.56	95404	711	0.44	          4.51	38.88	41.09	37.92	38.91	    44.29	379724800	  1.71	电脑设备	江苏	8.15	39.80	38372	57031	  0.67	15	37	--  	          2.12	
300029	天龙光电	-0.14	13.80	-0.02	13.79	13.80	25087	500	0.21	          1.30	13.80	13.82	13.58	13.82	--  	34333196	  0.95	专用机械	江苏	1.74	13.69	13258	11828	  1.12	24	116	--  	          1.93	
300032	金龙机电	-0.27	15.05	-0.04	15.03	15.05	36231	556	0.26	          0.61	15.06	15.06	14.83	15.09	    64.89	54206188	  0.85	元器件	浙江	1.52	14.96	19016	17215	  1.10	3	267	--  	          5.96	
300128	锦富技术	3.32	21.16	0.68	21.16	21.17	154235	1274	0.04	          4.75	20.51	21.56	20.20	20.48	   265.57	322876992	  0.70	元器件	江苏	6.64	20.93	69579	84655	  0.82	589	227	--  	          3.25	
300285	国瓷材料	1.20	39.76	0.47	39.76	39.77	15058	238	-0.05	          0.73	38.90	39.88	38.53	39.29	    96.07	59109484	  1.12	陶瓷	山东	3.44	39.25	6185	8872	  0.70	25	197	--  	          2.06	
