代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000050	深天马Ａ	--  	18.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.82	    46.33	0	  0.00	元器件	深圳	0.00	18.82	0	0	--  	0	0	--  	         12.12	
000638	万方发展	-0.35	14.35	-0.05	14.35	14.36	43238	509	0.00	          1.40	14.31	14.35	14.00	14.40	   397.63	61409332	  0.41	批发业	辽宁	2.43	14.20	24402	18835	  1.30	202	113	--  	          3.09	
000665	湖北广电	0.70	14.45	0.10	14.45	14.46	20118	428	0.06	          0.44	14.36	14.47	14.26	14.35	    29.01	28964310	  0.74	影视音像	湖北	1.46	14.40	8666	11451	  0.76	143	272	--  	          4.61	
000670	*ST盈方	1.85	7.72	0.14	7.72	7.73	240105	5484	0.12	          4.00	7.50	7.83	7.45	7.58	   283.15	184048832	  1.12	元器件	湖北	5.01	7.67	116533	123571	  0.94	257	1280	--  	          6.00	
000681	视觉中国	-1.03	20.19	-0.21	20.19	20.20	46214	762	0.24	          2.35	20.44	20.54	20.08	20.40	    86.18	93635336	  0.63	互联网	江苏	2.25	20.26	28119	18094	  1.55	674	40	--  	          1.97	
000687	华讯方舟	0.41	16.99	0.07	16.98	16.99	110775	2692	0.23	          2.08	16.96	17.21	16.75	16.92	    79.47	187441888	  0.69	通信设备	河北	2.72	16.92	61312	49462	  1.24	140	1475	--  	          5.31	
000725	京东方Ａ	1.91	3.20	0.06	3.20	3.21	3809817	28719	-0.31	          1.59	3.13	3.21	3.12	3.14	   599.76	1206541312	  1.88	元器件	北京	2.87	3.17	1356919	2452897	  0.55	45648	105935	--  	        240.29	
000793	华闻传媒	1.12	10.85	0.12	10.84	10.85	346282	3135	-0.18	          1.89	10.76	10.99	10.63	10.73	    23.62	373629216	  1.99	出版业	海南	3.36	10.79	181876	164406	  1.11	3778	4489	--  	         18.27	
000806	银河生物	-0.08	12.25	-0.01	12.24	12.25	195534	32716	0.40	          2.80	12.19	12.25	12.13	12.26	  2876.42	238400464	  1.18	生物制药	广西	0.98	12.19	98629	96904	  1.02	1354	2930	--  	          6.98	
000810	创维数字	0.14	14.13	0.02	14.13	14.14	30299	323	0.07	          0.74	14.05	14.19	13.90	14.11	    31.60	42673052	  0.71	元器件	四川	2.06	14.08	15472	14826	  1.04	50	30	--  	          4.08	
