代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000010	美丽生态	0.29	6.98	0.02	6.97	6.98	61537	2834	0.14	          1.18	6.95	6.99	6.90	6.96	   195.56	42792592	  0.70	建筑施工	深圳	1.29	6.95	30723	30814	  1.00	1058	1289	--  	          5.22	
000055	方大集团	1.72	14.80	0.25	14.79	14.80	49768	793	0.06	          1.18	14.59	14.82	14.46	14.55	    76.66	73105288	  1.48	其他建材	深圳	2.47	14.69	18908	30859	  0.61	1180	198	--  	          4.20	
000509	华塑控股	--  	7.76	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.76	--  	0	  0.00	其他建材	四川	0.00	7.76	0	0	--  	0	0	--  	          8.25	
000656	金科股份	1.93	5.82	0.11	5.81	5.82	288312	2685	0.17	          0.78	5.71	5.85	5.68	5.71	    23.13	167100464	  1.04	区域地产	重庆	2.98	5.80	120217	168094	  0.72	2660	12990	--  	         36.74	
000786	北新建材	0.59	11.84	0.07	11.82	11.84	107151	644	-0.16	          0.78	11.70	11.92	11.59	11.77	    20.30	126266888	  0.67	其他建材	北京	2.80	11.78	54942	52208	  1.05	91	77	--  	         13.78	
002081	金 螳 螂	5.47	11.37	0.59	11.37	11.38	475675	3822	-0.17	          1.89	10.88	11.49	10.88	10.78	    16.53	535127424	  3.13	装修装饰	江苏	5.66	11.25	204645	271029	  0.76	880	1346	--  	         25.18	
002163	中航三鑫	0.10	10.33	0.01	10.32	10.33	153189	3275	0.00	          2.06	10.30	10.34	10.11	10.32	--  	156529568	  0.80	装修装饰	深圳	2.23	10.22	85093	68096	  1.25	1103	3234	--  	          7.42	
002200	云投生态	1.94	24.66	0.47	24.66	24.67	20241	127	0.00	          1.88	24.22	24.80	24.02	24.19	    98.95	49343824	  0.74	环境保护	云南	3.22	24.38	9539	10702	  0.89	39	16	--  	          1.08	
002247	帝龙文化	0.00	16.81	0.00	16.81	16.82	27356	275	-0.05	          0.60	16.90	17.03	16.77	16.81	    41.65	46210008	  0.80	装修装饰	浙江	1.55	16.89	14232	13123	  1.08	202	8	--  	          4.54	
002310	东方园林	2.49	15.23	0.37	15.22	15.23	340184	7512	0.13	          2.40	14.85	15.23	14.71	14.86	    59.14	513290048	  2.11	建筑施工	北京	3.50	15.09	151155	189029	  0.80	2270	400	--  	         14.16	
002325	洪涛股份	-0.67	7.42	-0.05	7.42	7.43	160073	661	0.00	          1.74	7.48	7.49	7.28	7.47	    31.85	118081632	  1.61	装修装饰	深圳	2.81	7.38	72104	87969	  0.82	822	2819	--  	          9.22	
002374	丽鹏股份	1.87	7.61	0.14	7.60	7.61	70484	998	0.00	          1.38	7.49	7.61	7.38	7.47	    54.73	53095048	  0.98	建筑施工	山东	3.08	7.53	31838	38645	  0.82	1903	1058	--  	          5.10	
002375	亚厦股份	1.18	11.15	0.13	11.15	11.16	66431	723	0.00	          0.59	10.98	11.20	10.95	11.02	    41.91	73916624	  0.92	装修装饰	浙江	2.27	11.13	23348	43083	  0.54	184	1115	--  	         11.32	
002431	棕榈股份	-0.11	9.08	-0.01	9.08	9.09	157084	812	0.00	          1.74	9.07	9.10	8.93	9.09	   110.45	141536544	  1.06	建筑施工	广东	1.87	9.01	79093	77990	  1.01	3652	9942	--  	          9.04	
002470	金正大	0.13	7.46	0.01	7.46	7.47	81214	1754	-0.13	          0.30	7.41	7.48	7.39	7.45	    15.58	60457848	  0.69	农药化肥	山东	1.21	7.44	41457	39757	  1.04	1659	791	--  	         27.09	
002482	广田集团	0.43	9.30	0.04	9.29	9.30	124220	861	0.10	          0.95	9.23	9.43	9.19	9.26	    36.31	115623464	  1.27	装修装饰	深圳	2.59	9.31	59779	64441	  0.93	41	1342	--  	         13.10	
002663	普邦股份	0.51	5.91	0.03	5.91	5.92	59939	395	-0.16	          0.51	5.84	5.93	5.84	5.88	    96.17	35281548	  0.71	建筑施工	广东	1.53	5.89	29023	30916	  0.94	59	102	--  	         11.74	
002717	岭南园林	--  	24.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.96	    44.81	0	  0.00	建筑施工	广东	0.00	24.96	0	0	--  	0	0	--  	          1.76	
002775	文科园林	2.67	22.67	0.59	22.66	22.67	41231	462	0.00	          3.63	22.10	22.89	21.77	22.08	    40.28	92613080	  1.09	建筑施工	深圳	5.07	22.46	18246	22985	  0.79	104	43	--  	          1.14	
002785	万里石	-0.67	26.76	-0.18	26.75	26.76	36630	512	0.03	          3.79	26.70	26.91	26.00	26.94	   268.89	96877672	  0.83	其他建材	福建	3.38	26.45	18899	17730	  1.07	477	36	--  	          0.97	
300095	华伍股份	2.96	13.92	0.40	13.91	13.92	40699	833	0.43	          1.73	13.49	13.98	13.38	13.52	   113.08	56196364	  1.60	机械基件	江西	4.44	13.81	17735	22964	  0.77	244	215	--  	          2.35	
300117	嘉寓股份	-0.16	6.29	-0.01	6.28	6.29	30370	415	0.15	          0.42	6.28	6.32	6.20	6.30	    68.49	19029014	  0.73	装修装饰	北京	1.90	6.27	17500	12869	  1.36	937	1683	--  	          7.16	
300197	铁汉生态	1.72	11.86	0.20	11.86	11.87	121759	831	0.00	          1.54	11.67	11.98	11.60	11.66	    46.87	143919088	  1.18	环境保护	深圳	3.26	11.82	51642	70117	  0.74	1272	205	--  	          7.89	
300237	美晨科技	4.49	16.99	0.73	16.99	17.00	89220	979	0.23	          2.57	16.29	17.15	16.11	16.26	    42.40	149748480	  2.62	建筑施工	山东	6.40	16.78	33844	55375	  0.61	35	752	--  	          3.47	
300266	兴源环境	--  	52.88	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	52.88	   132.38	0	  0.00	机械基件	浙江	0.00	52.88	0	0	--  	0	0	--  	          4.02	
300355	蒙草生态	3.17	12.03	0.37	12.02	12.03	369572	7969	0.00	          6.18	11.68	12.05	11.65	11.66	    37.64	439113760	  0.69	环境保护	内蒙	3.43	11.88	158240	211332	  0.75	1309	855	--  	          5.98	
300495	美尚生态	2.26	43.86	0.97	43.86	43.88	11905	191	-0.09	          1.30	42.88	44.07	42.84	42.89	    82.24	51913472	  1.03	建筑施工	江苏	2.87	43.60	4528	7377	  0.61	3	8	--  	          0.92	
