代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000012	南 玻Ａ	0.80	11.35	0.09	11.35	11.36	136958	1537	0.00	          1.05	11.24	11.36	11.11	11.26	    24.71	154130288	  0.79	玻璃	深圳	2.22	11.25	60849	76108	  0.80	828	1731	--  	         13.04	
000050	深天马Ａ	--  	18.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.82	    46.33	0	  0.00	元器件	深圳	0.00	18.82	0	0	--  	0	0	--  	         12.12	
000536	华映科技	0.33	12.07	0.04	12.07	12.08	47256	913	0.00	          0.61	12.01	12.08	11.92	12.03	    38.25	56843140	  0.67	元器件	福建	1.33	12.03	23976	23279	  1.03	269	1042	--  	          7.77	
000636	风华高科	2.00	10.72	0.21	10.72	10.73	153875	926	-0.09	          1.89	10.56	10.78	10.43	10.51	    65.01	163933632	  1.06	元器件	广东	3.33	10.65	66422	87452	  0.76	1708	258	--  	          8.13	
000727	华东科技	0.00	3.26	0.00	3.26	3.27	451504	12781	-0.30	          1.85	3.26	3.27	3.23	3.26	--  	146849696	  1.24	元器件	江苏	1.23	3.25	175480	276023	  0.64	8167	10174	--  	         24.42	
000823	超声电子	5.87	14.42	0.80	14.42	14.43	271893	7910	0.27	          5.06	13.58	14.43	13.36	13.62	    51.73	382096928	  1.66	元器件	广东	7.86	14.05	108094	163798	  0.66	1370	1030	--  	          5.37	
002045	国光电器	-0.22	13.84	-0.03	13.83	13.84	109872	1075	0.43	          2.65	13.88	14.04	13.69	13.87	   133.01	152317168	  0.76	元器件	广东	2.52	13.86	59754	50118	  1.19	104	53	--  	          4.15	
002055	得润电子	4.71	24.01	1.08	24.01	24.02	130972	2279	0.00	          3.25	23.02	24.10	23.02	22.93	   106.05	311023744	  1.27	元器件	深圳	4.71	23.75	51545	79426	  0.65	139	333	--  	          4.03	
002056	横店东磁	1.45	14.71	0.21	14.71	14.72	127883	1852	0.13	          1.56	14.49	14.74	14.24	14.50	    29.29	186021648	  1.12	元器件	浙江	3.45	14.55	59071	68812	  0.86	106	595	--  	          8.22	
002106	莱宝高科	1.58	12.88	0.20	12.87	12.88	247165	3545	0.07	          3.51	12.55	13.00	12.45	12.68	    58.77	316824128	  1.44	元器件	深圳	4.34	12.82	122087	125077	  0.98	1151	1972	--  	          7.04	
002119	康强电子	1.28	21.33	0.27	21.33	21.34	23387	474	0.04	          1.16	21.11	21.38	20.92	21.06	   103.19	49540632	  0.71	半导体	浙江	2.18	21.18	10783	12603	  0.86	188	155	--  	          2.02	
002156	通富微电	2.71	11.00	0.29	11.00	11.01	126500	2154	0.09	          1.30	10.73	11.08	10.65	10.71	    64.63	137922592	  1.46	半导体	江苏	4.01	10.90	50902	75598	  0.67	111	733	--  	          9.72	
002185	华天科技	2.59	12.69	0.32	12.68	12.69	306214	1987	0.07	          2.87	12.36	12.74	12.32	12.37	    34.80	386538176	  1.62	半导体	甘肃	3.40	12.62	122018	184195	  0.66	317	37	--  	         10.65	
