代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000592	平潭发展	-0.16	6.41	-0.01	6.40	6.41	147737	1593	0.15	          0.77	6.43	6.43	6.30	6.42	   435.91	94164696	  1.14	林业	福建	2.02	6.37	85805	61932	  1.39	1210	1358	--  	         19.13	
000735	罗 牛 山	-0.42	7.11	-0.03	7.11	7.12	114422	1429	-0.14	          1.30	7.11	7.13	7.01	7.14	    76.65	80903072	  0.46	农业综合	海南	1.68	7.07	68815	45606	  1.51	1969	1391	--  	          8.79	
000979	中弘股份	--  	2.66	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	2.66	    74.11	0	  0.00	区域地产	安徽	0.00	2.66	0	0	--  	0	0	--  	         46.08	
002264	新 华 都	-1.04	10.45	-0.11	10.45	10.46	77726	2150	0.09	          1.40	10.55	10.55	10.26	10.56	    25.32	80697208	  1.04	超市连锁	福建	2.75	10.38	45885	31841	  1.44	869	164	--  	          5.56	
002520	日发精机	3.38	12.22	0.40	12.21	12.22	54913	4417	1.07	          1.04	11.84	12.22	11.81	11.82	   150.97	65809940	  1.08	机床制造	浙江	3.47	11.98	24638	30274	  0.81	30	271	--  	          5.30	
600158	中体产业	-1.04	19.89	-0.21	19.88	19.89	197019	30	0.25	          3.00	19.97	19.97	19.59	20.10	   614.81	390110176	  0.96	文教休闲	天津	1.89	19.80	110911	86108	  1.29	302	531	--  	          6.57	
600168	武汉控股	0.57	10.56	0.06	10.55	10.56	35951	10	0.18	          0.51	10.47	10.56	10.40	10.50	    24.92	37752100	  0.73	水务	湖北	1.52	10.50	17696	18255	  0.97	363	407	--  	          7.10	
600195	中牧股份	-0.05	20.90	-0.01	20.90	20.91	22115	1	0.04	          0.51	20.85	20.93	20.68	20.91	    31.39	46027456	  0.89	饲料	北京	1.20	20.81	12475	9640	  1.29	12	28	--  	          4.30	
600361	华联综超	1.12	7.21	0.08	7.21	7.22	39899	20	0.00	          0.60	7.14	7.22	7.06	7.13	--  	28593172	  0.51	超市连锁	北京	2.24	7.17	17491	22408	  0.78	76	788	--  	          6.66	
600398	海澜之家	0.77	10.45	0.08	10.45	10.46	71726	37	-0.09	          0.16	10.37	10.50	10.37	10.37	    15.04	74896696	  2.60	服饰	江苏	1.25	10.44	33522	38203	  0.88	74	948	--  	         44.93	
600533	栖霞建设	-0.36	5.50	-0.02	5.51	5.52	89448	143	-0.18	          0.85	5.53	5.54	5.44	5.52	    92.85	49175920	  1.11	区域地产	江苏	1.81	5.50	60491	28957	  2.09	97	358	--  	         10.50	
600555	海航创新	-0.17	5.82	-0.01	5.81	5.83	64264	20	0.00	          0.66	5.82	5.84	5.70	5.83	--  	37161684	  1.54	旅游景点	海南	2.40	5.78	36323	27941	  1.30	127	431	--  	          9.74	
600684	珠江实业	0.48	8.30	0.04	8.29	8.30	59788	9	0.12	          0.84	8.24	8.32	8.13	8.26	    17.24	49338340	  0.88	全国地产	广东	2.30	8.25	27825	31962	  0.87	606	448	--  	          7.11	
600692	亚通股份	0.91	17.83	0.16	17.82	17.83	108447	111	0.11	          4.25	17.51	17.84	17.22	17.67	   147.87	189790256	  1.07	水运	上海	3.51	17.50	55796	52651	  1.06	1157	42	--  	          2.55	
600777	新潮能源	0.00	3.66	0.00	3.65	3.66	268247	100	0.27	          1.13	3.67	3.68	3.64	3.66	--  	98016064	  1.26	综合类	山东	1.09	3.65	127121	141126	  0.90	8821	1692	--  	         23.77	
数据来源:通达信
