代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000890	法 尔 胜	-0.17	11.59	-0.02	11.59	11.60	42564	498	0.00	          1.12	11.55	11.63	11.44	11.61	    24.28	49223560	  0.93	钢加工	江苏	1.64	11.56	23094	19470	  1.19	736	271	--  	          3.80	
000962	*ST东钽	0.45	13.26	0.06	13.25	13.26	80417	2215	0.15	          1.82	13.06	13.31	12.96	13.20	   201.53	105832152	  0.95	小金属	宁夏	2.65	13.16	39943	40474	  0.99	845	252	--  	          4.41	
002130	沃尔核材	0.21	14.11	0.03	14.10	14.11	42850	461	0.14	          0.99	14.11	14.12	13.88	14.08	    72.62	60074388	  0.64	电气设备	深圳	1.70	14.02	23699	19150	  1.24	463	206	--  	          4.32	
002149	西部材料	1.33	29.74	0.39	29.74	29.75	19046	585	0.06	          1.09	29.40	29.95	29.20	29.35	   561.74	56463972	  0.55	小金属	陕西	2.56	29.65	8587	10458	  0.82	87	134	--  	          1.75	
002300	太阳电缆	-1.83	16.09	-0.30	16.09	16.10	488013	7580	0.06	          8.99	16.15	16.57	15.88	16.39	    56.62	785761344	  0.81	电气设备	福建	4.21	16.10	276061	211952	  1.30	1069	1286	--  	          5.43	
002471	中超控股	0.17	6.02	0.01	6.02	6.03	76782	450	-0.16	          0.61	6.01	6.04	5.91	6.01	    64.84	45864084	  1.22	电气设备	江苏	2.16	5.97	42782	33999	  1.26	683	1473	--  	         12.58	
002498	汉缆股份	0.00	4.19	0.00	4.19	4.20	63744	582	-0.23	          0.19	4.19	4.20	4.14	4.19	    32.72	26611036	  0.89	电气设备	山东	1.43	4.17	33748	29996	  1.13	2481	4095	--  	         33.25	
300216	千山药机	0.55	31.33	0.17	31.32	31.33	29099	593	-0.06	          1.09	31.14	31.78	30.85	31.16	   450.45	91432912	  0.80	医疗保健	湖南	2.98	31.42	14925	14174	  1.05	130	11	--  	          2.67	
600082	海泰发展	1.09	8.34	0.09	8.33	8.34	92703	1	0.24	          1.47	8.21	8.37	8.13	8.25	--  	76673472	  0.71	园区开发	天津	2.91	8.27	43774	48929	  0.89	449	459	--  	          6.33	
600105	永鼎股份	0.61	9.95	0.06	9.95	9.96	43882	101	0.10	          0.58	9.96	9.96	9.83	9.89	    44.17	43529228	  0.81	通信设备	江苏	1.31	9.92	20501	23381	  0.88	8	356	--  	          7.62	
600255	鑫科材料	0.00	4.92	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	4.92	--  	0	  0.00	铜	安徽	0.00	4.92	0	0	--  	0	0	--  	         17.70	
600363	联创光电	-0.32	18.71	-0.06	18.61	18.70	213627	20	0.05	          4.82	18.75	18.76	18.15	18.77	    39.77	394041280	  0.65	元器件	江西	3.25	18.45	130697	82929	  1.58	30	1980	--  	          4.43	
600416	湘电股份	1.89	17.23	0.32	17.22	17.23	170118	60	0.34	          2.42	16.90	17.39	16.84	16.91	   125.36	292364608	  1.21	电气设备	湖南	3.25	17.19	77617	92501	  0.84	7	242	--  	          7.03	
600468	百利电气	-0.40	12.47	-0.05	12.48	12.49	16755	5	-0.08	          0.31	12.52	12.56	12.40	12.52	   129.63	20905716	  0.86	电气设备	天津	1.28	12.48	8968	7786	  1.15	30	28	--  	          5.32	
600522	中天科技	3.15	11.46	0.35	11.44	11.45	887386	205	0.08	          3.90	11.08	11.48	11.07	11.11	    23.02	1006697408	  3.36	通信设备	江苏	3.69	11.34	369803	517583	  0.71	1638	25	--  	         22.76	
600595	中孚实业	0.50	5.99	0.03	5.99	6.00	132244	65	0.16	          0.76	5.91	5.99	5.87	5.96	    45.09	78590864	  0.83	铝	河南	2.01	5.94	55496	76747	  0.72	34	2532	--  	         17.42	
600770	综艺股份	0.51	9.89	0.05	9.89	9.90	71105	48	0.10	          0.64	9.83	9.90	9.71	9.84	   235.72	69826048	  0.62	综合类	江苏	1.93	9.82	37485	33620	  1.11	132	1217	--  	         11.05	
600777	新潮能源	0.00	3.66	0.00	3.65	3.66	268247	100	0.27	          1.13	3.67	3.68	3.64	3.66	--  	98016064	  1.26	综合类	山东	1.09	3.65	127121	141126	  0.90	8821	1692	--  	         23.77	
600973	宝胜股份	2.20	8.82	0.19	8.82	8.83	122522	19	0.00	          1.85	8.63	8.83	8.50	8.63	    33.61	106853400	  0.82	电气设备	江苏	3.82	8.72	50480	72042	  0.70	160	2151	--  	          6.63	
数据来源:通达信
