代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000973	佛塑科技	2.25	9.07	0.20	9.07	9.08	1197242	16813	0.11	         12.38	8.71	9.30	8.61	8.87	   124.55	1080684160	  0.83	塑料	广东	7.78	9.03	576771	620471	  0.93	5086	3757	--  	          9.67	
000981	银亿股份	--  	10.14	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.14	    43.99	0	  0.00	区域地产	甘肃	0.00	10.14	0	0	--  	0	0	--  	         25.74	
002024	苏宁云商	0.36	11.03	0.04	11.03	11.04	247861	1835	0.00	          0.49	10.99	11.07	10.91	10.99	--  	272784192	  1.00	电器连锁	江苏	1.46	11.01	117866	129994	  0.91	3013	3433	--  	         50.18	
002095	生 意 宝	-0.33	42.60	-0.14	42.59	42.60	26300	801	0.02	          1.05	42.80	42.80	42.08	42.74	   503.03	111614136	  0.69	互联网	浙江	1.68	42.44	13472	12828	  1.05	22	287	--  	          2.52	
002103	广博股份	8.47	18.18	1.42	18.17	18.18	143026	3396	-1.14	          5.45	16.60	18.44	16.21	16.76	    86.44	247088208	  3.17	文教休闲	浙江	13.31	17.28	61293	81733	  0.75	24	356	--  	          2.63	
002187	广百股份	0.62	14.54	0.09	14.53	14.54	45450	1654	0.27	          1.33	14.45	14.58	14.08	14.45	    32.01	65616336	  1.45	百货	广东	3.46	14.44	20333	25117	  0.81	247	358	--  	          3.42	
002251	步 步 高	0.14	14.59	0.02	14.59	14.60	57257	1176	0.00	          0.81	14.57	14.63	14.31	14.57	    54.33	82885056	  0.89	超市连锁	湖南	2.20	14.48	29152	28104	  1.04	81	277	--  	          7.08	
002277	友阿股份	1.05	16.30	0.17	16.29	16.30	290508	3266	0.00	          5.13	16.15	16.52	15.99	16.13	    38.59	472230336	  1.64	百货	湖南	3.29	16.26	134841	155666	  0.87	1280	175	--  	          5.66	
002327	富安娜	0.00	9.55	0.00	9.55	9.56	80520	959	0.20	          1.70	9.54	9.58	9.40	9.55	    25.57	76620128	  1.21	纺织	深圳	1.88	9.52	42680	37840	  1.13	415	536	--  	          4.74	
002336	*ST人乐	-0.46	13.09	-0.06	13.08	13.09	21261	563	0.00	          0.63	13.05	13.19	12.96	13.15	   564.40	27829934	  1.15	超市连锁	深圳	1.75	13.09	13245	8016	  1.65	167	89	--  	          3.39	
002344	海宁皮城	0.47	10.63	0.05	10.62	10.63	44536	526	0.09	          0.40	10.58	10.65	10.43	10.58	    20.93	47103060	  0.91	商品城	浙江	2.08	10.58	25075	19461	  1.29	477	521	--  	         11.06	
002419	天虹商场	1.04	16.59	0.17	16.58	16.59	209303	1592	0.12	          2.62	16.35	16.69	16.15	16.42	    25.33	344457312	  1.75	百货	深圳	3.29	16.46	107255	102048	  1.05	130	162	--  	          8.00	
002563	森马服饰	-0.63	9.54	-0.06	9.53	9.54	43974	663	0.10	          0.24	9.55	9.60	9.45	9.60	    19.24	41790384	  0.71	服饰	浙江	1.56	9.50	29563	14411	  2.05	100	177	--  	         18.39	
002612	朗姿股份	-0.57	17.50	-0.10	17.49	17.50	27029	442	0.11	          1.29	17.52	17.54	17.18	17.60	    63.68	46987428	  0.65	服饰	北京	2.05	17.38	15398	11630	  1.32	40	8	--  	          2.10	
002640	跨境通	-0.83	17.90	-0.15	17.89	17.90	49023	590	0.05	          0.66	18.05	18.18	17.63	18.05	    70.32	87493912	  0.98	服饰	山西	3.05	17.85	32364	16658	  1.94	2021	58	--  	          7.41	
002656	摩登大道	1.00	18.23	0.18	18.21	18.23	14767	126	0.10	          0.58	18.15	18.54	18.10	18.05	--  	27030456	  0.61	服饰	广东	2.44	18.30	6294	8473	  0.74	17	597	--  	          2.56	
002686	亿利达	2.88	16.07	0.45	16.07	16.08	35718	384	0.12	          1.27	15.62	16.30	15.42	15.62	    57.07	56911552	  1.25	专用机械	浙江	5.63	15.93	13758	21960	  0.63	149	225	--  	          2.82	
002697	红旗连锁	0.13	7.92	0.01	7.91	7.92	133401	2432	0.00	          1.82	7.88	7.94	7.81	7.91	    59.90	105067376	  0.84	超市连锁	四川	1.64	7.88	64080	69320	  0.92	3238	119	--  	          7.31	
300146	汤臣倍健	0.43	11.61	0.05	11.60	11.61	58260	965	0.17	          0.67	11.58	11.62	11.43	11.56	    31.89	67253976	  0.92	食品	广东	1.64	11.54	32184	26075	  1.23	310	241	--  	          8.71	
300413	快乐购	-0.49	22.37	-0.11	22.36	22.37	42395	709	0.13	          2.13	22.48	22.52	22.08	22.48	   196.98	94522024	  0.78	百货	湖南	1.96	22.30	24781	17614	  1.41	1543	163	--  	          1.99	
600119	长江投资	0.36	19.69	0.07	19.69	19.70	49722	1	-0.15	          1.62	19.62	19.75	19.32	19.62	    36.20	97295488	  0.71	仓储物流	上海	2.19	19.57	26146	23575	  1.11	25	207	--  	          3.07	
600270	外运发展	0.12	17.26	0.02	17.27	17.28	53704	2	0.00	          0.59	17.20	17.35	17.00	17.24	    16.40	92510888	  1.52	仓储物流	北京	2.03	17.23	25435	28269	  0.90	4	20	--  	          9.05	
600271	航天信息	0.00	20.60	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	20.60	    30.49	0	  0.00	电脑设备	北京	0.00	20.60	0	0	--  	0	0	--  	         18.47	
600368	五洲交通	0.16	6.14	0.01	6.14	6.15	72546	10	0.00	          0.87	6.10	6.16	6.05	6.13	    23.04	44401836	  0.89	路桥	广西	1.79	6.12	24276	48269	  0.50	2044	2357	--  	          8.34	
600415	小商品城	-0.79	7.56	-0.06	7.55	7.56	182703	6	0.00	          0.34	7.62	7.63	7.40	7.62	    37.15	137443600	  1.14	商品城	浙江	3.02	7.52	78057	104645	  0.75	1478	296	--  	         54.43	
600439	瑞贝卡	0.00	7.89	0.00	7.88	7.89	42086	214	0.38	          0.45	7.84	7.90	7.78	7.89	    47.19	32962760	  0.80	服饰	河南	1.52	7.83	20908	21178	  0.99	408	1908	--  	          9.43	
600690	青岛海尔	2.36	11.29	0.26	11.28	11.29	712079	76	0.00	          1.30	11.05	11.40	10.95	11.03	    13.51	800984448	  1.84	家用电器	山东	4.08	11.25	318240	393838	  0.81	7203	663	--  	         54.91	
600704	物产中大	1.21	10.86	0.13	10.86	10.87	169982	719	0.00	          1.91	10.77	10.87	10.71	10.73	    18.86	183860528	  0.84	商贸代理	浙江	1.49	10.82	85300	84681	  1.01	117	1980	--  	          8.92	
600729	重庆百货	0.51	27.37	0.14	27.36	27.38	72137	50	0.25	          1.77	27.20	27.54	26.69	27.23	    26.57	195295392	  0.73	百货	重庆	3.12	27.07	39018	33119	  1.18	78	40	--  	          4.06	
600794	保税科技	0.71	5.64	0.04	5.63	5.64	92381	100	0.17	          0.86	5.59	5.64	5.51	5.60	   277.20	51619704	  0.80	仓储物流	江苏	2.32	5.59	43319	49062	  0.88	79	1640	--  	         10.72	
600998	九州通	0.25	19.93	0.05	19.94	19.95	16429	15	0.00	          0.11	19.88	19.98	19.66	19.88	    53.83	32560952	  0.75	医药商业	湖北	1.61	19.82	8576	7852	  1.09	158	141	--  	         14.42	
601888	中国国旅	-3.01	49.90	-1.55	49.87	49.90	50685	14	-0.16	          0.52	51.30	51.50	49.81	51.45	    25.01	256444896	  1.18	旅游服务	北京	3.28	50.60	28571	22113	  1.29	11	304	--  	          9.76	
601933	永辉超市	2.76	5.59	0.15	5.59	5.60	1062550	50	0.00	          1.63	5.43	5.74	5.42	5.44	    49.20	593722112	  1.97	超市连锁	福建	5.88	5.59	464259	598290	  0.78	482	6474	--  	         65.09	
603128	华贸物流	0.42	9.47	0.04	9.46	9.47	46827	10	0.10	          0.58	9.40	9.48	9.20	9.43	    33.04	43834516	  0.80	仓储物流	上海	2.97	9.36	25394	21433	  1.18	110	563	--  	          8.08	
数据来源:通达信
