代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000001	平安银行	0.43	9.44	0.04	9.44	9.45	545304	2038	0.10	          0.32	9.39	9.45	9.37	9.40	     6.49	513148480	  1.59	银行	深圳	0.85	9.41	278207	267097	  1.04	515	21385	--  	        169.18	
000002	万 科Ａ	0.53	20.71	0.11	20.70	20.71	419235	4981	-0.04	          0.43	20.65	20.88	20.51	20.60	    20.75	869278720	  1.31	全国地产	深圳	1.80	20.73	201506	217729	  0.93	1384	10078	--  	         97.08	
000008	神州高铁	1.17	8.67	0.10	8.67	8.68	91970	1337	0.00	          0.46	8.57	8.74	8.42	8.57	    84.21	78601520	  1.63	运输设备	北京	3.73	8.55	44883	47086	  0.95	525	1208	--  	         19.95	
000157	中联重科	1.46	4.85	0.07	4.85	4.86	528493	4927	-0.20	          0.84	4.80	4.86	4.77	4.78	--  	255423616	  1.10	工程机械	湖南	1.88	4.83	186074	342418	  0.54	8094	13470	--  	         62.66	
000333	美的集团	-0.94	33.90	-0.32	33.89	33.90	450041	6379	-0.11	          0.71	34.28	34.79	33.74	34.22	    12.75	1537993472	  1.26	家用电器	广东	3.07	34.17	244329	205711	  1.19	248	3540	--  	         63.42	
000410	沈阳机床	0.59	11.93	0.07	11.93	11.94	91546	1164	0.00	          1.24	11.90	12.06	11.86	11.86	--  	109438288	  0.64	机床制造	辽宁	1.69	11.95	48548	42998	  1.13	108	1201	--  	          7.40	
000425	徐工机械	2.29	4.02	0.09	4.01	4.02	1092317	28084	0.24	          1.56	3.93	4.05	3.90	3.93	   127.77	436577120	  1.42	工程机械	江苏	3.82	4.00	416425	675892	  0.62	3276	17003	--  	         69.94	
000531	穗恒运Ａ	2.79	11.79	0.32	11.79	11.80	64790	1558	0.00	          0.95	11.44	11.97	11.42	11.47	    14.02	75906616	  1.32	火力发电	广东	4.80	11.72	25808	38981	  0.66	527	1701	--  	          6.85	
000538	云南白药	0.49	77.23	0.38	77.22	77.23	35254	280	0.10	          0.34	76.85	77.43	76.22	76.85	    25.56	271833952	  1.19	中成药	云南	1.57	77.11	18516	16738	  1.11	22	409	--  	         10.41	
000703	恒逸石化	-1.78	14.86	-0.27	14.85	14.86	82192	837	-0.13	          0.71	15.06	15.30	14.62	15.13	    35.91	123310592	  1.25	化纤	广西	4.49	15.00	48207	33985	  1.42	80	40	--  	         11.54	
000776	广发证券	0.81	17.41	0.14	17.40	17.41	188297	2275	0.00	          0.32	17.23	17.42	17.13	17.27	    16.09	326191680	  1.15	证券	广东	1.68	17.32	79806	108490	  0.74	1223	124	--  	         59.19	
000876	新 希 望	0.25	8.08	0.02	8.07	8.08	117702	1789	0.00	          0.34	8.03	8.09	8.00	8.06	    12.09	94750368	  0.83	饲料	四川	1.12	8.05	59051	58651	  1.01	1743	3486	--  	         34.57	
000895	双汇发展	1.82	21.79	0.39	21.78	21.79	123092	364	0.09	          0.37	21.33	21.85	21.30	21.40	    16.45	266858608	  1.68	食品	河南	2.57	21.68	50821	72271	  0.70	3	592	--  	         32.99	
000900	现代投资	0.93	8.65	0.08	8.65	8.66	61182	579	0.11	          0.61	8.54	8.67	8.52	8.57	    12.14	52693472	  0.75	路桥	湖南	1.75	8.61	21716	39466	  0.55	313	1871	--  	         10.10	
000970	中科三环	0.85	14.31	0.12	14.31	14.32	112131	1265	0.00	          1.05	14.16	14.36	13.97	14.19	    49.39	159813680	  0.67	元器件	北京	2.75	14.25	51963	60167	  0.86	127	1584	--  	         10.65	
000996	中国中期	-0.39	23.23	-0.09	23.23	23.24	57569	1095	0.00	          2.50	23.30	23.30	22.81	23.32	   262.62	132820768	  0.99	公路	北京	2.10	23.07	28519	29049	  0.98	433	189	--  	          2.30	
002033	丽江旅游	0.88	14.93	0.13	14.93	14.94	43136	756	0.06	          1.02	14.83	14.95	14.72	14.80	    28.19	63996948	  0.78	旅游景点	云南	1.55	14.84	20444	22691	  0.90	293	355	--  	          4.23	
002039	黔源电力	-0.06	16.43	-0.01	16.43	16.44	15866	610	-0.06	          0.52	16.41	16.45	16.23	16.44	    19.47	25950398	  0.88	水力发电	贵州	1.34	16.36	9674	6192	  1.56	77	41	--  	          3.05	
002051	中工国际	2.20	25.59	0.55	25.58	25.59	59060	793	0.27	          0.64	25.05	25.70	24.80	25.04	    25.02	150016368	  0.75	建筑施工	北京	3.59	25.40	27073	31986	  0.85	41	100	--  	          9.20	
002186	全 聚 德	0.09	23.02	0.02	23.01	23.02	18813	650	0.00	          0.67	23.08	23.10	22.72	23.00	    41.07	43194628	  1.05	酒店餐饮	北京	1.65	22.96	10224	8589	  1.19	38	1041	--  	          2.81	
002236	大华股份	8.97	16.40	1.35	16.40	16.41	777384	15409	0.61	          4.55	15.10	16.42	15.10	15.05	    33.34	1237688448	  3.05	电器仪表	浙江	8.77	15.92	268135	509248	  0.53	3587	565	--  	         17.09	
002293	罗莱生活	0.15	13.48	0.02	13.48	13.49	16438	79	0.00	          0.23	13.46	13.53	13.32	13.46	    27.35	22081006	  0.75	纺织	江苏	1.56	13.43	8490	7947	  1.07	65	308	--  	          6.99	
002310	东方园林	2.49	15.23	0.37	15.22	15.23	340184	7512	0.13	          2.40	14.85	15.23	14.71	14.86	    59.14	513290048	  2.11	建筑施工	北京	3.50	15.09	151155	189029	  0.80	2270	400	--  	         14.16	
002315	焦点科技	0.46	65.48	0.30	65.47	65.48	13717	133	0.00	          2.26	64.97	65.50	64.24	65.18	   128.70	88948144	  0.97	互联网	江苏	1.93	64.85	7162	6554	  1.09	24	128	--  	          0.61	
002371	北方华创	3.76	31.44	1.14	31.44	31.45	106491	1610	0.06	          6.51	30.15	31.48	29.90	30.30	   172.04	330657984	  1.26	半导体	北京	5.21	31.05	47027	59463	  0.79	655	259	--  	          1.64	
002422	科伦药业	1.40	16.63	0.23	16.62	16.63	52115	414	0.00	          0.53	16.40	16.66	16.30	16.40	    33.42	86140104	  1.02	化学制药	四川	2.20	16.53	19457	32658	  0.60	188	133	--  	          9.83	
002456	欧菲光	4.62	36.03	1.59	36.02	36.03	317444	2829	0.00	          3.09	34.30	36.28	34.10	34.44	    51.79	1128560384	  2.66	元器件	深圳	6.33	35.55	123970	193473	  0.64	118	157	--  	         10.28	
002511	中顺洁柔	-0.40	19.99	-0.08	19.98	19.99	26571	118	-0.05	          0.55	19.80	20.20	19.80	20.07	    41.82	53038912	  0.63	造纸	广东	1.99	19.96	15064	11507	  1.31	29	34	--  	          4.84	
002572	索菲亚	0.45	64.39	0.29	64.37	64.39	16843	47	-0.01	          0.58	64.36	65.44	63.47	64.10	    54.63	108507192	  0.95	家居用品	广东	3.07	64.42	7646	9196	  0.83	40	14	--  	          2.89	
002588	史丹利	-0.28	10.68	-0.03	10.68	10.69	52961	352	0.00	          0.74	10.72	10.72	10.53	10.71	    20.17	56262468	  0.97	农药化肥	山东	1.77	10.62	32118	20843	  1.54	435	643	--  	          7.11	
