代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000058	深 赛 格	-0.28	10.61	-0.03	10.61	10.62	36247	518	0.09	          0.67	10.55	10.64	10.51	10.64	   232.57	38363800	  0.77	元器件	深圳	1.22	10.58	19977	16269	  1.23	96	201	--  	          5.38	
000065	北方国际	1.67	31.03	0.51	31.03	31.04	28485	451	0.03	          0.71	30.52	31.15	30.05	30.52	    74.91	87849824	  0.82	建筑施工	北京	3.60	30.84	13633	14851	  0.92	34	92	--  	          4.01	
000401	冀东水泥	1.84	13.84	0.25	13.83	13.84	199943	2658	0.07	          1.48	13.59	13.87	13.40	13.59	--  	274311936	  1.18	水泥	河北	3.46	13.72	88017	111926	  0.79	94	4135	--  	         13.47	
000409	山东地矿	0.08	12.35	0.01	12.34	12.35	69241	2671	0.00	          1.94	12.34	12.55	12.23	12.34	  2134.17	85740224	  1.27	综合类	山东	2.59	12.38	37464	31777	  1.18	873	435	--  	          3.58	
000504	*ST生物	-0.65	16.81	-0.11	16.81	16.87	6326	81	0.11	          0.20	16.85	16.92	16.67	16.92	--  	10631562	  0.48	出版业	湖南	1.48	16.81	3651	2675	  1.36	174	38	--  	          3.11	
000505	*ST珠江	-0.54	10.98	-0.06	10.98	10.99	28196	438	0.09	          0.78	11.00	11.08	10.91	11.04	--  	30903444	  0.61	房产服务	海南	1.54	10.96	18107	10089	  1.79	38	124	--  	          3.60	
000519	中兵红箭	1.28	16.68	0.21	16.68	16.69	214670	4016	0.12	          3.68	16.53	16.80	16.53	16.47	   377.56	358348640	  0.62	矿物制品	湖南	1.64	16.69	107399	107270	  1.00	695	1170	--  	          5.83	
000553	沙隆达Ａ	1.63	14.95	0.24	14.95	14.96	64942	1075	0.00	          1.78	14.60	15.07	14.50	14.71	   324.85	96545856	  0.89	农药化肥	湖北	3.87	14.87	29053	35888	  0.81	28	221	--  	          3.64	
000565	渝三峡Ａ	-1.25	12.62	-0.16	12.62	12.63	77137	1578	0.07	          1.78	12.82	12.82	12.51	12.78	    24.48	97387424	  0.72	染料涂料	重庆	2.43	12.63	47490	29646	  1.60	740	34	--  	          4.34	
000576	广东甘化	-0.13	15.74	-0.02	15.74	15.75	40197	273	0.12	          0.93	15.65	15.85	15.50	15.76	    68.07	63196484	  0.65	造纸	广东	2.22	15.72	20885	19312	  1.08	688	131	--  	          4.34	
000603	盛达矿业	3.28	16.98	0.54	16.97	16.98	107884	1119	0.05	          2.63	16.39	17.05	16.30	16.44	    60.71	181311312	  1.71	铅锌	北京	4.56	16.81	42726	65157	  0.66	443	21	--  	          4.09	
000606	*ST易桥	--  	12.64	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	12.64	   211.26	0	  0.00	化学制药	青海	0.00	12.64	0	0	--  	0	0	--  	          4.68	
000638	万方发展	-0.35	14.35	-0.05	14.35	14.36	43238	509	0.00	          1.40	14.31	14.35	14.00	14.40	   397.63	61409332	  0.41	批发业	辽宁	2.43	14.20	24402	18835	  1.30	202	113	--  	          3.09	
000711	京蓝科技	-9.99	29.29	-3.25	--  	29.29	155113	1024	0.00	          9.64	29.29	32.00	29.29	32.54	--  	462125504	  5.98	软件服务	黑龙江	8.33	29.79	58267	96845	  0.60	0	5131	--  	          1.61	
000803	金宇车城	--  	20.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.60	--  	0	  0.00	纺织	四川	0.00	20.60	0	0	--  	0	0	--  	          0.98	
000812	陕西金叶	-4.93	12.92	-0.67	12.92	12.93	196115	3286	-0.23	          4.39	13.46	13.50	12.60	13.59	   201.31	254311088	  0.79	广告包装	陕西	6.62	12.97	118208	77907	  1.52	1856	290	--  	          4.46	
000813	德展健康	0.41	14.68	0.06	14.68	14.69	16585	482	0.00	          0.46	14.65	14.75	14.48	14.62	    31.64	24278890	  0.67	化学制药	新疆	1.85	14.64	7115	9470	  0.75	131	297	--  	          3.63	
000829	天音控股	--  	11.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.28	   132.17	0	  0.00	其他商业	江西	0.00	11.28	0	0	--  	0	0	--  	          9.47	
