代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000543	皖能电力	0.42	7.15	0.03	7.14	7.15	105119	2343	0.14	          0.59	7.12	7.15	7.08	7.12	    12.43	74969976	  1.04	火力发电	安徽	0.98	7.13	55583	49536	  1.12	1226	3303	--  	         17.90	
000555	神州信息	1.15	22.94	0.26	22.93	22.94	92818	2076	0.08	          1.05	22.69	22.98	22.33	22.68	   134.40	210790160	  1.19	软件服务	深圳	2.87	22.71	48488	44329	  1.09	257	317	--  	          8.86	
000839	中信国安	7.67	11.51	0.82	11.50	11.51	2803002	44176	0.00	          7.15	10.69	11.75	10.60	10.69	   154.55	3128976640	  1.62	综合类	北京	10.76	11.16	1175230	1627772	  0.72	7664	20819	--  	         39.19	
000988	华工科技	2.30	16.02	0.36	16.01	16.02	184570	2453	0.12	          2.07	15.66	16.08	15.55	15.66	    63.87	293708800	  1.42	电器仪表	湖北	3.38	15.91	78738	105832	  0.74	1592	2041	--  	          8.91	
002089	新 海 宜	0.86	15.19	0.13	15.18	15.19	61531	1606	0.13	          1.26	15.01	15.23	14.90	15.06	   122.78	93146160	  0.63	通信设备	江苏	2.19	15.14	27981	33549	  0.83	222	594	--  	          4.90	
002115	三维通信	--  	10.53	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.53	--  	0	  0.00	通信设备	浙江	0.00	10.53	0	0	--  	0	0	--  	          3.43	
002126	银轮股份	2.09	9.29	0.19	9.29	9.30	173322	3446	0.10	          2.84	9.08	9.32	9.06	9.10	    28.16	159986928	  1.01	汽车配件	浙江	2.86	9.23	77044	96277	  0.80	965	5839	--  	          6.09	
002222	福晶科技	2.32	15.86	0.36	15.85	15.86	200032	5468	0.31	          4.77	15.32	15.86	15.09	15.50	    97.41	311164448	  0.66	元器件	福建	4.97	15.56	87599	112433	  0.78	320	411	--  	          4.20	
002224	三 力 士	0.52	15.45	0.08	15.44	15.45	119239	1722	0.12	          2.53	15.23	15.46	15.10	15.37	    49.29	182255280	  0.77	橡胶	浙江	2.34	15.28	61597	57641	  1.07	729	1637	--  	          4.72	
002281	光迅科技	-0.12	79.90	-0.10	79.89	79.90	51359	622	-0.23	          2.50	79.80	80.34	78.61	80.00	    58.77	408601216	  1.00	通信设备	湖北	2.16	79.56	31178	20180	  1.54	1	35	--  	          2.06	
002335	科华恒盛	--  	42.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	42.90	    87.58	0	  0.00	电气设备	福建	0.00	42.90	0	0	--  	0	0	--  	          1.86	
002359	齐星铁塔	0.40	27.52	0.11	27.52	27.54	44090	176	0.03	          1.06	27.50	27.80	27.35	27.41	--  	121282976	  0.91	钢加工	山东	1.64	27.51	22336	21754	  1.03	8	32	--  	          4.17	
300008	天海防务	0.51	25.54	0.13	25.53	25.54	76058	938	0.19	          4.12	25.43	25.69	25.35	25.41	    61.75	194043984	  0.56	船舶	上海	1.34	25.51	39999	36059	  1.11	454	62	--  	          1.85	
300297	蓝盾股份	-0.23	13.03	-0.03	13.03	13.04	71508	1535	0.07	          1.11	12.98	13.06	12.80	13.06	    80.53	92725608	  0.94	软件服务	广东	1.99	12.97	38031	33477	  1.14	49	284	--  	          6.46	
600105	永鼎股份	0.61	9.95	0.06	9.95	9.96	43882	101	0.10	          0.58	9.96	9.96	9.83	9.89	    44.17	43529228	  0.81	通信设备	江苏	1.31	9.92	20501	23381	  0.88	8	356	--  	          7.62	
600120	浙江东方	2.97	30.47	0.88	30.47	30.48	234836	43	0.09	          4.65	29.67	30.58	29.46	29.59	    24.39	706662144	  2.20	商贸代理	浙江	3.79	30.09	109226	125609	  0.87	201	92	--  	          5.05	
600260	凯乐科技	3.28	20.48	0.65	20.48	20.49	206663	2	-0.38	          3.88	19.78	20.65	19.69	19.83	    90.72	419938912	  1.33	通信设备	湖北	4.84	20.32	94862	111801	  0.85	18	5	--  	          5.33	
600340	华夏幸福	1.49	27.33	0.40	27.33	27.34	354624	697	0.07	          1.20	26.77	27.87	26.65	26.93	    13.16	974895232	  2.01	区域地产	河北	4.53	27.49	169817	184806	  0.92	5	109	--  	         29.55	
600487	亨通光电	2.36	23.44	0.54	23.38	23.39	504711	11	0.47	          4.07	22.95	23.85	22.70	22.90	    20.83	1176621440	  1.43	通信设备	江苏	5.02	23.31	241231	263480	  0.92	8	3	--  	         12.41	
600522	中天科技	3.15	11.46	0.35	11.44	11.45	887386	205	0.08	          3.90	11.08	11.48	11.07	11.11	    23.02	1006697408	  3.36	通信设备	江苏	3.69	11.34	369803	517583	  0.71	1638	25	--  	         22.76	
600990	四创电子	0.33	74.95	0.25	74.94	74.96	12164	45	0.17	          0.89	75.10	75.86	74.61	74.70	   256.48	91505952	  0.80	通信设备	安徽	1.67	75.23	6595	5569	  1.18	23	14	--  	          1.37	
601789	宁波建工	2.97	6.94	0.20	6.94	6.95	176021	1350	0.14	          1.80	6.75	6.95	6.74	6.74	    38.51	121249280	  2.29	建筑施工	浙江	3.12	6.89	73369	102651	  0.71	443	4111	--  	          9.76	
603703	盛洋科技	4.18	35.86	1.44	35.83	35.97	58884	3	0.47	          6.14	34.30	35.98	34.08	34.42	   323.77	208001504	  1.59	电气设备	浙江	5.52	35.32	18933	39950	  0.47	38	2	--  	          0.96	
数据来源:通达信
