代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000058	深 赛 格	-0.28	10.61	-0.03	10.61	10.62	36247	518	0.09	          0.67	10.55	10.64	10.51	10.64	   232.57	38363800	  0.77	元器件	深圳	1.22	10.58	19977	16269	  1.23	96	201	--  	          5.38	
000061	农 产 品	-0.09	11.60	-0.01	11.59	11.60	49421	94	0.08	          0.29	11.60	11.64	11.39	11.61	    69.00	56861416	  0.98	农业综合	深圳	2.15	11.51	27020	22401	  1.21	353	147	--  	         16.92	
000415	渤海金控	0.28	7.27	0.02	7.26	7.27	159594	3362	0.00	          0.51	7.22	7.27	7.15	7.25	    23.42	114994928	  0.69	多元金融	新疆	1.66	7.21	87159	72434	  1.20	1196	1698	--  	         31.16	
000419	通程控股	-0.23	8.64	-0.02	8.64	8.65	81265	576	-0.11	          1.50	8.61	8.70	8.35	8.66	    42.39	69693576	  0.42	百货	湖南	4.04	8.58	46550	34715	  1.34	712	257	--  	          5.43	
000421	南京公用	-0.99	9.01	-0.09	9.01	9.02	77999	700	0.00	          1.99	9.10	9.11	8.94	9.10	    30.00	70270024	  1.96	供气供热	江苏	1.87	9.01	49158	28841	  1.70	220	198	--  	          3.92	
000592	平潭发展	-0.16	6.41	-0.01	6.40	6.41	147737	1593	0.15	          0.77	6.43	6.43	6.30	6.42	   435.91	94164696	  1.14	林业	福建	2.02	6.37	85805	61932	  1.39	1210	1358	--  	         19.13	
000626	远大控股	-0.94	23.29	-0.22	23.28	23.29	33468	388	0.00	          0.83	23.59	23.60	23.18	23.51	    27.80	77839792	  1.21	商贸代理	江苏	1.79	23.26	18029	15438	  1.17	435	151	--  	          4.05	
000735	罗 牛 山	-0.42	7.11	-0.03	7.11	7.12	114422	1429	-0.14	          1.30	7.11	7.13	7.01	7.14	    76.65	80903072	  0.46	农业综合	海南	1.68	7.07	68815	45606	  1.51	1969	1391	--  	          8.79	
000828	东莞控股	0.07	13.49	0.01	13.49	13.50	138252	1351	0.07	          1.33	13.28	13.62	13.22	13.48	    16.79	185981184	  1.78	路桥	广东	2.97	13.45	67196	71056	  0.95	40	344	--  	         10.40	
000900	现代投资	0.93	8.65	0.08	8.65	8.66	61182	579	0.11	          0.61	8.54	8.67	8.52	8.57	    12.14	52693472	  0.75	路桥	湖南	1.75	8.61	21716	39466	  0.55	313	1871	--  	         10.10	
002120	韵达股份	0.21	47.47	0.10	47.47	47.48	14703	175	0.02	          1.50	47.40	47.97	46.72	47.37	   587.96	69830376	  0.56	仓储物流	浙江	2.64	47.49	5054	9649	  0.52	1	60	--  	          0.98	
002126	银轮股份	2.09	9.29	0.19	9.29	9.30	173322	3446	0.10	          2.84	9.08	9.32	9.06	9.10	    28.16	159986928	  1.01	汽车配件	浙江	2.86	9.23	77044	96277	  0.80	965	5839	--  	          6.09	
002131	利欧股份	0.47	14.81	0.07	14.80	14.81	186912	2243	0.06	          2.11	14.76	14.87	14.62	14.74	    40.97	275877024	  0.89	互联网	浙江	1.70	14.76	89451	97461	  0.92	629	28	--  	          8.87	
002133	广宇集团	2.04	7.52	0.15	7.51	7.52	117848	3201	0.13	          1.96	7.35	7.52	7.32	7.37	    27.25	87728744	  1.20	全国地产	浙江	2.71	7.44	48045	69802	  0.69	307	57	--  	          6.02	
002178	延华智能	0.71	11.31	0.08	11.30	11.31	142920	2002	-0.17	          2.49	11.16	11.45	11.14	11.23	   155.79	161360496	  1.17	建筑施工	上海	2.76	11.29	50746	92173	  0.55	314	1578	--  	          5.74	
002183	怡 亚 通	1.48	10.99	0.16	10.98	10.99	212643	1216	0.00	          1.01	10.80	11.05	10.72	10.83	    38.33	232177712	  1.41	仓储物流	深圳	3.05	10.92	104900	107743	  0.97	272	2505	--  	         20.98	
002245	澳洋顺昌	0.10	10.36	0.01	10.35	10.36	172564	1381	0.19	          1.90	10.29	10.48	10.13	10.35	    49.18	178201600	  0.66	仓储物流	江苏	3.38	10.33	91462	81101	  1.13	541	358	--  	          9.09	
002250	联化科技	-1.07	15.65	-0.17	15.65	15.66	103342	1235	0.64	          1.88	15.82	15.82	15.29	15.82	    44.38	159603136	  3.14	化工原料	浙江	3.35	15.44	54882	48460	  1.13	336	27	--  	          5.51	
002277	友阿股份	1.05	16.30	0.17	16.29	16.30	290508	3266	0.00	          5.13	16.15	16.52	15.99	16.13	    38.59	472230336	  1.64	百货	湖南	3.29	16.26	134841	155666	  0.87	1280	175	--  	          5.66	
002285	世联行	0.63	7.96	0.05	7.96	7.97	149880	349	-0.12	          0.88	7.91	7.97	7.79	7.91	    32.16	118153024	  0.92	房产服务	深圳	2.28	7.88	83025	66855	  1.24	1696	380	--  	         16.97	
002344	海宁皮城	0.47	10.63	0.05	10.62	10.63	44536	526	0.09	          0.40	10.58	10.65	10.43	10.58	    20.93	47103060	  0.91	商品城	浙江	2.08	10.58	25075	19461	  1.29	477	521	--  	         11.06	
002404	嘉欣丝绸	-0.11	8.92	-0.01	8.91	8.92	51559	880	0.11	          1.29	8.89	8.94	8.79	8.93	    52.62	45666460	  0.87	纺织	浙江	1.68	8.86	22569	28989	  0.78	1	242	--  	          3.99	
