代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000545	金浦钛业	0.29	6.93	0.02	6.92	6.93	486033	11949	0.28	          5.07	6.85	6.93	6.74	6.91	    56.61	332620896	  0.49	化工原料	吉林	2.75	6.84	251586	234447	  1.07	8229	934	--  	          9.59	
000629	*ST钒钛	0.79	2.55	0.02	2.54	2.55	295133	5655	0.39	          0.62	2.53	2.55	2.51	2.53	--  	74807904	  0.60	普钢	四川	1.58	2.53	150296	144836	  1.04	15799	50981	--  	         47.67	
000635	英 力 特	-2.38	26.71	-0.65	26.71	26.72	82233	871	0.07	          2.71	27.10	27.10	26.42	27.36	   147.14	219753712	  1.05	化工原料	宁夏	2.49	26.72	51092	31140	  1.64	217	29	--  	          3.03	
000709	河钢股份	1.32	3.84	0.05	3.83	3.84	631072	7486	0.26	          0.59	3.80	3.85	3.74	3.79	    32.77	239597536	  0.80	普钢	河北	2.90	3.80	299043	332029	  0.90	12235	11356	--  	        106.17	
000962	*ST东钽	0.45	13.26	0.06	13.25	13.26	80417	2215	0.15	          1.82	13.06	13.31	12.96	13.20	   201.53	105832152	  0.95	小金属	宁夏	2.65	13.16	39943	40474	  0.99	845	252	--  	          4.41	
002136	安 纳 达	1.08	19.72	0.21	19.71	19.72	90799	2190	0.20	          4.25	19.34	19.75	19.26	19.51	    99.74	177950720	  0.64	化工原料	安徽	2.51	19.60	44287	46512	  0.95	492	10	--  	          2.14	
002140	东华科技	1.11	14.52	0.16	14.51	14.52	31503	1045	0.06	          0.72	14.36	14.52	14.21	14.36	    59.13	45486900	  0.64	建筑施工	安徽	2.16	14.44	13306	18196	  0.73	382	2	--  	          4.39	
002145	中核钛白	-0.91	6.55	-0.06	6.55	6.56	415088	4523	0.00	          4.06	6.60	6.60	6.45	6.61	   168.60	271211520	  0.86	化工原料	甘肃	2.27	6.53	231125	183963	  1.26	5116	4359	--  	         10.22	
002149	西部材料	1.33	29.74	0.39	29.74	29.75	19046	585	0.06	          1.09	29.40	29.95	29.20	29.35	   561.74	56463972	  0.55	小金属	陕西	2.56	29.65	8587	10458	  0.82	87	134	--  	          1.75	
002167	东方锆业	2.43	12.63	0.30	12.62	12.63	129148	1862	-0.07	          2.74	12.33	12.74	12.16	12.33	  1948.17	161180528	  0.72	小金属	广东	4.70	12.48	53021	76127	  0.70	213	1035	--  	          4.72	
002386	天原集团	1.03	8.80	0.09	8.80	8.81	85711	916	0.00	          1.28	8.74	8.85	8.67	8.71	   107.20	75296144	  0.63	化工原料	四川	2.07	8.78	36247	49463	  0.73	144	973	--  	          6.72	
002601	龙蟒佰利	2.28	15.67	0.35	15.67	15.68	157261	4034	0.25	          2.40	15.27	15.68	15.21	15.32	   199.89	243452048	  0.72	化工原料	河南	3.07	15.48	68076	89185	  0.76	2824	393	--  	          6.55	
600456	宝钛股份	1.83	23.38	0.42	23.39	23.40	145097	97	0.73	          3.37	22.78	23.41	22.44	22.96	--  	332005312	  0.73	小金属	陕西	4.22	22.88	72277	72820	  0.99	856	545	--  	          4.30	
数据来源:通达信
