代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000008	神州高铁	1.17	8.67	0.10	8.67	8.68	91970	1337	0.00	          0.46	8.57	8.74	8.42	8.57	    84.21	78601520	  1.63	运输设备	北京	3.73	8.55	44883	47086	  0.95	525	1208	--  	         19.95	
000065	北方国际	1.67	31.03	0.51	31.03	31.04	28485	451	0.03	          0.71	30.52	31.15	30.05	30.52	    74.91	87849824	  0.82	建筑施工	北京	3.60	30.84	13633	14851	  0.92	34	92	--  	          4.01	
000595	宝塔实业	0.68	10.34	0.07	10.34	10.35	730315	13545	0.00	         14.75	10.05	10.52	9.93	10.27	--  	751340736	  0.76	机械基件	宁夏	5.74	10.29	371549	358766	  1.04	5377	7692	--  	          4.95	
000609	绵石投资	-1.04	19.89	-0.21	19.89	19.90	35988	781	0.25	          1.35	20.05	20.09	19.50	20.10	    35.49	71383256	  0.38	区域地产	北京	2.94	19.84	20509	15478	  1.33	417	133	--  	          2.66	
000629	*ST钒钛	0.79	2.55	0.02	2.54	2.55	295133	5655	0.39	          0.62	2.53	2.55	2.51	2.53	--  	74807904	  0.60	普钢	四川	1.58	2.53	150296	144836	  1.04	15799	50981	--  	         47.67	
000887	中鼎股份	-1.52	24.65	-0.38	24.64	24.65	148778	2590	0.08	          1.34	25.01	25.01	24.51	25.03	    28.57	367271296	  1.28	橡胶	安徽	2.00	24.69	95377	53401	  1.79	244	216	--  	         11.14	
000898	鞍钢股份	2.45	5.86	0.14	5.85	5.86	255998	2793	0.17	          0.42	5.73	5.86	5.64	5.72	    32.55	147724160	  1.17	普钢	辽宁	3.85	5.77	79414	176583	  0.45	1488	3896	--  	         61.49	
000920	南方汇通	0.13	15.08	0.02	15.08	15.09	53897	560	0.39	          1.28	15.09	15.09	14.86	15.06	    58.96	80645920	  1.49	环境保护	贵州	1.53	14.96	24885	29011	  0.86	45	114	--  	          4.22	
000925	众合科技	0.54	24.15	0.13	24.15	24.16	59738	1868	-0.12	          1.96	23.82	24.47	23.82	24.02	--  	144512480	  0.84	专用机械	浙江	2.71	24.19	31061	28677	  1.08	181	194	--  	          3.06	
000967	盈峰环境	0.32	15.65	0.05	15.65	15.66	48623	538	0.12	          1.09	15.51	15.78	15.40	15.60	    52.53	75776632	  0.76	电气设备	浙江	2.44	15.58	22408	26214	  0.85	272	302	--  	          4.45	
000976	春晖股份	-0.51	9.85	-0.05	9.85	9.86	126503	1517	0.20	          2.16	9.94	10.00	9.80	9.90	   105.01	124787096	  1.06	化纤	广东	2.02	9.86	82849	43654	  1.90	976	430	--  	          5.87	
