代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000009	中国宝安	0.41	9.75	0.04	9.74	9.75	192589	2225	0.20	          0.91	9.66	9.77	9.62	9.71	    74.71	186969376	  0.79	综合类	深圳	1.54	9.71	93919	98669	  0.95	6003	2316	--  	         21.20	
000049	德赛电池	9.99	51.19	4.65	51.19	--  	103259	118	0.00	          5.03	47.30	51.19	47.30	46.54	    59.09	513457216	  3.10	电气设备	深圳	8.36	49.73	53099	50160	  1.06	14896	0	--  	          2.05	
000413	东旭光电	--  	10.21	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.21	    47.18	0	  0.00	元器件	河北	0.00	10.21	0	0	--  	0	0	--  	         29.89	
000559	万向钱潮	0.87	12.74	0.11	12.73	12.74	82183	3027	0.31	          0.36	12.67	12.74	12.51	12.63	    35.06	103723376	  0.79	汽车配件	浙江	1.82	12.62	42323	39860	  1.06	520	1685	--  	         22.90	
000571	新大洲Ａ	-0.26	7.65	-0.02	7.65	7.66	44935	561	-0.13	          0.61	7.65	7.69	7.59	7.67	    72.27	34370816	  0.84	煤炭开采	海南	1.30	7.65	24497	20438	  1.20	647	427	--  	          7.36	
000636	风华高科	2.00	10.72	0.21	10.72	10.73	153875	926	-0.09	          1.89	10.56	10.78	10.43	10.51	    65.01	163933632	  1.06	元器件	广东	3.33	10.65	66422	87452	  0.76	1708	258	--  	          8.13	
000733	振华科技	--  	18.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.82	    40.60	0	  0.00	元器件	贵州	0.00	18.82	0	0	--  	0	0	--  	          4.29	
000760	斯太尔	1.18	10.26	0.12	10.26	10.27	115293	1583	-0.29	          1.76	10.08	10.68	9.91	10.14	--  	118704840	  1.37	汽车配件	湖北	7.59	10.30	50721	64572	  0.79	53	403	--  	          6.54	
000762	西藏矿业	0.56	18.04	0.10	18.03	18.04	97704	854	0.16	          2.05	17.82	18.05	17.51	17.94	   546.71	173939984	  0.75	小金属	西藏	3.01	17.80	50863	46840	  1.09	17	1015	--  	          4.76	
000839	中信国安	7.67	11.51	0.82	11.50	11.51	2803002	44176	0.00	          7.15	10.69	11.75	10.60	10.69	   154.55	3128976640	  1.62	综合类	北京	10.76	11.16	1175230	1627772	  0.72	7664	20819	--  	         39.19	
000913	*ST钱江	-1.83	17.75	-0.33	17.75	17.78	22819	762	-0.39	          0.50	18.04	18.04	17.71	18.08	   109.51	40745684	  0.77	摩托车	浙江	1.83	17.86	14290	8528	  1.68	266	1	--  	          4.53	
000962	*ST东钽	0.45	13.26	0.06	13.25	13.26	80417	2215	0.15	          1.82	13.06	13.31	12.96	13.20	   201.53	105832152	  0.95	小金属	宁夏	2.65	13.16	39943	40474	  0.99	845	252	--  	          4.41	
