代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000559	万向钱潮	0.87	12.74	0.11	12.73	12.74	82183	3027	0.31	          0.36	12.67	12.74	12.51	12.63	    35.06	103723376	  0.79	汽车配件	浙江	1.82	12.62	42323	39860	  1.06	520	1685	--  	         22.90	
002221	东华能源	0.62	13.06	0.08	13.05	13.06	49811	668	0.15	          0.39	12.96	13.10	12.89	12.98	    43.49	64918864	  0.74	石油贸易	江苏	1.62	13.03	19275	30535	  0.63	383	275	--  	         12.72	
002223	鱼跃医疗	0.35	31.45	0.11	31.45	31.46	26112	638	-0.09	          0.53	31.34	31.52	31.05	31.34	    36.49	81810696	  0.84	医疗保健	江苏	1.50	31.33	12186	13925	  0.88	735	35	--  	          4.94	
002236	大华股份	8.97	16.40	1.35	16.40	16.41	777384	15409	0.61	          4.55	15.10	16.42	15.10	15.05	    33.34	1237688448	  3.05	电器仪表	浙江	8.77	15.92	268135	509248	  0.53	3587	565	--  	         17.09	
002304	洋河股份	1.30	86.31	1.11	86.31	86.34	27309	290	0.10	          0.22	85.10	87.63	84.70	85.20	    20.16	236671280	  0.78	白酒	江苏	3.44	86.66	13388	13921	  0.96	190	1	--  	         12.32	
002415	海康威视	2.10	30.18	0.62	30.17	30.18	205430	2868	0.00	          0.42	29.55	30.44	29.51	29.56	    28.73	618551744	  1.39	电器仪表	浙江	3.15	30.11	89812	115617	  0.78	10	502	--  	         48.38	
002426	胜利精密	--  	7.68	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.68	    33.92	0	  0.00	元器件	江苏	0.00	7.68	0	0	--  	0	0	--  	         19.45	
002450	康得新	1.78	19.39	0.34	19.38	19.39	601147	2469	-0.05	          2.09	19.07	19.56	18.93	19.05	    36.23	1160432768	  2.06	化工原料	江苏	3.31	19.30	260050	341096	  0.76	2526	576	--  	         28.76	
300017	网宿科技	2.04	53.60	1.07	53.60	53.61	129555	1274	0.03	          2.56	52.70	54.20	52.02	52.53	    34.81	689855040	  0.83	电信运营	上海	4.15	53.25	57422	72132	  0.80	564	35	--  	          5.06	
300027	华谊兄弟	0.19	10.63	0.02	10.63	10.64	160738	3568	0.09	          0.84	10.63	10.66	10.48	10.61	    35.69	170106224	  0.69	影视音像	浙江	1.70	10.58	84588	76150	  1.11	878	1384	--  	         19.03	
300059	东方财富	0.00	16.00	0.00	15.99	16.00	244255	4469	0.06	          0.92	15.98	16.05	15.72	16.00	    79.76	388575616	  0.71	互联网	上海	2.06	15.91	122596	121658	  1.01	2455	3983	--  	         26.48	
300061	康耐特	0.52	23.11	0.12	23.10	23.11	20682	84	0.04	          1.42	22.83	23.25	22.38	22.99	   210.52	47314144	  1.15	医疗保健	上海	3.78	22.88	12644	8037	  1.57	7	3	--  	          1.45	
300144	宋城演艺	2.84	21.70	0.60	21.69	21.70	131906	1147	0.00	          1.17	21.20	21.95	21.08	21.10	    34.93	285242432	  1.16	旅游景点	浙江	4.12	21.62	69988	61917	  1.13	366	20	--  	         11.26	
300253	卫宁健康	0.52	19.20	0.10	19.20	19.21	60847	1695	0.10	          1.01	19.02	19.25	18.87	19.10	    26.36	116238424	  0.73	软件服务	上海	1.99	19.10	28270	32577	  0.87	130	338	--  	          6.00	
600000	浦发银行	0.68	16.34	0.11	16.33	16.34	179501	20	0.12	          0.09	16.23	16.34	16.16	16.23	     6.51	291999360	  1.30	银行	上海	1.11	16.27	64109	115392	  0.56	1137	2032	--  	        205.19	
