代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000157	中联重科	1.46	4.85	0.07	4.85	4.86	528493	4927	-0.20	          0.84	4.80	4.86	4.77	4.78	--  	255423616	  1.10	工程机械	湖南	1.88	4.83	186074	342418	  0.54	8094	13470	--  	         62.66	
000419	通程控股	-0.23	8.64	-0.02	8.64	8.65	81265	576	-0.11	          1.50	8.61	8.70	8.35	8.66	    42.39	69693576	  0.42	百货	湖南	4.04	8.58	46550	34715	  1.34	712	257	--  	          5.43	
000428	华天酒店	0.55	7.30	0.04	7.30	7.31	61068	1758	0.13	          0.85	7.28	7.31	7.17	7.26	--  	44396244	  1.16	酒店餐饮	湖南	1.93	7.27	36490	24577	  1.48	952	781	--  	          7.19	
000430	张家界	0.00	12.40	0.00	12.40	12.42	21041	645	-0.24	          1.01	12.34	12.43	12.24	12.40	    30.93	26005190	  0.55	旅游景点	湖南	1.53	12.36	10100	10940	  0.92	190	13	--  	          2.09	
000548	湖南投资	0.63	9.59	0.06	9.59	9.60	141018	3583	0.10	          2.82	9.50	9.61	9.38	9.53	    60.18	134175448	  0.75	路桥	湖南	2.41	9.51	68941	72077	  0.96	10	1106	--  	          4.99	
000590	启迪古汉	0.05	19.68	0.01	19.68	19.69	10770	122	0.05	          0.48	19.67	19.85	19.24	19.67	   267.17	21094476	  0.49	中成药	湖南	3.10	19.59	4624	6145	  0.75	6	61	--  	          2.23	
000702	正虹科技	-0.77	14.25	-0.11	14.20	14.25	27925	229	0.49	          1.05	14.48	14.48	14.10	14.36	--  	39690184	  0.48	饲料	湖南	2.65	14.21	17417	10507	  1.66	80	215	--  	          2.67	
000722	湖南发展	-0.39	15.52	-0.06	15.52	15.53	42426	528	-0.06	          0.91	15.53	15.60	15.20	15.58	    38.96	65419708	  0.46	水力发电	湖南	2.57	15.42	21529	20896	  1.03	346	211	--  	          4.64	
000738	中航动控	1.00	25.15	0.25	25.15	25.16	83798	1056	0.03	          0.73	24.94	25.20	24.93	24.90	   136.01	209874976	  1.22	航空	江苏	1.08	25.05	30406	53392	  0.57	501	222	--  	         11.46	
000799	酒鬼酒	5.53	23.66	1.24	23.66	23.67	204620	3019	-0.21	          9.13	22.16	23.79	22.16	22.42	    88.01	475042272	  1.60	白酒	湖南	7.27	23.22	84120	120500	  0.70	398	91	--  	          2.24	
000819	岳阳兴长	0.11	26.26	0.03	26.25	26.26	28176	517	0.03	          1.09	26.23	26.46	25.96	26.23	   182.89	74145768	  1.17	石油加工	湖南	1.91	26.32	14936	13239	  1.13	156	136	--  	          2.58	
000900	现代投资	0.93	8.65	0.08	8.65	8.66	61182	579	0.11	          0.61	8.54	8.67	8.52	8.57	    12.14	52693472	  0.75	路桥	湖南	1.75	8.61	21716	39466	  0.55	313	1871	--  	         10.10	
000906	浙商中拓	1.36	16.43	0.22	16.42	16.43	63061	2514	0.06	          1.91	16.40	16.52	16.23	16.21	    50.41	103367168	  0.91	批发业	湖南	1.79	16.39	29670	33390	  0.89	574	153	--  	          3.31	
000908	景峰医药	0.88	10.37	0.09	10.36	10.37	23642	254	0.00	          0.49	10.25	10.38	10.25	10.28	    40.93	24399566	  0.76	化学制药	湖南	1.26	10.32	10928	12714	  0.86	163	194	--  	          4.80	
000917	电广传媒	1.92	14.36	0.27	14.35	14.36	181244	2053	0.06	          1.71	14.13	14.46	14.04	14.09	    71.28	258767568	  1.49	影视音像	湖南	2.98	14.28	73307	107936	  0.68	136	131	--  	         10.62	
000918	嘉凯城	-0.37	8.01	-0.03	8.01	8.02	165335	2125	0.12	          0.92	7.91	8.08	7.86	8.04	--  	131713768	  0.89	全国地产	浙江	2.74	7.97	87514	77820	  1.12	502	913	--  	         18.04	
000932	华菱钢铁	0.39	5.13	0.02	5.13	5.14	94677	1133	0.00	          0.31	5.11	5.13	5.07	5.11	--  	48342568	  0.75	普钢	湖南	1.17	5.11	48778	45899	  1.06	85	3448	--  	         30.15	
000989	九 芝 堂	0.09	21.27	0.02	21.26	21.27	19932	305	0.09	          0.62	21.35	21.36	21.01	21.25	    29.91	42216768	  1.19	中成药	湖南	1.65	21.18	12026	7905	  1.52	372	60	--  	          3.22	
