代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000156	华数传媒	0.68	17.72	0.12	17.71	17.72	30672	234	0.05	          0.31	17.60	17.75	17.38	17.60	    41.55	53883588	  1.11	影视音像	浙江	2.10	17.57	14238	16433	  0.87	280	79	--  	          9.94	
000906	浙商中拓	1.36	16.43	0.22	16.42	16.43	63061	2514	0.06	          1.91	16.40	16.52	16.23	16.21	    50.41	103367168	  0.91	批发业	湖南	1.79	16.39	29670	33390	  0.89	574	153	--  	          3.31	
002024	苏宁云商	0.36	11.03	0.04	11.03	11.04	247861	1835	0.00	          0.49	10.99	11.07	10.91	10.99	--  	272784192	  1.00	电器连锁	江苏	1.46	11.01	117866	129994	  0.91	3013	3433	--  	         50.18	
002153	石基信息	0.04	23.05	0.01	23.04	23.05	23035	321	-0.04	          0.47	23.24	23.24	22.88	23.04	    69.70	52935028	  1.39	软件服务	北京	1.56	22.98	11062	11973	  0.92	25	215	--  	          4.89	
002223	鱼跃医疗	0.35	31.45	0.11	31.45	31.46	26112	638	-0.09	          0.53	31.34	31.52	31.05	31.34	    36.49	81810696	  0.84	医疗保健	江苏	1.50	31.33	12186	13925	  0.88	735	35	--  	          4.94	
002230	科大讯飞	1.08	34.59	0.37	34.59	34.60	633294	6215	0.02	          5.46	34.98	35.97	34.34	34.22	   122.25	2222599680	  0.92	软件服务	安徽	4.76	35.10	325352	307942	  1.06	568	324	--  	         11.60	
002401	中海科技	0.00	17.32	0.00	17.32	17.33	22510	184	0.05	          0.75	17.20	17.35	17.03	17.32	    81.03	38713572	  0.85	软件服务	上海	1.85	17.20	12766	9743	  1.31	709	576	--  	          3.00	
002649	博彦科技	1.04	39.81	0.41	39.81	39.82	26116	632	0.07	          1.94	39.40	39.85	39.08	39.40	    45.03	103544432	  0.88	软件服务	北京	1.95	39.65	11552	14564	  0.79	268	144	--  	          1.35	
300027	华谊兄弟	0.19	10.63	0.02	10.63	10.64	160738	3568	0.09	          0.84	10.63	10.66	10.48	10.61	    35.69	170106224	  0.69	影视音像	浙江	1.70	10.58	84588	76150	  1.11	878	1384	--  	         19.03	
300228	富瑞特装	-1.25	14.17	-0.18	14.17	14.18	108708	1130	0.14	          2.81	14.21	14.35	13.96	14.35	--  	153140704	  0.95	化工机械	江苏	2.72	14.09	63895	44812	  1.43	67	417	--  	          3.87	
300245	天玑科技	0.80	17.64	0.14	17.64	17.65	38470	664	0.17	          1.95	17.48	17.67	17.20	17.50	    72.94	67208584	  0.67	软件服务	上海	2.69	17.47	17895	20574	  0.87	384	279	--  	          1.97	
300251	光线传媒	0.00	9.70	0.00	9.70	9.71	98581	1136	0.00	          0.36	9.69	9.73	9.60	9.70	    36.77	95402976	  0.89	影视音像	北京	1.34	9.68	49438	49142	  1.01	286	2513	--  	         27.52	
300274	阳光电源	0.48	10.51	0.05	10.50	10.51	78249	1394	0.09	          0.93	10.43	10.54	10.33	10.46	    37.54	81884848	  0.84	电气设备	安徽	2.01	10.46	43880	34368	  1.28	1025	460	--  	          8.42	
300349	金卡股份	0.71	31.28	0.22	31.28	31.30	11714	354	0.22	          0.78	30.98	31.29	30.91	31.06	    98.95	36530772	  0.72	电器仪表	浙江	1.22	31.19	5067	6646	  0.76	57	5	--  	          1.49	
600037	歌华有线	0.73	15.24	0.11	15.24	15.25	47957	2	0.00	          0.41	15.12	15.25	15.05	15.13	    26.74	72808064	  0.65	影视音像	北京	1.32	15.18	23774	24183	  0.98	211	1966	--  	         11.68	
600055	万东医疗	0.06	17.29	0.01	17.29	17.30	19786	16	0.05	          0.57	17.42	17.42	17.10	17.28	   111.53	34178544	  0.58	医疗保健	北京	1.85	17.27	10468	9318	  1.12	15	176	--  	          3.46	
600058	五矿发展	0.00	15.32	0.00	15.31	15.32	51168	9	0.00	          0.48	15.25	15.33	15.07	15.32	   412.11	77944304	  0.63	商贸代理	北京	1.70	15.23	28869	22298	  1.29	249	18	--  	         10.72	
600130	波导股份	0.46	8.66	0.04	8.66	8.67	118124	23	-0.23	          1.54	8.67	8.74	8.52	8.62	   229.53	101755984	  0.91	通信设备	浙江	2.55	8.61	52347	65776	  0.80	371	677	--  	          7.68	
600233	圆通速递	0.08	24.54	0.02	24.53	24.55	79690	84	0.08	          2.41	24.56	24.67	24.14	24.52	    53.21	194245440	  0.56	仓储物流	辽宁	2.16	24.38	40184	39506	  1.02	117	79	--  	          3.30	
600332	白云山	3.98	28.21	1.08	28.22	28.23	196927	6	0.46	          1.84	27.09	28.57	27.09	27.13	    32.56	550452352	  2.36	中成药	广东	5.46	27.95	75165	121762	  0.62	19	77	--  	         10.71	
600410	华胜天成	1.46	10.40	0.15	10.40	10.41	63477	18	0.38	          0.71	10.21	10.41	10.19	10.25	   341.85	65523352	  0.75	软件服务	北京	2.15	10.32	22112	41365	  0.53	37	1	--  	          8.92	
