代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000540	中天城投	2.76	6.70	0.18	6.69	6.70	414902	7851	0.00	          1.05	6.52	6.75	6.44	6.52	    11.50	274821088	  2.09	区域地产	贵州	4.75	6.62	157088	257813	  0.61	3819	2627	--  	         39.46	
000656	金科股份	1.93	5.82	0.11	5.81	5.82	288312	2685	0.17	          0.78	5.71	5.85	5.68	5.71	    23.13	167100464	  1.04	区域地产	重庆	2.98	5.80	120217	168094	  0.72	2660	12990	--  	         36.74	
000722	湖南发展	-0.39	15.52	-0.06	15.52	15.53	42426	528	-0.06	          0.91	15.53	15.60	15.20	15.58	    38.96	65419708	  0.46	水力发电	湖南	2.57	15.42	21529	20896	  1.03	346	211	--  	          4.64	
000777	中核科技	0.23	21.83	0.05	21.83	21.84	55444	491	0.00	          1.45	21.78	21.85	21.43	21.78	   133.00	120138016	  0.88	机械基件	江苏	1.93	21.67	26956	28487	  0.95	35	158	--  	          3.83	
000852	石化机械	1.31	12.34	0.16	12.33	12.34	43725	333	-0.08	          0.73	12.11	12.42	11.92	12.18	--  	53184628	  0.72	化工机械	湖北	4.11	12.16	21854	21870	  1.00	373	61	--  	          5.98	
000875	吉电股份	0.50	6.08	0.03	6.08	6.09	82805	756	0.00	          0.74	6.05	6.09	6.01	6.05	   162.96	50200372	  0.83	火力发电	吉林	1.32	6.06	35385	47420	  0.75	1076	4991	--  	         11.16	
000883	湖北能源	0.63	4.78	0.03	4.77	4.78	107673	992	0.00	          0.20	4.76	4.79	4.71	4.75	    12.75	51197832	  0.97	火力发电	湖北	1.68	4.75	53728	53944	  1.00	2871	1811	--  	         53.46	
000968	*ST煤气	1.00	13.08	0.13	13.07	13.08	59266	2106	0.53	          2.28	12.93	13.10	12.70	12.95	--  	76543520	  0.66	煤炭开采	山西	3.09	12.92	27939	31326	  0.89	27	914	--  	          2.60	
002021	中捷资源	0.65	9.26	0.06	9.25	9.26	37884	264	0.00	          0.67	9.23	9.30	9.14	9.20	--  	35001700	  0.78	纺织机械	浙江	1.74	9.24	16472	21411	  0.77	362	322	--  	          5.68	
002221	东华能源	0.62	13.06	0.08	13.05	13.06	49811	668	0.15	          0.39	12.96	13.10	12.89	12.98	    43.49	64918864	  0.74	石油贸易	江苏	1.62	13.03	19275	30535	  0.63	383	275	--  	         12.72	
002278	神开股份	-0.58	17.05	-0.10	17.03	17.05	90726	1127	0.41	          3.05	17.02	17.16	16.81	17.15	--  	154758032	  1.16	化工机械	上海	2.04	17.06	37482	53243	  0.70	17	298	--  	          2.97	
002353	杰瑞股份	0.86	22.24	0.19	22.24	22.25	125787	1380	0.00	          1.87	21.97	22.30	21.48	22.05	   152.34	275869696	  1.04	化工机械	山东	3.72	21.93	62309	63478	  0.98	91	478	--  	          6.74	
002444	巨星科技	0.78	16.80	0.13	16.80	16.81	157179	2169	-0.05	          1.55	16.75	17.07	16.73	16.67	    29.39	265318400	  0.78	轻工机械	浙江	2.04	16.88	81751	75428	  1.08	688	328	--  	         10.12	
002476	宝莫股份	0.11	9.14	0.01	9.14	9.15	77763	1396	0.00	          1.29	9.09	9.14	8.94	9.13	   221.04	70313920	  0.92	化工原料	山东	2.19	9.04	42388	35374	  1.20	1142	882	--  	          6.02	
002490	山东墨龙	0.24	8.44	0.02	8.44	8.45	282185	8856	0.11	          9.41	8.44	8.50	8.20	8.42	   605.31	235507184	  0.52	化工机械	山东	3.56	8.35	148985	133199	  1.12	710	1809	--  	          3.00	
002535	林州重机	0.28	7.27	0.02	7.27	7.28	82715	1984	0.13	          1.59	7.25	7.29	7.17	7.25	   346.70	59873224	  0.94	工程机械	河南	1.66	7.24	48358	34356	  1.41	148	2653	--  	          5.20	
002554	惠博普	0.51	7.83	0.04	7.83	7.84	69405	1506	0.12	          1.11	7.79	7.84	7.60	7.79	    59.61	53868204	  0.70	石油开采	北京	3.08	7.76	34660	34745	  1.00	291	1115	--  	          6.24	
