代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000592	平潭发展	-0.16	6.41	-0.01	6.40	6.41	147737	1593	0.15	          0.77	6.43	6.43	6.30	6.42	   435.91	94164696	  1.14	林业	福建	2.02	6.37	85805	61932	  1.39	1210	1358	--  	         19.13	
000663	永安林业	0.26	15.31	0.04	15.31	15.32	43788	295	0.06	          2.31	15.18	15.39	15.06	15.27	   443.74	66966712	  0.75	林业	福建	2.16	15.29	21867	21920	  1.00	285	132	--  	          1.89	
002259	升达林业	0.11	9.11	0.01	9.11	9.12	94149	702	0.00	          1.55	9.03	9.20	8.95	9.10	   537.30	85344840	  0.66	家居用品	四川	2.75	9.06	45848	48301	  0.95	17	323	--  	          6.08	
002679	福建金森	0.34	35.48	0.12	35.46	35.48	21606	634	0.59	          1.56	35.37	35.50	35.00	35.36	--  	76213624	  0.60	林业	福建	1.41	35.27	12389	9217	  1.34	20	60	--  	          1.39	
300021	大禹节水	-1.64	19.16	-0.32	19.16	19.17	71404	1621	0.05	          4.31	19.33	19.35	19.00	19.48	   218.76	136841808	  0.70	农业综合	甘肃	1.80	19.16	38203	33200	  1.15	218	110	--  	          1.66	
300197	铁汉生态	1.72	11.86	0.20	11.86	11.87	121759	831	0.00	          1.54	11.67	11.98	11.60	11.66	    46.87	143919088	  1.18	环境保护	深圳	3.26	11.82	51642	70117	  0.74	1272	205	--  	          7.89	
300355	蒙草生态	3.17	12.03	0.37	12.02	12.03	369572	7969	0.00	          6.18	11.68	12.05	11.65	11.66	    37.64	439113760	  0.69	环境保护	内蒙	3.43	11.88	158240	211332	  0.75	1309	855	--  	          5.98	
600189	吉林森工	1.08	12.12	0.13	12.12	12.13	130838	50	0.08	          4.21	11.95	12.25	11.92	11.99	    72.79	158678368	  1.42	林业	吉林	2.75	12.13	62265	68573	  0.91	215	720	--  	          3.11	
600265	ST景谷	0.56	34.34	0.19	34.33	34.35	5999	10	0.05	          0.46	34.08	34.50	34.08	34.15	   132.23	20627922	  0.86	林业	云南	1.23	34.39	3094	2904	  1.07	5	5	--  	          1.30	
600277	亿利洁能	0.00	7.83	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	7.83	    73.93	0	  0.00	新型电力	内蒙	0.00	7.83	0	0	--  	0	0	--  	         20.90	
600963	岳阳林纸	0.35	8.61	0.03	8.60	8.61	56428	34	0.11	          0.54	8.58	8.62	8.45	8.58	   363.41	48274704	  0.70	造纸	湖南	1.98	8.56	31904	24523	  1.30	121	488	--  	         10.43	
601996	丰林集团	-0.57	12.25	-0.07	12.21	12.22	273290	295	0.32	          5.83	12.25	12.34	12.05	12.32	    60.82	332609568	  0.71	林业	广西	2.35	12.17	150051	123239	  1.22	376	141	--  	          4.69	
数据来源:通达信
