代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000027	深圳能源	0.86	7.02	0.06	7.02	7.03	102799	264	0.00	          0.26	6.95	7.03	6.81	6.96	    15.60	71411424	  1.57	火力发电	深圳	3.16	6.95	52456	50342	  1.04	392	3512	--  	         39.64	
000507	珠海港	1.02	6.93	0.07	6.92	6.93	99624	1278	0.00	          1.29	6.84	6.93	6.81	6.86	    48.85	68639448	  0.42	港口	广东	1.75	6.89	42730	56894	  0.75	2886	1199	--  	          7.72	
000539	粤电力Ａ	0.73	5.53	0.04	5.53	5.54	64680	1422	0.00	          0.25	5.49	5.54	5.45	5.49	    14.75	35546316	  0.84	火力发电	广东	1.64	5.50	32739	31941	  1.02	1195	2765	--  	         25.54	
000616	海航投资	0.40	5.08	0.02	5.07	5.08	81588	2763	0.19	          0.57	5.07	5.09	5.04	5.06	--  	41347168	  1.11	全国地产	辽宁	0.99	5.07	32708	48879	  0.67	4398	187	--  	         14.30	
000656	金科股份	1.93	5.82	0.11	5.81	5.82	288312	2685	0.17	          0.78	5.71	5.85	5.68	5.71	    23.13	167100464	  1.04	区域地产	重庆	2.98	5.80	120217	168094	  0.72	2660	12990	--  	         36.74	
000720	新能泰山	0.16	6.43	0.01	6.42	6.43	56958	1015	0.00	          0.66	6.45	6.46	6.34	6.42	--  	36408100	  0.98	火力发电	山东	1.87	6.39	31259	25698	  1.22	1342	1565	--  	          8.63	
000767	漳泽电力	2.06	3.96	0.08	3.95	3.96	198490	3608	0.00	          0.88	3.90	3.96	3.88	3.88	 27642.22	78126888	  1.64	火力发电	山西	2.06	3.94	58495	139995	  0.42	3442	10242	--  	         22.54	
000836	鑫茂科技	3.60	8.35	0.29	8.34	8.35	553755	4768	-0.11	          4.68	8.10	8.65	7.95	8.06	   212.67	456351936	  1.65	通信设备	天津	8.68	8.24	262092	291662	  0.90	1284	3533	--  	         11.83	
000862	银星能源	--  	7.90	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.90	   507.54	0	  0.00	新型电力	宁夏	0.00	7.90	0	0	--  	0	0	--  	          3.34	
000875	吉电股份	0.50	6.08	0.03	6.08	6.09	82805	756	0.00	          0.74	6.05	6.09	6.01	6.05	   162.96	50200372	  0.83	火力发电	吉林	1.32	6.06	35385	47420	  0.75	1076	4991	--  	         11.16	
000883	湖北能源	0.63	4.78	0.03	4.77	4.78	107673	992	0.00	          0.20	4.76	4.79	4.71	4.75	    12.75	51197832	  0.97	火力发电	湖北	1.68	4.75	53728	53944	  1.00	2871	1811	--  	         53.46	
000958	东方能源	0.21	14.07	0.03	14.07	14.08	44656	200	0.00	          1.34	13.99	14.12	13.83	14.04	    20.45	62543204	  0.73	火力发电	河北	2.07	14.01	20385	24271	  0.84	174	796	--  	          3.33	
000966	长源电力	0.34	5.95	0.02	5.95	5.96	42722	396	-0.16	          0.39	5.93	5.96	5.90	5.93	     9.30	25355326	  0.79	火力发电	湖北	1.01	5.93	18335	24387	  0.75	717	1922	--  	         11.08	
000970	中科三环	0.85	14.31	0.12	14.31	14.32	112131	1265	0.00	          1.05	14.16	14.36	13.97	14.19	    49.39	159813680	  0.67	元器件	北京	2.75	14.25	51963	60167	  0.86	127	1584	--  	         10.65	
000993	闽东电力	-0.98	14.20	-0.14	14.20	14.21	139111	2290	0.00	          3.73	14.21	14.29	13.95	14.34	    33.01	196420384	  0.80	水力发电	福建	2.37	14.12	82015	57096	  1.44	941	381	--  	          3.73	
002009	天奇股份	1.78	14.87	0.26	14.86	14.87	51004	650	0.13	          1.92	14.60	14.88	14.55	14.61	    62.93	75376616	  1.18	工程机械	江苏	2.26	14.78	18844	32160	  0.59	435	617	--  	          2.66	
002060	粤 水 电	0.13	7.96	0.01	7.96	7.97	39639	342	0.12	          0.66	7.95	7.97	7.83	7.95	    52.97	31370572	  0.85	建筑施工	广东	1.76	7.91	20979	18660	  1.12	351	1250	--  	          6.01	
002080	中材科技	0.52	19.40	0.10	19.39	19.40	20314	727	-0.10	          1.11	19.28	19.48	19.04	19.30	    34.66	39312704	  0.36	化纤	江苏	2.28	19.35	10019	10295	  0.97	18	128	--  	          1.83	
002122	天马股份	0.18	11.16	0.02	11.16	11.17	68051	1020	0.00	          0.62	11.14	11.25	10.96	11.14	   349.06	75538704	  0.57	机械基件	浙江	2.60	11.10	33792	34258	  0.99	653	1297	--  	         10.92	
002130	沃尔核材	0.21	14.11	0.03	14.10	14.11	42850	461	0.14	          0.99	14.11	14.12	13.88	14.08	    72.62	60074388	  0.64	电气设备	深圳	1.70	14.02	23699	19150	  1.24	463	206	--  	          4.32	
002164	宁波东力	9.50	13.71	1.19	13.71	13.72	997461	17136	0.29	         24.08	13.10	13.73	12.10	12.52	   905.51	1282382720	  3.60	电气设备	浙江	13.02	12.86	485204	512257	  0.95	743	4376	--  	          4.14	
002201	九鼎新材	0.77	16.99	0.13	16.99	17.00	25728	663	-0.05	          1.07	16.90	17.00	16.31	16.86	   433.48	42964772	  0.88	玻璃	江苏	4.09	16.70	10910	14818	  0.74	43	503	--  	          2.39	
002202	金风科技	0.61	16.40	0.10	16.40	16.41	89447	516	0.00	          0.41	16.30	16.43	16.26	16.30	    15.72	146274704	  0.99	电气设备	新疆	1.04	16.35	49208	40239	  1.22	1439	1043	--  	         21.58	
002451	摩恩电气	0.45	17.88	0.08	17.87	17.88	37582	831	0.16	          0.91	17.80	17.97	17.43	17.80	   912.21	66461484	  0.81	电气设备	上海	3.03	17.68	18916	18666	  1.01	460	359	--  	          4.12	
002487	大金重工	0.84	9.60	0.08	9.60	9.61	79259	957	-0.10	          1.47	9.52	9.61	9.41	9.52	    72.62	75520272	  0.70	钢加工	辽宁	2.10	9.53	37984	41274	  0.92	513	1245	--  	          5.40	
002531	天顺风能	2.25	7.28	0.16	7.28	7.29	82632	995	0.00	          0.56	7.07	7.30	7.01	7.12	    28.31	59592868	  1.42	电气设备	江苏	4.07	7.21	26309	56322	  0.47	122	1105	--  	         14.73	
002576	通达动力	--  	24.67	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.67	   972.54	0	  0.00	电气设备	江苏	0.00	24.67	0	0	--  	0	0	--  	          1.19	
002669	康达新材	-0.25	27.80	-0.07	27.80	27.88	8842	52	0.00	          0.56	27.95	28.15	27.20	27.87	    71.59	24558634	  0.60	化工原料	上海	3.41	27.77	6027	2815	  2.14	2	20	--  	          1.59	
002689	远大智能	1.37	7.41	0.10	7.40	7.41	96201	1164	0.13	          1.02	7.38	7.54	7.34	7.31	   149.68	71555888	  0.64	运输设备	辽宁	2.74	7.44	50938	45263	  1.13	341	515	--  	          9.42	
300004	南风股份	0.68	14.86	0.10	14.86	14.87	21730	408	-0.06	          0.57	14.88	14.92	14.72	14.76	   259.74	32271886	  0.65	电气设备	广东	1.36	14.85	10835	10894	  0.99	111	190	--  	          3.83	
300095	华伍股份	2.96	13.92	0.40	13.91	13.92	40699	833	0.43	          1.73	13.49	13.98	13.38	13.52	   113.08	56196364	  1.60	机械基件	江西	4.44	13.81	17735	22964	  0.77	244	215	--  	          2.35	
