代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000061	农 产 品	-0.09	11.60	-0.01	11.59	11.60	49421	94	0.08	          0.29	11.60	11.64	11.39	11.61	    69.00	56861416	  0.98	农业综合	深圳	2.15	11.51	27020	22401	  1.21	353	147	--  	         16.92	
000530	大冷股份	0.27	11.28	0.03	11.27	11.28	73947	995	0.00	          2.07	11.23	11.30	11.14	11.25	    39.28	83027936	  1.69	机械基件	辽宁	1.42	11.23	40536	33411	  1.21	12	70	--  	          3.57	
000701	厦门信达	-0.07	14.60	-0.01	14.59	14.60	61208	1561	-0.06	          1.72	14.56	14.65	14.47	14.61	    46.11	89260472	  1.00	综合类	福建	1.23	14.58	23866	37342	  0.64	1167	79264	--  	          3.57	
000997	新 大 陆	3.68	19.17	0.68	19.16	19.17	223482	3992	0.05	          2.42	18.68	19.21	18.52	18.49	    37.57	424840672	  2.03	软件服务	福建	3.73	19.01	105007	118474	  0.89	1261	1045	--  	          9.24	
002030	达安基因	1.27	23.06	0.29	23.06	23.07	149753	1841	-0.12	          2.16	22.80	23.40	22.75	22.77	   147.77	347211648	  1.01	生物制药	广东	2.85	23.19	65892	83861	  0.79	911	18	--  	          6.94	
002161	远 望 谷	0.93	10.83	0.10	10.82	10.83	52861	1281	0.00	          0.76	10.75	10.84	10.60	10.73	--  	56912048	  0.95	通信设备	深圳	2.24	10.77	22710	30151	  0.75	418	486	--  	          6.98	
002299	圣农发展	--  	18.59	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.59	    30.79	0	  0.00	农业综合	福建	0.00	18.59	0	0	--  	0	0	--  	          9.00	
002477	雏鹰农牧	0.41	4.85	0.02	4.84	4.85	140690	1911	0.00	          0.72	4.83	4.85	4.80	4.83	    16.14	67924312	  0.95	农业综合	河南	1.04	4.83	74825	65865	  1.14	1746	3005	--  	         19.65	
002512	达华智能	0.13	15.78	0.02	15.78	15.79	49048	1235	0.06	          0.86	15.76	15.85	15.55	15.76	   207.34	77116776	  0.46	元器件	广东	1.90	15.72	27436	21612	  1.27	91	368	--  	          5.72	
002637	赞宇科技	-0.77	14.21	-0.11	14.21	14.22	38482	826	0.00	          1.63	14.35	14.35	14.08	14.32	    58.80	54673804	  0.83	日用化工	浙江	1.89	14.21	21380	17101	  1.25	183	176	--  	          2.36	
300012	华测检测	0.48	10.46	0.05	10.45	10.46	124261	2458	0.09	          1.83	10.41	10.50	10.24	10.41	    87.11	129024264	  0.78	电器仪表	深圳	2.50	10.38	62968	61292	  1.03	267	936	--  	          6.78	
300020	银江股份	1.10	15.68	0.17	15.68	15.69	87285	1871	0.12	          1.41	15.48	15.70	15.35	15.51	    32.55	135941840	  0.79	软件服务	浙江	2.26	15.57	45523	41761	  1.09	260	409	--  	          6.21	
300165	天瑞仪器	3.97	9.96	0.38	9.96	9.97	106661	5896	0.60	          3.61	9.59	9.96	9.56	9.58	    65.48	104127368	  1.48	电器仪表	江苏	4.18	9.76	41513	65147	  0.64	506	377	--  	          2.95	
300203	聚光科技	1.30	31.08	0.40	31.08	31.09	68942	886	0.09	          1.54	30.56	31.23	30.48	30.68	    41.89	212932000	  0.79	环境保护	浙江	2.44	30.89	35408	33533	  1.06	208	287	--  	          4.49	
300260	新莱应材	0.30	33.16	0.10	33.16	33.23	5552	25	-0.09	          1.11	33.16	33.32	32.56	33.06	   392.31	18320900	  0.72	机械基件	江苏	2.30	33.00	1953	3598	  0.54	60	15	--  	          0.50	
300271	华宇软件	--  	17.45	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	17.45	    48.78	0	  0.00	软件服务	北京	0.00	17.45	0	0	--  	0	0	--  	          4.83	
300306	远方光电	1.05	23.00	0.24	23.00	23.02	33591	1368	-0.69	          2.85	22.75	23.38	22.28	22.76	    81.68	75969512	  1.50	电器仪表	浙江	4.83	22.62	20685	12905	  1.60	227	69	--  	          1.18	
600071	凤凰光学	1.26	22.42	0.28	22.41	22.44	35838	7	0.31	          1.51	22.10	22.61	22.03	22.14	--  	80122920	  1.03	元器件	江西	2.62	22.36	16615	19223	  0.86	24	3	--  	          2.37	
600271	航天信息	0.00	20.60	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	20.60	    30.49	0	  0.00	电脑设备	北京	0.00	20.60	0	0	--  	0	0	--  	         18.47	
600288	大恒科技	0.07	13.84	0.01	13.83	13.84	56679	36	0.00	          1.30	13.87	13.89	13.62	13.83	--  	77978968	  0.71	软件服务	北京	1.95	13.76	30162	26517	  1.14	113	306	--  	          4.37	
600602	云赛智联	0.00	9.39	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	9.39	    41.24	0	  0.00	软件服务	上海	0.00	9.39	0	0	--  	0	0	--  	          8.80	
601933	永辉超市	2.76	5.59	0.15	5.59	5.60	1062550	50	0.00	          1.63	5.43	5.74	5.42	5.44	    49.20	593722112	  1.97	超市连锁	福建	5.88	5.59	464259	598290	  0.78	482	6474	--  	         65.09	
数据来源:通达信
