代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000039	中集集团	1.55	16.34	0.25	16.33	16.34	72288	305	-0.06	          0.57	16.11	16.38	16.08	16.09	--  	117672952	  0.66	轻工机械	深圳	1.86	16.28	28970	43318	  0.67	76	892	--  	         12.62	
000157	中联重科	1.46	4.85	0.07	4.85	4.86	528493	4927	-0.20	          0.84	4.80	4.86	4.77	4.78	--  	255423616	  1.10	工程机械	湖南	1.88	4.83	186074	342418	  0.54	8094	13470	--  	         62.66	
000338	潍柴动力	1.53	11.29	0.17	11.28	11.29	243739	2153	0.00	          1.13	11.16	11.33	11.01	11.12	    22.51	272977504	  1.01	汽车配件	山东	2.88	11.20	104206	139533	  0.75	2420	4279	--  	         21.59	
000410	沈阳机床	0.59	11.93	0.07	11.93	11.94	91546	1164	0.00	          1.24	11.90	12.06	11.86	11.86	--  	109438288	  0.64	机床制造	辽宁	1.69	11.95	48548	42998	  1.13	108	1201	--  	          7.40	
000425	徐工机械	2.29	4.02	0.09	4.01	4.02	1092317	28084	0.24	          1.56	3.93	4.05	3.90	3.93	   127.77	436577120	  1.42	工程机械	江苏	3.82	4.00	416425	675892	  0.62	3276	17003	--  	         69.94	
000617	中油资本	1.18	19.73	0.23	19.73	19.74	87436	2204	-0.10	          3.04	19.53	20.25	19.29	19.50	--  	173064176	  0.61	多元金融	山东	4.92	19.79	45714	41722	  1.10	87	216	--  	          2.88	
000738	中航动控	1.00	25.15	0.25	25.15	25.16	83798	1056	0.03	          0.73	24.94	25.20	24.93	24.90	   136.01	209874976	  1.22	航空	江苏	1.08	25.05	30406	53392	  0.57	501	222	--  	         11.46	
000768	中航飞机	0.75	24.05	0.18	24.05	24.06	187237	2281	-0.04	          0.68	23.84	24.07	23.80	23.87	   422.98	448327232	  0.56	航空	陕西	1.13	23.94	94155	93081	  1.01	416	974	--  	         27.69	
000852	石化机械	1.31	12.34	0.16	12.33	12.34	43725	333	-0.08	          0.73	12.11	12.42	11.92	12.18	--  	53184628	  0.72	化工机械	湖北	4.11	12.16	21854	21870	  1.00	373	61	--  	          5.98	
000880	潍柴重机	0.46	15.36	0.07	15.36	15.37	19967	298	0.06	          1.48	15.32	15.37	15.08	15.29	   153.03	30527454	  0.82	机械基件	山东	1.90	15.29	9948	10019	  0.99	195	612	--  	          1.35	
002111	威海广泰	0.36	22.13	0.08	22.13	22.14	17868	384	0.04	          0.68	21.91	22.19	21.91	22.05	    48.37	39485900	  0.70	航空	山东	1.27	22.10	9044	8823	  1.03	10	50	--  	          2.64	
002151	北斗星通	0.19	31.97	0.06	31.97	31.98	44204	466	0.06	          1.89	31.92	32.25	31.70	31.91	   235.80	141331392	  0.44	通信设备	北京	1.72	31.97	23692	20512	  1.16	654	52	--  	          2.34	
002248	华东数控	--  	10.84	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.84	--  	0	  0.00	机床制造	山东	0.00	10.84	0	0	--  	0	0	--  	          2.37	
